"geneID"	"pathwayID"	"pathwayName"	"pdbID"
"YCL040W"	"sce00010"	"Glycolysis / Gluconeogenesis"	NA
"YDL021W"	"sce00010"	"Glycolysis / Gluconeogenesis"	NA
"YMR278W"	"sce00010"	"Glycolysis / Gluconeogenesis"	NA
"YOL056W"	"sce00010"	"Glycolysis / Gluconeogenesis"	NA
"YLR164W"	"sce00020"	"Citrate cycle (TCA cycle)"	NA
"YCR036W"	"sce00030"	"Pentose phosphate pathway"	NA
"YCR073W-A"	"sce00030"	"Pentose phosphate pathway"	NA
"YKL181W"	"sce00030"	"Pentose phosphate pathway"	NA
"YMR278W"	"sce00030"	"Pentose phosphate pathway"	NA
"YNR034W"	"sce00030"	"Pentose phosphate pathway"	NA
"YCL040W"	"sce00051"	"Fructose and mannose metabolism"	NA
"YFL053W"	"sce00051"	"Fructose and mannose metabolism"	NA
"YOL136C"	"sce00051"	"Fructose and mannose metabolism"	NA
"YCL040W"	"sce00052"	"Galactose metabolism"	NA
"YMR278W"	"sce00052"	"Galactose metabolism"	NA
"YER015W"	"sce00061"	"Fatty acid biosynthesis"	NA
"YHR067W"	"sce00061"	"Fatty acid biosynthesis"	NA
"YOR221C"	"sce00061"	"Fatty acid biosynthesis"	NA
"YBR159W"	"sce00062"	"Fatty acid elongation"	NA
"YCR034W"	"sce00062"	"Fatty acid elongation"	NA
"YDL015C"	"sce00062"	"Fatty acid elongation"	NA
"YJL097W"	"sce00062"	"Fatty acid elongation"	NA
"YJL196C"	"sce00062"	"Fatty acid elongation"	NA
"YLR372W"	"sce00062"	"Fatty acid elongation"	NA
"YER015W"	"sce00071"	"Fatty acid degradation"	NA
"YCR048W"	"sce00100"	"Steroid biosynthesis"	NA
"YGL001C"	"sce00100"	"Steroid biosynthesis"	NA
"YGL012W"	"sce00100"	"Steroid biosynthesis"	NA
"YKL140W"	"sce00100"	"Steroid biosynthesis"	NA
"YKR089C"	"sce00100"	"Steroid biosynthesis"	NA
"YLR056W"	"sce00100"	"Steroid biosynthesis"	NA
"YLR100W"	"sce00100"	"Steroid biosynthesis"	NA
"YMR015C"	"sce00100"	"Steroid biosynthesis"	NA
"YNL280C"	"sce00100"	"Steroid biosynthesis"	NA
"YNR019W"	"sce00100"	"Steroid biosynthesis"	NA
"YGR255C"	"sce00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	NA
"YNR041C"	"sce00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	NA
"YOR125C"	"sce00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	NA
"YDR322C-A"	"sce00190"	"Oxidative phosphorylation"	NA
"YER141W"	"sce00190"	"Oxidative phosphorylation"	NA
"YGL008C"	"sce00190"	"Oxidative phosphorylation"	NA
"YLR164W"	"sce00190"	"Oxidative phosphorylation"	NA
"YPL036W"	"sce00190"	"Oxidative phosphorylation"	NA
"YPL132W"	"sce00190"	"Oxidative phosphorylation"	NA
"YPL172C"	"sce00190"	"Oxidative phosphorylation"	NA
"YPR020W"	"sce00190"	"Oxidative phosphorylation"	NA
"YDL215C"	"sce00220"	"Arginine biosynthesis"	NA
"YDR305C"	"sce00230"	"Purine metabolism"	NA
"YER005W"	"sce00230"	"Purine metabolism"	NA
"YIR032C"	"sce00230"	"Purine metabolism"	NA
"YJL005W"	"sce00230"	"Purine metabolism"	NA
"YKL181W"	"sce00230"	"Purine metabolism"	NA
"YMR278W"	"sce00230"	"Purine metabolism"	NA
"YOR155C"	"sce00230"	"Purine metabolism"	NA
"YOR360C"	"sce00230"	"Purine metabolism"	NA
"YER005W"	"sce00240"	"Pyrimidine metabolism"	NA
"YDL215C"	"sce00250"	"Alanine, aspartate and glutamate metabolism"	NA
"YMR084W"	"sce00250"	"Alanine, aspartate and glutamate metabolism"	NA
"YDL021W"	"sce00260"	"Glycine, serine and threonine metabolism"	NA
"YER086W"	"sce00260"	"Glycine, serine and threonine metabolism"	NA
"YGL196W"	"sce00260"	"Glycine, serine and threonine metabolism"	NA
"YHR025W"	"sce00260"	"Glycine, serine and threonine metabolism"	NA
"YOL056W"	"sce00260"	"Glycine, serine and threonine metabolism"	NA
"YJR130C"	"sce00270"	"Cysteine and methionine metabolism"	NA
"YLL058W"	"sce00270"	"Cysteine and methionine metabolism"	NA
"YML082W"	"sce00270"	"Cysteine and methionine metabolism"	NA
"YOL052C"	"sce00270"	"Cysteine and methionine metabolism"	NA
"YPL273W"	"sce00270"	"Cysteine and methionine metabolism"	NA
"YCL009C"	"sce00290"	"Valine, leucine and isoleucine biosynthesis"	NA
"YER086W"	"sce00290"	"Valine, leucine and isoleucine biosynthesis"	NA
"YGL009C"	"sce00290"	"Valine, leucine and isoleucine biosynthesis"	NA
"YHR109W"	"sce00310"	"Lysine degradation"	NA
"YLR142W"	"sce00330"	"Arginine and proline metabolism"	NA
"YOL052C"	"sce00330"	"Arginine and proline metabolism"	NA
"YBR166C"	"sce00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	NA
"YNL316C"	"sce00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	NA
"YDL215C"	"sce00430"	"Taurine and hypotaurine metabolism"	NA
"YGR007W"	"sce00440"	"Phosphonate and phosphinate metabolism"	NA
"YHR123W"	"sce00440"	"Phosphonate and phosphinate metabolism"	NA
"YNL130C"	"sce00440"	"Phosphonate and phosphinate metabolism"	NA
"YJR130C"	"sce00450"	"Selenocompound metabolism"	NA
"YLL058W"	"sce00450"	"Selenocompound metabolism"	NA
"YML082W"	"sce00450"	"Selenocompound metabolism"	NA
"YIR038C"	"sce00480"	"Glutathione metabolism"	NA
"YCL040W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YGR032W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YJL137C"	"sce00500"	"Starch and sucrose metabolism"	NA
"YKR058W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YLR342W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YMR278W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YMR306W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YPR026W"	"sce00500"	"Starch and sucrose metabolism"	NA
"YBL082C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YBR070C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YBR110W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YGL065C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YGR036C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YGR227W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YIL049W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YLR057W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YNL048W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YNL219C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YNR030W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YOR002W"	"sce00510"	"N-Glycan biosynthesis"	NA
"YOR067C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YPL227C"	"sce00510"	"N-Glycan biosynthesis"	NA
"YBL082C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YBR015C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YBR070C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YBR110W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YDR245W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YER001W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YGL038C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YGL065C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YJL183W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YLR057W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YML115C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YNL048W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YNL219C"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YNR030W"	"sce00513"	"Various types of N-glycan biosynthesis"	NA
"YAL023C"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YDL093W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YDR307W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YER001W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YGL257C"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YGR199W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YIL014W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YJR143C"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YOR321W"	"sce00514"	"Other types of O-glycan biosynthesis"	NA
"YAL023C"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YDL093W"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YDR307W"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YGR199W"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YJR143C"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YOR321W"	"sce00515"	"Mannose type O-glycan biosynthesis"	NA
"YBR023C"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YCL040W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YDR371W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YLR307W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YLR308W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YMR084W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YMR278W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YNL192W"	"sce00520"	"Amino sugar and nucleotide sugar metabolism"	NA
"YBL011W"	"sce00561"	"Glycerolipid metabolism"	NA
"YCR068W"	"sce00561"	"Glycerolipid metabolism"	NA
