"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"url"	"mapid"	"id_mapping"	"chain"	"chain_new"	"id_mapping_chain"	"pident2"	"mismatch2"	"qstart2"	"qend2"	"sstart2"	"send2"	"Resolution"	"Coverage"
"P07703"	""	335	"5b20b1b602efd01abb492e00"	"PDB"	1	335	"5w5y"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w5y&provider=pdb"	"1_335_5w5y_5b20b1b602efd01abb492e00"	"P07703@5w5y"	"C"	"C"	"P07703@5w5y@C"	"100"	"0"	"1"	"306"	"30"	"335"	"3.8"	0.91044776119403
"P07703"	""	335	"5af28f8202efd056f0bf5404"	"PDB"	1	335	"6eu1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu1&provider=pdb"	"1_335_6eu1_5af28f8202efd056f0bf5404"	"P07703@6eu1"	"C"	"C"	"P07703@6eu1@C"	"100"	"0"	"1"	"335"	"1"	"335"	"3.4"	0.997014925373134
"P07703"	""	335	"5af28e4002efd04e90b5e710"	"PDB"	1	335	"6f41"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6f41&provider=pdb"	"1_335_6f41_5af28e4002efd04e90b5e710"	"P07703@6f41"	"C"	"C"	"P07703@6f41@C"	"100"	"0"	"1"	"335"	"1"	"335"	"4.3"	0.997014925373134
"P07703"	""	335	"5af28da302efd04ace6a2502"	"PDB"	1	335	"6eu0"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu0&provider=pdb"	"1_335_6eu0_5af28da302efd04ace6a2502"	"P07703@6eu0"	"C"	"C"	"P07703@6eu0@C"	"100"	"0"	"1"	"335"	"1"	"335"	"4"	0.997014925373134
"P07703"	""	335	"5b20b1cb02efd01abb4931d7"	"PDB"	1	335	"5n5y"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5n5y&provider=pdb"	"1_335_5n5y_5b20b1cb02efd01abb4931d7"	"P07703@5n5y"	"C"	"C"	"P07703@5n5y@C"	"100"	"0"	"1"	"305"	"31"	"335"	"7.7"	0.907462686567164
"P07703"	""	335	"5a9b182e75daaa5ae8658f77"	"PDB"	1	335	"5m3f"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5m3f&provider=pdb"	"1_335_5m3f_5a9b182e75daaa5ae8658f77"	"P07703@5m3f"	"C"	"C"	"P07703@5m3f@C"	"100"	"0"	"1"	"305"	"31"	"335"	"3.8"	0.907462686567164
"P07703"	""	335	"5af28a8302efd0381f7d9f47"	"PDB"	1	335	"6eu2"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu2&provider=pdb"	"1_335_6eu2_5af28a8302efd0381f7d9f47"	"P07703@6eu2"	"C"	"C"	"P07703@6eu2@C"	"100"	"0"	"1"	"335"	"1"	"335"	"3.4"	0.997014925373134
"P07703"	""	335	"5a9b10da75daaa75335a75fd"	"PDB"	1	335	"5fja"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5fja&provider=pdb"	"1_335_5fja_5a9b10da75daaa75335a75fd"	"P07703@5fja"	"C"	"C"	"P07703@5fja@C"	"100"	"0"	"1"	"335"	"1"	"335"	"4.65"	0.997014925373134
"P07703"	""	335	"5a9b07d975daaa78f380faaf"	"PDB"	1	335	"5w65"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w65&provider=pdb"	"1_335_5w65_5a9b07d975daaa78f380faaf"	"P07703@5w65"	"C"	"C"	"P07703@5w65@C"	"100"	"0"	"1"	"306"	"30"	"335"	"4.3"	0.91044776119403
"P07703"	""	335	"5a9b06c075daaa6a748b631b"	"PDB"	1	335	"5w64"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w64&provider=pdb"	"1_335_5w64_5a9b06c075daaa6a748b631b"	"P07703@5w64"	"C"	"C"	"P07703@5w64@C"	"100"	"0"	"1"	"306"	"30"	"335"	"4.2"	0.91044776119403
"P07703"	""	335	"5a9b09d275daaa1521d974e8"	"PDB"	1	335	"5w66"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w66&provider=pdb"	"1_335_5w66_5a9b09d275daaa1521d974e8"	"P07703@5w66"	"C"	"C"	"P07703@5w66@C"	"100"	"0"	"1"	"306"	"30"	"335"	"3.9"	0.91044776119403
"P07703"	""	335	"5a9af7eb75daaa1bb7d232a1"	"PDB"	1	335	"5n60"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5n60&provider=pdb"	"1_335_5n60_5a9af7eb75daaa1bb7d232a1"	"P07703@5n60"	"C"	"C"	"P07703@5n60@C"	"100"	"0"	"1"	"305"	"31"	"335"	"7.7"	0.907462686567164
"P07703"	""	335	"5af2902002efd05a9226d3c2"	"PDB"	1	335	"6f42"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6f42&provider=pdb"	"1_335_6f42_5af2902002efd05a9226d3c2"	"P07703@6f42"	"C"	"C"	"P07703@6f42@C"	"100"	"0"	"1"	"335"	"1"	"335"	"5.5"	0.997014925373134
"P07703"	""	335	"5a9b0d7175daaa47c2729933"	"PDB"	1	335	"5fj8"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5fj8&provider=pdb"	"1_335_5fj8_5a9b0d7175daaa47c2729933"	"P07703@5fj8"	"C"	"C"	"P07703@5fj8@C"	"100"	"0"	"1"	"335"	"1"	"335"	"3.9"	0.997014925373134
"P07703"	""	335	"5b20b30d02efd01e70daaca8"	"PDB"	1	335	"5n5z"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5n5z&provider=pdb"	"1_335_5n5z_5b20b30d02efd01e70daaca8"	"P07703@5n5z"	"C"	"C"	"P07703@5n5z@C"	"100"	"0"	"1"	"305"	"31"	"335"	"7.7"	0.907462686567164
"P07703"	""	335	"5af28a3402efd036e9d303ca"	"PDB"	1	335	"6f40"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6f40&provider=pdb"	"1_335_6f40_5af28a3402efd036e9d303ca"	"P07703@6f40"	"C"	"C"	"P07703@6f40@C"	"100"	"0"	"1"	"335"	"1"	"335"	"3.7"	0.997014925373134
"P07703"	""	335	"5a9b21ac75daaa5ea2915d26"	"PDB"	1	335	"5g5l"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5g5l&provider=pdb"	"1_335_5g5l_5a9b21ac75daaa5ea2915d26"	"P07703@5g5l"	"C"	"C"	"P07703@5g5l@C"	"100"	"0"	"1"	"305"	"31"	"335"	"4.8"	0.907462686567164
"P07703"	""	335	"5a9b23bb75daaa78fd299798"	"PDB"	1	335	"4c2m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=4c2m&provider=pdb"	"1_335_4c2m_5a9b23bb75daaa78fd299798"	"P07703@4c2m"	"C;R"	"C"	"P07703@4c2m@C"	"100"	"0"	"1"	"305"	"31"	"335"	"2.8"	0.907462686567164
"P07703"	""	335	"5a9b23bb75daaa78fd299798"	"PDB"	1	335	"4c2m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=4c2m&provider=pdb"	"1_335_4c2m_5a9b23bb75daaa78fd299798"	"P07703@4c2m"	"C;R"	"R"	"P07703@4c2m@R"	"100"	"0"	"1"	"305"	"31"	"335"	"2.8"	0.907462686567164
"P07703"	""	335	"5ae97a5275daaa0cdaaa1b35"	"PDB"	1	335	"5n61"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5n61&provider=pdb"	"1_335_5n61_5ae97a5275daaa0cdaaa1b35"	"P07703@5n61"	"C"	"C"	"P07703@5n61@C"	"100"	"0"	"1"	"305"	"31"	"335"	"3.4"	0.907462686567164
"P07703"	""	335	"5af28cb602efd045a4ed457c"	"PDB"	1	335	"6f44"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6f44&provider=pdb"	"1_335_6f44_5af28cb602efd045a4ed457c"	"P07703@6f44"	"C"	"C"	"P07703@6f44@C"	"100"	"0"	"1"	"335"	"1"	"335"	"4.2"	0.997014925373134
"P07703"	""	335	"5a9b238575daaa78fd299017"	"PDB"	1	335	"5m3m"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5m3m&provider=pdb"	"1_335_5m3m_5a9b238575daaa78fd299017"	"P07703@5m3m"	"C"	"C"	"P07703@5m3m@C"	"100"	"0"	"1"	"305"	"31"	"335"	"4"	0.907462686567164
"P07703"	""	335	"5a9b0f2975daaa5de40c113d"	"PDB"	1	335	"5fj9"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5fj9&provider=pdb"	"1_335_5fj9_5a9b0f2975daaa5de40c113d"	"P07703@5fj9"	"C"	"C"	"P07703@5fj9@C"	"100"	"0"	"1"	"335"	"1"	"335"	"4.6"	0.997014925373134
