"strain_name"	"YPDETOH"	"type"
"ABA"	0.883817422	"PDETOH_high"
"ABE"	0.602188031	"PDETOH_high"
"ABI"	0.632095062	"PDETOH_high"
"ABK"	0.755255019	"PDETOH_high"
"ABM"	0.638242357	"PDETOH_high"
"ACC"	0.625042762	"PDETOH_high"
"ACD"	0.59389551	"PDETOH_high"
"ADL"	0.603014915	"PDETOH_high"
"ADN"	0.565341943	"PDETOH_high"
"AFM"	0.810125528	"PDETOH_high"
"AFN"	0.707103034	"PDETOH_high"
"AFQ"	0.654820112	"PDETOH_high"
"AHI"	0.664634439	"PDETOH_high"
"ALA"	0.575201473	"PDETOH_high"
"ARG"	0.627579181	"PDETOH_high"
"BAA"	0.613709494	"PDETOH_high"
"BAF"	0.626991037	"PDETOH_high"
"BAG"	0.575188215	"PDETOH_high"
"BAH"	0.621640087	"PDETOH_high"
"BAM"	0.581830097	"PDETOH_high"
"BAN"	0.640332618	"PDETOH_high"
"BAP"	0.580028329	"PDETOH_high"
"BBV"	0.574768168	"PDETOH_high"
"BEK"	0.571231528	"PDETOH_high"
"BGP"	0.60247397	"PDETOH_high"
"BHI"	0.60966283	"PDETOH_high"
"CCN"	0.575563676	"PDETOH_high"
"CCQ"	0.578243046	"PDETOH_high"
"CCR"	0.599144396	"PDETOH_high"
"CDA"	0.614756727	"PDETOH_high"
"CDD"	0.595872749	"PDETOH_high"
"CDI"	0.586949447	"PDETOH_high"
"CDR"	0.570674823	"PDETOH_high"
"CEP"	0.595117882	"PDETOH_high"
"CFS"	0.578294234	"PDETOH_high"
"CIK"	0.589007195	"PDETOH_high"
"CLQ"	0.599957302	"PDETOH_high"
"CNT"	0.579914816	"PDETOH_high"
"SACE_GAT"	0.709326983	"PDETOH_high"
"SACE_MAB"	0.606825523	"PDETOH_high"
"SACE_YAB"	0.616551602	"PDETOH_high"
"SACE_YAG"	0.725888979	"PDETOH_high"
"SACE_YAK"	0.633167588	"PDETOH_high"
"SACE_YAR"	0.586369877	"PDETOH_high"
"SACE_YAV"	0.575139985	"PDETOH_high"
"SACE_YBS"	0.600032845	"PDETOH_high"
"SACE_YCE"	0.755535392	"PDETOH_high"
"SACE_YCF"	0.654844171	"PDETOH_high"
"SACE_YCM"	0.565279229	"PDETOH_high"
"SACE_YCN"	0.589977453	"PDETOH_high"
"SACE_YCO"	0.568402904	"PDETOH_high"
"AAC"	0.140484003	"PDETOH_low"
"AAH"	0.052265401	"PDETOH_low"
"AAR"	0.10208113	"PDETOH_low"
"AEB"	0.100469045	"PDETOH_low"
"AEK"	0.083545648	"PDETOH_low"
"AEM"	0.059749035	"PDETOH_low"
"AEP"	0.06269697	"PDETOH_low"
"AEV"	0.127688062	"PDETOH_low"
"AFH"	0	"PDETOH_low"
"AFS"	0.040585864	"PDETOH_low"
"AGC"	0.145511036	"PDETOH_low"
"AGP"	0.049263445	"PDETOH_low"
"AHF"	0.024263428	"PDETOH_low"
"AHT"	0.071069718	"PDETOH_low"
"AID"	0.107787283	"PDETOH_low"
"AIG"	0.004962779	"PDETOH_low"
"AIT"	0.13945788	"PDETOH_low"
"ALD"	0.109642041	"PDETOH_low"
"ARA"	0.060785054	"PDETOH_low"
"ARB"	0.060238458	"PDETOH_low"
"ARR"	0.085419961	"PDETOH_low"
"ASD"	0	"PDETOH_low"
"ASH"	0.071233017	"PDETOH_low"
