"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"url"	"mapid"	"id_mapping"	"chain"	"chain_new"	"id_mapping_chain"	"pident"	"mismatch"	"qstart2"	"qend2"	"sstart2"	"send2"	"Resolution"	"Coverage"	"pdb_length"	"locus"
"P07703"	""	335	"5af28ca702efd0454fe9c96e"	"PDB"	1	335	"6eu3"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu3&provider=pdb"	"1_335_6eu3_5af28ca702efd0454fe9c96e"	"P07703@6eu3"	"C"	"C"	"P07703@6eu3@C"	100	0	1	335	1	335	3.3	0.997014925373134	334	"YPR110C"
"P0CX35"	""	261	"5af28ff202efd05995a7eaec"	"PDB"	1	261	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX35.pdb?from=1&to=261&template=6fai&provider=pdb"	"1_261_6fai_5af28ff202efd05995a7eaec"	"P0CX35@6fai"	"E"	"E"	"P0CX35@6fai@E"	100	0	1	260	2	261	3.4	0.992337164750958	259	"YJR145C"
"P40515"	""	155	"5b20b16f02efd019cc941cc3"	"PDB"	1	129	"3uux"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P40515.pdb?from=1&to=129&template=3uux&provider=pdb"	"1_129_3uux_5b20b16f02efd019cc941cc3"	"P40515@3uux"	"A;C"	"A"	"P40515@3uux@A"	100	0	1	127	3	129	3.9	0.812903225806452	126	"YIL065C"
"Q01477"	""	912	"5b20b26f02efd01c9645d448"	"PDB"	190	233	"2qiy"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q01477.pdb?from=190&to=233&template=2qiy&provider=pdb"	"190_233_2qiy_5b20b26f02efd01c9645d448"	"Q01477@2qiy"	"C;D"	"C"	"Q01477@2qiy@C"	100	0	1	25	206	230	1.69	0.0263157894736842	24	"YER151C"
"Q01477"	""	912	"5b20b26f02efd01c9645d448"	"PDB"	190	233	"2qiy"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q01477.pdb?from=190&to=233&template=2qiy&provider=pdb"	"190_233_2qiy_5b20b26f02efd01c9645d448"	"Q01477@2qiy"	"C;D"	"D"	"Q01477@2qiy@D"	100	0	1	25	206	230	1.69	0.0263157894736842	24	"YER151C"
"P33442"	""	255	"5af28ff202efd05995a7eaec"	"PDB"	1	255	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P33442.pdb?from=1&to=255&template=6fai&provider=pdb"	"1_255_6fai_5af28ff202efd05995a7eaec"	"P33442@6fai"	"B"	"B"	"P33442@6fai@B"	100	0	1	214	20	233	3.4	0.835294117647059	213	"YLR441C"
"P0CX33"	""	63	"5af290bb02efd05dc5a466ad"	"PDB"	1	63	"6eml"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX33.pdb?from=1&to=63&template=6eml&provider=pdb"	"1_63_6eml_5af290bb02efd05dc5a466ad"	"P0CX33@6eml"	"g"	"g"	"P0CX33@6eml@g"	100	0	1	60	2	61	3.6	0.936507936507937	59	"YLR287C-A"
"P35997"	""	82	"5af28ff202efd05995a7eaec"	"PDB"	1	82	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P35997.pdb?from=1&to=82&template=6fai&provider=pdb"	"1_82_6fai_5af28ff202efd05995a7eaec"	"P35997@6fai"	"b"	"b"	"P35997@6fai@b"	100	0	1	81	2	82	3.4	0.975609756097561	80	"YKL156W"
"P39938"	""	119	"5a9b0a5575daaa1a47818177"	"PDB"	1	119	"5ll6"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P39938.pdb?from=1&to=119&template=5ll6&provider=pdb"	"1_119_5ll6_5a9b0a5575daaa1a47818177"	"P39938@5ll6"	"e"	"e"	"P39938@5ll6@e"	100	0	1	97	2	98	3.9	0.80672268907563	96	"YGL189C"
"Q3E792"	""	108	"5af290bb02efd05dc5a466ad"	"PDB"	1	108	"6eml"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q3E792.pdb?from=1&to=108&template=6eml&provider=pdb"	"1_108_6eml_5af290bb02efd05dc5a466ad"	"Q3E792@6eml"	"K"	"K"	"Q3E792@6eml@K"	100	0	1	64	42	105	3.6	0.583333333333333	63	"YGR027C"
"P0C0W1"	""	130	"5af28ff202efd05995a7eaec"	"PDB"	1	130	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0C0W1.pdb?from=1&to=130&template=6fai&provider=pdb"	"1_130_6fai_5af28ff202efd05995a7eaec"	"P0C0W1@6fai"	"W"	"W"	"P0C0W1@6fai@W"	100	0	1	129	2	130	3.4	0.984615384615385	128	"YJL190C"
"P07280"	""	144	"5af28ff202efd05995a7eaec"	"PDB"	1	144	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P07280.pdb?from=1&to=144&template=6fai&provider=pdb"	"1_144_6fai_5af28ff202efd05995a7eaec"	"P07280@6fai"	"T"	"T"	"P07280@6fai@T"	100	0	1	143	2	144	3.4	0.986111111111111	142	"YOL121C"
"P0CX55"	""	146	"5af28ff202efd05995a7eaec"	"PDB"	1	146	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX55.pdb?from=1&to=146&template=6fai&provider=pdb"	"1_146_6fai_5af28ff202efd05995a7eaec"	"P0CX55@6fai"	"S"	"S"	"P0CX55@6fai@S"	100	0	1	135	2	136	3.4	0.917808219178082	134	"YDR450W"
"P02407"	""	136	"5af28ff202efd05995a7eaec"	"PDB"	1	136	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P02407.pdb?from=1&to=136&template=6fai&provider=pdb"	"1_136_6fai_5af28ff202efd05995a7eaec"	"P02407@6fai"	"R"	"R"	"P02407@6fai@R"	100	0	1	125	2	126	3.4	0.911764705882353	124	"YML024W"
"P40065"	""	302	"5a9b12e875daaa14b768686a"	"PDB"	221	290	"5ktb"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P40065.pdb?from=221&to=290&template=5ktb&provider=pdb"	"221_290_5ktb_5a9b12e875daaa14b768686a"	"P40065@5ktb"	"C"	"C"	"P40065@5ktb@C"	100	0	1	42	222	263	3.05	0.135761589403974	41	"YER106W"
"P0CX51"	""	143	"5af290bb02efd05dc5a466ad"	"PDB"	1	143	"6eml"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P0CX51.pdb?from=1&to=143&template=6eml&provider=pdb"	"1_143_6eml_5af290bb02efd05dc5a466ad"	"P0CX51@6eml"	"F"	"F"	"P0CX51@6eml@F"	100	0	1	141	3	143	3.6	0.979020979020979	140	"YMR143W"
"P48589"	""	143	"5af28ff202efd05995a7eaec"	"PDB"	1	143	"6fai"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P48589.pdb?from=1&to=143&template=6fai&provider=pdb"	"1_143_6fai_5af28ff202efd05995a7eaec"	"P48589@6fai"	"M"	"M"	"P48589@6fai@M"	100	0	1	125	18	142	3.4	0.867132867132867	124	"YOR369C"
"P32379"	""	260	"5a9af9d575daaa340fef727f"	"PDB"	1	260	"4g4s"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P32379.pdb?from=1&to=260&template=4g4s&provider=pdb"	"1_260_4g4s_5a9af9d575daaa340fef727f"	"P32379@4g4s"	"E"	"E"	"P32379@4g4s@E"	100	0	1	249	1	249	2.49	0.953846153846154	248	"YGR253C"
"P38826"	""	435	"5a9b188975daaa600670ef01"	"PDB"	1	435	"5v8f"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38826.pdb?from=1&to=435&template=5v8f&provider=pdb"	"1_435_5v8f_5a9b188975daaa600670ef01"	"P38826@5v8f"	"F"	"F"	"P38826@5v8f@F"	100	0	1	15	413	427	3.9	0.032183908045977	14	"YHR118C"
"P38826"	""	435	"5a9b129275daaa0dcf31deef"	"PDB"	1	435	"5udb"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P38826.pdb?from=1&to=435&template=5udb&provider=pdb"	"1_435_5udb_5a9b129275daaa0dcf31deef"	"P38826@5udb"	"F"	"F"	"P38826@5udb@F"	100	0	1	15	413	427	3.9	0.032183908045977	14	"YHR118C"
"P46948"	""	246	"5b20b0a602efd0173d170586"	"PDB"	1	246	"5c0x"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/P46948.pdb?from=1&to=246&template=5c0x&provider=pdb"	"1_246_5c0x_5b20b0a602efd0173d170586"	"P46948@5c0x"	"B"	"B"	"P46948@5c0x@B"	100	0	1	244	1	244	3.812	0.98780487804878	243	"YGR195W"
"Q08746"	""	203	"5a9afcc575daaa5bbfc954f1"	"PDB"	9	73	"5a53"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q08746.pdb?from=9&to=73&template=5a53&provider=pdb"	"9_73_5a53_5a9afcc575daaa5bbfc954f1"	"Q08746@5a53"	"A;B"	"A"	"Q08746@5a53@A"	100	0	1	65	9	73	2.401	0.315270935960591	64	"YOR294W"
"Q08746"	""	203	"5a9afcc575daaa5bbfc954f1"	"PDB"	9	73	"5a53"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q08746.pdb?from=9&to=73&template=5a53&provider=pdb"	"9_73_5a53_5a9afcc575daaa5bbfc954f1"	"Q08746@5a53"	"A;B"	"B"	"Q08746@5a53@B"	100	0	1	22	85	106	2.401	0.103448275862069	21	"YOR294W"
"Q05636"	""	305	"5a9b200d75daaa47f2aee24c"	"PDB"	1	305	"5vzj"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q05636.pdb?from=1&to=305&template=5vzj&provider=pdb"	"1_305_5vzj_5a9b200d75daaa47f2aee24c"	"Q05636@5vzj"	"A"	"A"	"Q05636@5vzj@A"	100	0	1	302	3	304	3.3	0.986885245901639	301	"YDR280W"
"Q04062"	""	393	"5a9b204d75daaa4cc89a9204"	"PDB"	1	393	"3jck"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q04062.pdb?from=1&to=393&template=3jck&provider=pdb"	"1_393_3jck_5a9b204d75daaa4cc89a9204"	"Q04062@3jck"	"F"	"F"	"Q04062@3jck@F"	100	0	1	388	6	393	3.5	0.984732824427481	387	"YDR427W"
"Q06103"	""	429	"5a9b212e75daaa5901b8e25f"	"PDB"	1	429	"5wvk-R-bundle1"	NA	NA	"https://swissmodel.expasy.org/repository/uniprot/Q06103.pdb?from=1&to=429&template=5wvk&provider=pdb"	"1_429_5wvk_5a9b212e75daaa5901b8e25f"	"Q06103@5wvk"	"R"	"R"	"Q06103@5wvk@R"	100	0	1	400	23	422	4.2	0.93006993006993	399	"YPR108W"
