"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"
"Q06488"	""	889	"03c023e2500a12371e7311871e2c8d91"	"5cd95f6fa03a1b256d9649af"	"SWISSMODEL"	401	628	"4bb7.1.A"	0.9359158162	0.8046841018	100	"https://swissmodel.expasy.org/repository/uniprot/Q06488.pdb?provider=swissmodel&from=401&to=628&template=4bb7.1.A&provider=swissmodel"	"401_628_4bb7.1.A_5cd95f6fa03a1b256d9649af"	"    0.63"	"    100.00"	"4bb7"	NA
"O13516"	""	197	"17a0a3c8d956a192409c68e895d0547c"	"5cd7654ca03a1b18995a6da0"	"SWISSMODEL"	2	186	"4v88.85.A"	-3.1850099954	0.6483289159	100	"https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?provider=swissmodel&from=2&to=186&template=4v88.85.A&provider=swissmodel"	"2_186_4v88.85.A_5cd7654ca03a1b18995a6da0"	"    0.59"	"    100.00"	"4v88"	NA
"O13516"	""	197	"17a0a3c8d956a192409c68e895d0547c"	"5cd7654ca03a1b18995a6d9c"	"SWISSMODEL"	79	162	"1j5e.1.D"	-3.4845530824	0.5802137229	36.5853652954	"https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?provider=swissmodel&from=79&to=162&template=1j5e.1.D&provider=swissmodel"	"79_162_1j5e.1.D_5cd7654ca03a1b18995a6d9c"	"    0.35"	"    36.59"	"1j5e"	NA
"P10614"	""	530	"eeda5e73324cf8a460f9b5db0123a11c"	"5cd6bdcad60c59b2622ecf99"	"SWISSMODEL"	6	530	"5eqb.1.A"	-0.2610458025	0.7618130572	99.8113174438	"https://swissmodel.expasy.org/repository/uniprot/P10614.pdb?provider=swissmodel&from=6&to=530&template=5eqb.1.A&provider=swissmodel"	"6_530_5eqb.1.A_5cd6bdcad60c59b2622ecf99"	"    0.61"	"    99.81"	"5eqb"	NA
"P0CX39"	""	200	"128591f5af1f0cec6f3fb3c0360a9183"	"5cd753d3a03a1bb570c2f00d"	"SWISSMODEL"	2	200	"4u6f.84.A"	-4.5041631376	0.5983026389	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX39.pdb?provider=swissmodel&from=2&to=200&template=4u6f.84.A&provider=swissmodel"	"2_200_4u6f.84.A_5cd753d3a03a1bb570c2f00d"	"    0.60"	"    100.00"	"4u6f"	NA
"P0CX40"	""	200	"128591f5af1f0cec6f3fb3c0360a9183"	"5cd753d3a03a1bb570c2f00d"	"SWISSMODEL"	2	200	"4u6f.84.A"	-4.5041631376	0.5983026389	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX40.pdb?provider=swissmodel&from=2&to=200&template=4u6f.84.A&provider=swissmodel"	"2_200_4u6f.84.A_5cd753d3a03a1bb570c2f00d"	"    0.60"	"    100.00"	"4u6f"	NA
"P06780"	""	209	"21bce84c38a376459261e1cf498f6960"	"5cd727f6732c1e1fe2c8c072"	"SWISSMODEL"	8	185	"3a58.1.B"	-0.0453090426	0.7829878226	99.4623641968	"https://swissmodel.expasy.org/repository/uniprot/P06780.pdb?provider=swissmodel&from=8&to=185&template=3a58.1.B&provider=swissmodel"	"8_185_3a58.1.B_5cd727f6732c1e1fe2c8c072"	"    0.61"	"    99.46"	"3a58"	NA
"P48164"	""	190	"63a252f0407ca89a9d4f86d78a5bb173"	"5b402bc13b85d150ad357db6"	"SWISSMODEL"	2	187	"5tzs.1.G"	-4.039802429	0.614670828	87.8947372437	"https://swissmodel.expasy.org/repository/uniprot/P48164.pdb?provider=swissmodel&from=2&to=187&template=5tzs.1.G&provider=swissmodel"	"2_187_5tzs.1.G_5b402bc13b85d150ad357db6"	"    0.56"	"    87.89"	"5tzs"	NA
"P25443"	""	254	"8eb86981ee1e67239d053c7bebab1cdc"	"5cd63aa93b85d18239c97575"	"SWISSMODEL"	29	254	"5ll6.1.D"	-3.1572696446	0.648928529	100	"https://swissmodel.expasy.org/repository/uniprot/P25443.pdb?provider=swissmodel&from=29&to=254&template=5ll6.1.D&provider=swissmodel"	"29_254_5ll6.1.D_5cd63aa93b85d18239c97575"	"    0.60"	"    100.00"	"5ll6"	NA
"P41057"	""	56	"a359b7a9b8799df3c79940c132e6f216"	"5cc7bff58fd6f9712c41d6b3"	"SWISSMODEL"	4	56	"4v88.105.A"	-2.0578190416	0.6072608086	100	"https://swissmodel.expasy.org/repository/uniprot/P41057.pdb?provider=swissmodel&from=4&to=56&template=4v88.105.A&provider=swissmodel"	"4_56_4v88.105.A_5cc7bff58fd6f9712c41d6b3"	"    0.64"	"    100.00"	"4v88"	NA
