"geneID"	"pathwayID"	"pathwayName"
"YAL038W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YAL054C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YBR019C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YBR145W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YBR196C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YBR221C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YCL040W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YCR012W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YCR105W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YDL021W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YDL080C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YDL168W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YDR050C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YDR516C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YER073W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YER178W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YFL018C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YFR053C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGL253W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGL256W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGR087C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGR192C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGR240C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YGR254W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YHR174W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YJL052W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YJR009C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YKL060C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YKL127W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YKL152C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YKR097W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YLR044C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YLR134W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YLR153C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YLR377C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YLR446W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR083W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR099C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR105C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR110C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR169C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR170C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR205C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR278W"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR303C"	"sce00010"	"Glycolysis / Gluconeogenesis"
"YMR318C"	"sce00010"	"Glycolysis / Gluconeogenesis"
