UniProtKB_ac	iso_id	uniprot_seq_length	coordinate_id	provider	from	to	template	qmean	qmean_norm	url
P43609		557	5b3ea98808cc8fd9e100da65	SWISSMODEL	80	171	5gjk.1.A	-1.098662253	0.732412683	https://swissmodel.expasy.org/repository/uniprot/P43609.pdb?from=80&to=171&template=5gjk.1.A&provider=swissmodel
P43609		557	5b3ea98808cc8fd9e100da61	SWISSMODEL	305	364	2yus.1.A	-2.224249693	0.635691694	https://swissmodel.expasy.org/repository/uniprot/P43609.pdb?from=305&to=364&template=2yus.1.A&provider=swissmodel
Q07979		502	5b3d594b3b85d1a843df7461	SWISSMODEL	7	131	4zw1.1.A	-4.603037652	0.537650733	https://swissmodel.expasy.org/repository/uniprot/Q07979.pdb?from=7&to=131&template=4zw1.1.A&provider=swissmodel
P53236		928	5b45d986d60c5925119d6fb2	SWISSMODEL	361	588	4bb7.1.A	-0.539897987	0.759457472	https://swissmodel.expasy.org/repository/uniprot/P53236.pdb?from=361&to=588&template=4bb7.1.A&provider=swissmodel
P07703		335	5b3a9bd4a03a1b3eeac03f41	SWISSMODEL	1	335	5fja.1.C	-3.57929404	0.646331634	https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5fja.1.C&provider=swissmodel
P07703		335	5b20b1b602efd01abb492e00	PDB	1	335	5w5y			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w5y&provider=pdb
P07703		335	5b20b14302efd01923d5188c	PDB	1	335	5lmx			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5lmx&provider=pdb
P07703		335	5b20af9a02efd014b788531c	PDB	1	335	5m5w			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5m5w&provider=pdb
P07703		335	5af28f8202efd056f0bf5404	PDB	1	335	6eu1			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu1&provider=pdb
P07703		335	5af28e4002efd04e90b5e710	PDB	1	335	6f41			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6f41&provider=pdb
P07703		335	5af28da302efd04ace6a2502	PDB	1	335	6eu0			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu0&provider=pdb
P07703		335	5b20b1cb02efd01abb4931d7	PDB	1	335	5n5y			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5n5y&provider=pdb
P07703		335	5a9b182e75daaa5ae8658f77	PDB	1	335	5m3f			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5m3f&provider=pdb
P07703		335	5af28a8302efd0381f7d9f47	PDB	1	335	6eu2			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=6eu2&provider=pdb
P07703		335	5a9b10da75daaa75335a75fd	PDB	1	335	5fja			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5fja&provider=pdb
P07703		335	5a9b07d975daaa78f380faaf	PDB	1	335	5w65			https://swissmodel.expasy.org/repository/uniprot/P07703.pdb?from=1&to=335&template=5w65&provider=pdb
