,OG_ID
0,OG28679
1,OG202888
2,OG16533
3,OG181951
4,OG23548
5,OG202287
6,OG26871
7,OG55266
8,OG219537
9,OG153955
10,OG227533
11,OG46270
12,OG137254
13,OG26148
14,OG212664
15,OG57346
16,OG97972
17,OG27346
18,OG219716
19,OG23559
20,OG19536
21,OG78068
22,OG104909
23,OG18850
24,OG26483
25,OG57354
26,OG221733
27,OG78567
28,OG23438
29,OG26762
30,OG122289
31,OG221627
32,OG23587
33,OG219053
34,OG196987
35,OG150479
36,OG111249
37,OG230134
38,OG187627
39,OG29521
40,OG44849
41,OG74794
42,OG102272
43,OG114376
44,OG140778
45,OG23296
46,OG31617
47,OG221645
48,OG23027
49,OG22013
50,OG20134
51,OG23760
52,OG18071
53,OG55334
54,OG164005
55,OG23460
56,OG210231
57,OG20407
58,OG55251
59,OG57316
60,OG200159
61,OG232427
62,OG188198
63,OG56448
64,OG234183
65,OG27017
66,OG19387
67,OG27056
68,OG20150
69,OG198494
70,OG82547
71,OG57332
72,OG44916
73,OG26198
74,OG32008
75,OG23767
76,OG57339
77,OG159990
78,OG26452
79,OG27567
80,OG20377
81,OG70983
82,OG103299
83,OG194983
84,OG159830
85,OG43357
86,OG51467
87,OG23699
88,OG23561
89,OG162343
90,OG33484
91,OG28639
92,OG57369
93,OG52727
94,OG42638
95,OG26204
96,OG23533
97,OG23423
98,OG57319
99,OG199481
100,OG155626
101,OG20228
102,OG23661
103,OG28711
104,OG208885
105,OG27570
106,OG44828
107,OG20230
108,OG22390
109,OG222029
110,OG33458
111,OG22796
112,OG203328
113,OG228707
114,OG44914
115,OG23455
116,OG43204
117,OG192645
118,OG177768
119,OG201302
120,OG69706
121,OG20397
122,OG187256
123,OG20185
124,OG161585
125,OG20406
126,OG27128
127,OG44816
128,OG13895
129,OG195669
130,OG32698
131,OG120878
132,OG55215
133,OG73379
134,OG163696
135,OG23545
136,OG23632
137,OG19780
138,OG189168
139,OG55288
140,OG19159
141,OG166244
142,OG159386
143,OG14096
144,OG19947
145,OG20208
146,OG27504
147,OG23424
148,OG187346
149,OG23319
150,OG28727
151,OG44835
152,OG20253
153,OG74647
154,OG173412
155,OG129288
156,OG65118
157,OG220492
158,OG54988
159,OG55219
160,OG74558
161,OG23345
162,OG23000
163,OG128399
164,OG204646
165,OG158432
166,OG169781
167,OG63623
168,OG144628
169,OG23686
170,OG42526
171,OG43408
172,OG28710
173,OG157775
174,OG82740
175,OG182975
176,OG166317
177,OG12292
178,OG171696
179,OG157181
180,OG55340
181,OG187181
182,OG23348
183,OG23440
184,OG209046
185,OG64153
186,OG167518
187,OG102590
188,OG90592
189,OG32727
190,OG51451
191,OG77803
192,OG220351
193,OG57360
194,OG225174
195,OG143735
196,OG138324
197,OG114948
198,OG21759
199,OG221550
200,OG33451
201,OG135496
202,OG89374
203,OG44877
204,OG23800
205,OG18566
206,OG19383
207,OG18863
208,OG223641
209,OG88055
210,OG119127
211,OG23482
212,OG34862
213,OG182183
214,OG33505
215,OG73813
216,OG18072
217,OG218753
218,OG23603
219,OG23461
220,OG27551
221,OG30422
222,OG145464
223,OG33495
224,OG23598
225,OG23408
226,OG19519
227,OG209356
228,OG103509
229,OG162230
230,OG44874
231,OG106152
232,OG44926
233,OG26359
234,OG177529
235,OG116128
236,OG210735
237,OG11952
238,OG55279
239,OG86279
240,OG222615
241,OG55330
242,OG42627
243,OG32299
244,OG112370
245,OG216103
246,OG35673
247,OG188800
248,OG42550
249,OG20167
250,OG27529
251,OG44841
252,OG44826
253,OG17847
254,OG75366
255,OG26586
256,OG210299
257,OG55197
258,OG15061
259,OG219728
260,OG23004
261,OG19628
262,OG183546
263,OG10774
264,OG117251
265,OG23763
266,OG233070
267,OG23750
268,OG23341
269,OG31971
270,OG96470
271,OG107446
272,OG20008
273,OG23735
274,OG19747
275,OG198277
276,OG127632
277,OG200055
278,OG121732
279,OG215099
280,OG92447
281,OG44855
282,OG81473
283,OG231963
284,OG20019
285,OG151726
286,OG177052
287,OG68362
288,OG20249
289,OG32373
290,OG23672
291,OG206946
292,OG18080
293,OG184170
294,OG162467
295,OG193648
296,OG26771
297,OG64726
298,OG217038
299,OG26189
300,OG191838
301,OG206434
302,OG26375
303,OG22073
304,OG153087
305,OG20359
306,OG202797
307,OG44854
308,OG221577
309,OG28627
310,OG20400
311,OG23397
312,OG126501
313,OG57291
314,OG103687
315,OG20204
316,OG21749
317,OG119344
318,OG20410
319,OG20353
320,OG98398
321,OG44825
322,OG122195
323,OG41626
324,OG135888
325,OG27626
326,OG36388
327,OG20409
328,OG104345
329,OG221630
