Arthrobotrys_oligospora@Seq_1534	OG177333
Arxula_adeninivorans@Seq_2722	OG5393
Ascoidea_asiatica@Seq_3633	OG126719
Aspergillus_nidulans@Seq_1001	OG6854
Aspergillus_nidulans@Seq_1060	OG7473
Aspergillus_nidulans@Seq_5838	OG11510
Botrytis_cinerea@Seq_10177	OG223377
Debaryomyces_hansenii@Seq_5360	OG145513
Dekkera_bruxellensis@Seq_2430	OG135231
Dekkera_bruxellensis@Seq_511	OG60537
Hanseniaspora_valbyensis@Seq_262	OG117932
Kazachstania_naganishii@Seq_1292	OG13250
Kazachstania_naganishii@Seq_324	OG143696
Kuraishia_capsulata@Seq_12	OG5641
Lachancea_cidri@Seq_3361	OG74456
Lachancea_cidri@Seq_3535	OG34812
Lachancea_cidri@Seq_4450	OG61114
Lachancea_dasiensis@Seq_2651	OG4125
Lachancea_fantastica@Seq_3302	OG124378
Lachancea_fermentati@Seq_1522	OG8563
Lachancea_fermentati@Seq_2357	OG92239
Lachancea_fermentati@Seq_735	OG175714
Lachancea_waltii@Seq_4698	OG179176
Lipomyces_starkeyi@Seq_4367	OG65956
Lipomyces_starkeyi@Seq_4707	OG61414
Lipomyces_starkeyi@Seq_8594	OG59950
Lipomyces_starkeyi@Seq_89	OG63381
Lipomyces_starkeyi@Seq_958	OG142666
Metschnikowia_arizonensis@Seq_4652	OG226407
Metschnikowia_cerradonensis@Seq_2033	OG186179
Metschnikowia_cerradonensis@Seq_2312	OG53863
Metschnikowia_continentalis@Seq_4303	OG69521
Metschnikowia_hamakuensis@Seq_5036	OG180376
Metschnikowia_ipomoeae@Seq_3027	OG145433
Metschnikowia_ipomoeae@Seq_5124	OG127288
Metschnikowia_matae@Seq_2888	OG172230
Metschnikowia_mauinuiana@Seq_3578	OG107631
Saccharomyces_eubayanus@Seq_1544	OG175148
Saccharomyces_eubayanus@Seq_2475	OG41636
Saccharomyces_eubayanus@Seq_2501	OG136998
Saccharomyces_eubayanus@Seq_2947	OG101067
Saccharomyces_eubayanus@Seq_3029	OG31639
Saccharomyces_eubayanus@Seq_4101	OG159442
Saccharomyces_kudriavzevii@Seq_2356	OG129389
Saccharomyces_kudriavzevii@Seq_2581	OG113437
Saccharomyces_kudriavzevii@Seq_2611	OG193733
Saccharomyces_kudriavzevii@Seq_2698	OG231472
Saccharomyces_kudriavzevii@Seq_3853	OG202545
Saccharomyces_kudriavzevii@Seq_4460	OG41710
Saccharomyces_kudriavzevii@Seq_786	OG191971
Saccharomyces_mikatae@Seq_2244	OG176164
Saccharomyces_mikatae@Seq_3460	OG17255
Saccharomyces_mikatae@Seq_3517	OG197849
Saccharomyces_mikatae@Seq_729	OG126734
Saccharomyces_paradoxus@Seq_3479	OG41735
Saccharomyces_paradoxus@Seq_356	OG75493
Saccharomyces_paradoxus@Seq_4738	OG195505
Saccharomyces_uvarum@Seq_1308	OG104701
Saccharomyces_uvarum@Seq_8	OG217763
Saprochaete_clavata@Seq_4175	OG119111
