,OG,sce
0,OG1000,YKR103W
1,OG1000, YDR135C
2,OG1000, YLL048C
3,OG1000, YHL035C
4,OG1000, YLL015W
5,OG1000, YGR281W
6,OG1000, YKR104W
7,OG1001,YKR039W
8,OG1001, YOL020W
9,OG1001, YGR191W
10,OG1001, YBR068C
11,OG1001, YDR508C
12,OG1001, YBR069C
13,OG1001, YCL025C
14,OG1001, YDR046C
15,OG1001, YPL274W
16,OG1001, YLL061W
17,OG1002,YAL005C
18,OG1002, YBL075C
19,OG1002, YLL024C
20,OG1002, YLR369W
21,OG1002, YER103W
22,OG1002, YEL030W
23,OG1002, YDL229W
24,OG1002, YJL034W
25,OG1002, YJR045C
26,OG1002, YNL209W
27,OG1003,YOR011W
28,OG1003, YDR406W
29,OG1003, YIL013C
30,OG1003, YPL058C
31,OG1003, YNR070W
32,OG1003, YOR153W
33,OG1003, YDR011W
34,OG1003, YOR328W
35,OG1004,YIL145C
36,OG1004, YNR011C
37,OG1004, YGL120C
38,OG1004, YER013W
39,OG1004, YKR086W
40,OG1005,YOR381W
41,OG1005, YNR060W
42,OG1005, YKL220C
43,OG1006,YGR271W
44,OG1006, YER172C
45,OG1006, YER171W
46,OG1007,YGL157W
47,OG1007, YDR541C
48,OG1007, YGL039W
49,OG1007, YOL151W
50,OG1008,YAL026C
51,OG1008, YDR093W
52,OG1008, YER166W
53,OG1009,YDR021W
54,OG1009, YKR056W
55,OG1009, YKR059W
56,OG1009, YJL138C
57,OG1010,YHR179W
58,OG1010, YPL171C
59,OG1011,YPR194C
60,OG1012,YBR038W
61,OG1012, YNL192W
62,OG1013,YEL069C
63,OG1013, YFL011W
64,OG1013, YOL156W
65,OG1013, YMR011W
66,OG1013, YLR081W
67,OG1013, YDR345C
68,OG1013, YJL214W
69,OG1013, YDR342C
70,OG1013, YHR096C
71,OG1013, YHR092C
72,OG1013, YNR072W
73,OG1013, YDR343C
74,OG1013, YJL219W
75,OG1013, YJR158W
76,OG1013, YHR094C
77,OG1013, YDL245C
78,OG1014,YGR032W
79,OG1014, YLR342W
80,OG1014, YMR306W
81,OG1015,YOL119C
82,OG1015, YOR306C
83,OG1016,YBR145W
84,OG1016, YMR303C
85,OG1016, YMR083W
86,OG1016, YOL086C
87,OG1017,YGR260W
88,OG1018,YJL172W
89,OG1019,YDL174C
90,OG1020,YMR318C
91,OG1020, YCR105W
92,OG1021,YER073W
93,OG1021, YOR374W
94,OG1021, YPL061W
95,OG1022,YHR104W
96,OG1022, YLR351C
97,OG1023,YDL194W
98,OG1023, YDL138W
99,OG1024,YLL001W
100,OG1024, YKR001C
101,OG1025,YOR133W
102,OG1025, YDR385W
103,OG1025, YKL173W
104,OG1026,YPL226W
105,OG1026, YNL014W
106,OG1026, YLR249W
107,OG1027,YNL031C
108,OG1027, YBR010W
109,OG1028,YOR116C
110,OG1028, YDL140C
111,OG1029,YKR105C
112,OG1029, YCL069W
113,OG1029, YGR224W
114,OG1029, YPR198W
115,OG1030,YBR263W
116,OG1030, YLR058C
117,OG1031,YBR009C
118,OG1031, YNL030W
119,OG1032,YJR109C
120,OG1032, YJL130C
121,OG1033,YOR207C
122,OG1033, YOR151C
123,OG1034,YLR371W
124,OG1034, YGR070W
125,OG1034, YHR186C
126,OG1035,YKL203C
127,OG1035, YJR066W
128,OG1035, YJR065C
129,OG1036,YLR398C
130,OG1036, YJL050W
131,OG1037,YLL026W
132,OG1037, YDR258C
133,OG1038,YBR245C
134,OG1038, YOR304W
135,OG1039,YJL200C
136,OG1039, YLR304C
137,OG1040,YDL247W
138,OG1040, YBR298C
139,OG1040, YJR160C
140,OG1040, YGR289C
141,OG1041,YKL157W
142,OG1041, YHR047C
143,OG1042,YNR067C
144,OG1042, YLR144C
145,OG1043,YMR297W
146,OG1043, YBR139W
147,OG1044,YMR008C
148,OG1044, YMR006C
149,OG1044, YOL011W
150,OG1045,YOR120W
151,OG1045, YDR368W
152,OG1046,YOR270C
153,OG1046, YMR054W
154,OG1047,YER017C
155,OG1047, YMR089C
156,OG1048,YDL210W
157,OG1049,YEL031W
158,OG1049, YEL032W
159,OG1050,YJR096W
160,OG1051,YOR290C
161,OG1051, YIL126W
162,OG1052,YGR204W
163,OG1052, YBR084W
164,OG1053,YAL023C
165,OG1053, YGR199W
166,OG1053, YOR321W
167,OG1054,YGR240C
168,OG1054, YMR205C
169,OG1055,YLR153C
170,OG1055, YAL054C
171,OG1056,YNL009W
172,OG1056, YLR174W
173,OG1056, YDL066W
174,OG1057,YML072C
175,OG1057, YOR086C
176,OG1057, YNL087W
177,OG1058,YJR152W
178,OG1059,YFL041W
179,OG1059, YMR058W
180,OG1060,YDL080C
181,OG1060, YLR044C
182,OG1060, YLR134W
183,OG1060, YGR087C
184,OG1060, YDL079C
185,OG1061,YHR018C
186,OG1061, YHR019C
187,OG1062,YBR132C
188,OG1063,YOR109W
189,OG1063, YNL106C
190,OG1063, YIL002C
191,OG1064,YOR187W
192,OG1064, YNL172W
193,OG1065,YOL060C
194,OG1065, YKR048C
195,OG1066,YLR277C
196,OG1066, YLR276C
197,OG1067,YMR266W
198,OG1067, YOL084W
199,OG1068,YIL166C
200,OG1069,YJL198W
201,OG1069, YNR013C
202,OG1069, YCR037C
203,OG1070,YER070W
204,OG1070, YIL066C
205,OG1071,YPL109C
206,OG1071, YPL110C
207,OG1072,YPL088W
208,OG1073,YKL217W
209,OG1074,YKL209C
210,OG1075,YPR181C
211,OG1076,YKL215C
212,OG1077,YHR028C
213,OG1077, YOR219C
214,OG1078,YNR002C
215,OG1078, YCR010C
216,OG1080,YDL124W
217,OG1081,YBL011W
218,OG1081, YKR067W
219,OG1082,YOR085W
220,OG1082, YMR154C
221,OG1083,YKR093W
222,OG1084,YHR086W
223,OG1084, YBR212W
224,OG1085,YKR013W
225,OG1085, YJL079C
226,OG1086,YKL071W
227,OG1087,YER015W
228,OG1088,YDR225W
229,OG1088, YBL003C
230,OG1089,YAL067C
231,OG1089, YGR065C
232,OG1090,YFL040W
233,OG1091,YDR382W
234,OG1091, YOL039W
235,OG1092,YNL095C
236,OG1092, YOR092W
237,OG1092, YLR152C
238,OG1093,YDR224C
239,OG1093, YBL002W
240,OG1094,YKL163W
241,OG1094, YKL164C
242,OG1094, YJL159W
243,OG1095,YLR188W
244,OG1095, YPL270W
245,OG1096,YDL182W
246,OG1096, YDL131W
247,OG1097,YHR120W
248,OG1097, YHR119W
249,OG1098,YPR159W
250,OG1098, YGR143W
251,OG1099,YDR448W
252,OG1100,YPR048W
253,OG1100, YPR047W
254,OG1101,YNR059W
255,OG1101, YGL257C
256,OG1101, YER001W
257,OG1102,YLR121C
258,OG1102, YLR120C
259,OG1102, YDR144C
260,OG1103,YMR169C
261,OG1103, YMR170C
262,OG1104,YLR286C
263,OG1106,YJL190C
264,OG1106, YLR367W
265,OG1107,YLR241W
266,OG1108,YDL144C
267,OG1109,YLL057C
268,OG1110,YHL040C
269,OG1110, YEL065W
270,OG1110, YCL073C
271,OG1110, YKR106W
272,OG1110, YHL047C
273,OG1111,YDR234W
274,OG1112,YBR117C
275,OG1112, YPR074C
276,OG1113,YOR049C
277,OG1114,YLR454W
278,OG1114, YPR117W
279,OG1115,YOR108W
280,OG1115, YNL104C
281,OG1116,YBR093C
282,OG1116, YHR215W
283,OG1116, YAR071W
284,OG1116, YBR092C
285,OG1116, YDL024C
286,OG1117,YGL105W
287,OG1117, YNL001W
288,OG1118,YLL029W
289,OG1119,YBL042C
290,OG1119, YIR028W
291,OG1119, YBR021W
292,OG1120,YLL045C
293,OG1120, YHL033C
294,OG1121,YGR060W
295,OG1122,YGL205W
296,OG1123,YDR032C
297,OG1124,YGL054C
298,OG1125,YNL154C
299,OG1125, YHR135C
300,OG1126,YBR006W
301,OG1127,YNL268W
302,OG1127, YEL063C
303,OG1127, YNL270C
304,OG1128,YLR460C
305,OG1128, YCR102C
306,OG1128, YNL134C
307,OG1129,YEL046C
308,OG1130,YLL028W
309,OG1131,YBR118W
310,OG1131, YPR080W
311,OG1132,YDR293C
312,OG1133,YNL067W
313,OG1133, YGL147C
314,OG1134,YIL121W
315,OG1134, YIL120W
316,OG1134, YNL065W
317,OG1135,YCR094W
318,OG1135, YNL323W
319,OG1135, YNR048W
320,OG1136,YKL192C
321,OG1137,YDL022W
322,OG1137, YOL059W
323,OG1138,YBL104C
324,OG1138, YBL105C
325,OG1139,YJL003W
326,OG1139, YCR087C-A
327,OG1140,YOL120C
328,OG1140, YNL301C
329,OG1140, YOL121C
330,OG1140, YNL302C
331,OG1141,YCR028C
332,OG1142,YER060W-A
333,OG1142, YER056C
334,OG1142, YER060W
335,OG1145,YJR009C
336,OG1145, YGR192C
337,OG1145, YJL052W
338,OG1146,YJR110W
339,OG1147,YBR008C
340,OG1148,YLR419W
341,OG1149,YPR125W
342,OG1149, YOL027C
343,OG1152,YML059C
344,OG1153,YKL140W
345,OG1154,YJR126C
346,OG1155,YGL255W
347,OG1155, YLR130C
348,OG1156,YER062C
349,OG1156, YHR044C
350,OG1156, YHR043C
351,OG1156, YIL053W
352,OG1157,YGR019W
353,OG1158,YOR099W
354,OG1159,YFR031C-A
355,OG1159, YIL018W
356,OG1161,YMR193W
357,OG1161, YMR194W
358,OG1161, YPL249C-A
359,OG1162,YPL265W
360,OG1163,YPL208W
361,OG1163, YHL039W
362,OG1164,YOR348C
363,OG1165,YLR441C
364,OG1165, YML063W
365,OG1166,YDL095W
366,OG1166, YDL093W
367,OG1167,YKL046C
368,OG1168,YBR208C
369,OG1170,YIR031C
370,OG1170, YNL117W
371,OG1171,YPL036W
372,OG1171, YGL008C
373,OG1172,YKL040C
374,OG1173,YBL063W
375,OG1173, YEL061C
376,OG1174,YIL173W
377,OG1174, YBL017C
378,OG1174, YJL222W
379,OG1174, YNR065C
380,OG1175,YNL125C
381,OG1176,YER145C
382,OG1177,YGR040W
383,OG1177, YBL016W
384,OG1178,YML054C
385,OG1179,YJL216C
386,OG1179, YBR299W
387,OG1179, YIL172C
388,OG1179, YGR292W
389,OG1179, YJL221C
390,OG1179, YOL157C
391,OG1179, YGR287C
392,OG1180,YJR019C
393,OG1181,YMR307W
394,OG1183,YBR186W
395,OG1183, YBR187W
396,OG1185,YPL113C
397,OG1185, YGL185C
398,OG1187,YOR378W
399,OG1187, YMR279C
400,OG1187, YML116W
401,OG1188,YHR203C
402,OG1188, YJR145C
403,OG1190,YJL163C
404,OG1191,YPR022C
405,OG1192,YJL174W
406,OG1192, YDL049C
407,OG1193,YMR323W
408,OG1193, YPL281C
409,OG1193, YHR174W
410,OG1193, YOR393W
411,OG1193, YGR254W
412,OG1195,YOL103W
413,OG1195, YDR497C
414,OG1196,YDR038C
415,OG1196, YDR040C
416,OG1196, YDR039C
417,OG1197,YBR015C
418,OG1198,YPR103W
419,OG1199,YMR145C
420,OG1199, YDL085W
421,OG1200,YJR049C
422,OG1200, YEL041W
423,OG1201,YDR099W
424,OG1201, YER177W
425,OG1202,YMR109W
426,OG1202, YKL129C
427,OG1203,YKL146W
428,OG1203, YNL101W
429,OG1204,YIL107C
430,OG1205,YEL036C
431,OG1206,YGR197C
432,OG1206, YJR015W
433,OG1207,YHR176W
434,OG1208,YGL253W
435,OG1208, YFR053C
436,OG1209,YIL130W
437,OG1209, YJL206C
438,OG1210,YJR148W
439,OG1210, YHR208W
440,OG1211,YNR018W
441,OG1213,YPL048W
442,OG1213, YKL081W
443,OG1214,YNL274C
444,OG1215,YJR051W
445,OG1215, YEL047C
446,OG1216,YGL077C
447,OG1217,YDL192W
448,OG1217, YDL137W
449,OG1218,YPL262W
450,OG1219,YHR209W
451,OG1219, YER175C
452,OG1220,YPR127W
453,OG1221,YOR355W
454,OG1222,YIL052C
455,OG1222, YER056C-A
456,OG1223,YBR181C
457,OG1223, YPL090C
458,OG1224,YBR207W
459,OG1225,YBL097W
460,OG1226,YJL141C
461,OG1227,YMR226C
462,OG1228,YGL186C
463,OG1229,YML124C
464,OG1229, YML085C
465,OG1229, YML083C
466,OG1230,YBR023C
467,OG1231,YPR003C
468,OG1232,YOR246C
469,OG1233,YOR197W
470,OG1234,YDR155C
471,OG1234, YDR153C
472,OG1235,YBL049W
473,OG1236,YMR016C
474,OG1237,YKR052C
475,OG1237, YJL133W
