species	expansion	contraction	rapidly_evolving
Geotrichum_Candidum	97	45	0
Metschnikowia_Matae	445	166	440
Yhmpu5000034904_Ogataea_Nonfermentans	228	37	26
Yhmpu5000035670_Phaffomyces_Opuntiae	11	60	10
Metschnikowia_Aberdeeniae	214	119	213
Saccharomyces_Mikatae	1	180	1
Yhmpu5000034665_Kodamaea_Laetipori	130	86	101
Yhmpu5000034611_Saturnispora_Mendoncae	69	130	65
Yhmpu5000035686_Cyberlindnera_Saturnus	51	38	42
Yhmpu5000035048_Barnettozyma_Salicaria	55	98	3
Yhmpu5000035045_Barnettozyma_Hawaiiensis	7	78	2
Yhmpu5000034990_Candida_Corydali	150	269	80
Yhmpu5000034709_Kluyveromyces_Aestuarii	7	79	2
Eremothecium_Cymbalariae	6	90	2
Yhmpu5000034884_Peterozyma_Toletana	37	33	16
Yhmpu5000035707_Candida_Heveicola	147	108	135
Yhmpu5000035279_Tortispora_Starmeri	15	64	0
Yhmpu5000035673_Candida_Orba	15	49	15
Spathaspora_Gorwiae	150	89	138
Yhmpu5000034624_Pichia_Nakasei	56	193	43
Metschnikowia_Mauinuiana	375	75	373
Yhmpu5000034675_Blastobotrys_Mokoenaii	23	55	1
Yhmpu5000041829_Debaryomyces_Fabryi	98	111	88
Yhmpu5000035274_Wickerhamomyces_Alni	23	58	5
Lachancea_Meyersii	4	45	1
Metschnikowia_Kamakouana	351	225	349
Brettanomyces_Anomalus	52	39	43
Candida_Tenuis	85	239	74
Ascoidea_Asiatica	71	56	6
Yhmpu5000035652_Torulaspora_Maleeae	1	150	1
Yhmpu5000035699_Cyberlindnera_Maclurae	12	63	2
Candida_Apicola	11	61	0
Yhmpu5000034614_Saturnispora_Silvae	67	70	59
Yhmpu5000034918_Nakazawaea_Holstii	41	120	12
Yhmpu5000035690_Candida_Vartiovaarae	3	72	2
Metschnikowia_Proteae	250	97	249
Yhmpu5000034899_Ogataea_Kodamae	28	189	25
Lachancea_Lanzarotensis	4	56	1
Yhmpu5000035037_Candida_Montana	13	133	0
Naumovozyma_Dairenensis	24	36	1
Nakaseomyces_Nivariensis	12	33	1
Yhmpu5000041855_Candida_Ascalaphidarum	92	228	74
Yhmpu5000035651_Torulaspora_Microellipsoides	64	79	3
Metschnikowia_Hawaiiensis	359	138	358
Yhmpu5000034901_Ogataea_Methylivora	139	96	30
Yhmpu5000034643_Candida_Schatavii	135	144	81
Yhmpu5000035643_Yarrowia_Bubula	17	24	2
Ashbya_Aceri	5	42	1
Yhmpu5000034866_Zygosaccharomyces_Bisporus	6	65	1
Yhmpu5000034890_Ogataea_Ramenticola	55	71	36
Yhmpu5000035659_Saturnispora_Dispora	102	124	100
Yhmpu5000034865_Zygosaccharomyces_Kombuchaensis	9	122	4
Ogataea_Methanolica	57	50	34
Saccharomyces_Uvarum	7	49	5
Millerozyma_Acaciae	85	305	76
Yhmpu5000034886_Ogataea_Trehalophila	49	44	37
Yhmpu5000034654_Aciculoconidium_Aculeatum	119	104	93
Yhmpu5000034757_Lipomyces_Doorenjongii	15	63	0
Yhmpu5000034594_Starmera_Quercuum	46	76	3
Yhmpu5000034661_Dipodascus_Albidus	15	17	1
Ascoidea_Rubescens	38	142	5
Yhmpu5000034681_Blastobotrys_Americana	6	35	2
Yhmpu5000034862_Zygotorulaspora_Florentina	18	72	3
Yhmpu5000035687_Cyberlindnera_Suaveolens	7	51	7
Nakaseomyces_Castellii	7	96	1
Metschnikowia_Lockheadii	416	163	410
Yhmpu5000035633_Candida_Hispaniensis	6	60	0
Lachancea_Cidri	7	93	1
Yhmpu5000034670_Blastobotrys_Proliferans	18	40	0
Yhmpu5000034932_Kuraishia_Ogatae	47	184	23
Yhmpu5000034939_Komagataella_Pseudopastoris	8	88	7
Yhmpu5000034967_Candida_Freyschussii	12	147	2
Saccharomyces_Paradoxus	1	168	1
Debaryomyces_Hansenii	109	145	87
Metschnikowia_Arizonensis	321	140	317
Babjeviella_Inositovora	65	377	15
Yhmpu5000035031_Candida_Kruisii	193	88	88
Yhmpu5000026152_Torulaspora_Franciscae	61	103	58
Yhmpu5000035674_Kregervanrija_Delftensis	70	66	67
Yhmpu5000035675_Kregervanrija_Fluxuum	118	45	109
Candida_Auris	129	108	122
Candida_Parapsilosis	94	100	76
Saccharomyces_Eubayanus	10	44	9
Yhab136_Kazachstania_Bromeliacearum	26	91	2
Yhmpu5000034632_Candida_Athensensis	86	253	79
Yhmpu5000034946_Ambrosiozyma_Oregonensis	55	55	40
Yarrowia_Keelungensis	1	15	0
Yhmpu5000034893_Ogataea_Philodendra	34	107	23
Yhmpu5000034606_Priceomyces_Medius	109	142	91
Yhmpu5000026124_Ogataea_Henricii	37	74	28
Candida_Carpophila	75	108	75
Candida_Tanzawaensis	98	128	91
Yhab133_Kazachstania_Unispora	5	59	2
Eremothecium_Gossypii	5	41	1
Metschnikowia_Continentalis	438	159	432
Yhmpu5000034957_Hanseniaspora_Osmophila	34	34	1
Yhmpu5000034635_Nadsonia_Fulvescens	13	17	3
Meyerozyma_Guilliermondii	75	187	69
Yhab148_Kazachstania_Intestinalis	15	130	2
Candida_Dubliniensis	91	121	90
Dekkera_Bruxellensis	59	64	42
Metschnikowia_Bicuspidata	182	139	160
Komagataella_Pastoris	9	79	6
Yhmpu5000035696_Hanseniaspora_Singularis	8	45	1
Wickerhamomyces_Ciferrii	30	49	5
Yhmpu5000035679_Candida_Rhagii	127	82	125
Yhab159_Kazachstania_Solicola	36	50	35
Yhmpu5000034877_Tetrapisispora_Namnaonensis	4	22	2
Spathaspora_Passalidarum	88	121	82
Saprochaete_Clavata	16	38	2
Yhmpu5000035335_Candida_Blattae	174	112	158
Candida_Succiphila	38	136	28
Yhmpu5000041818_Magnusiomyces_Tetrasperma	269	39	0
Ambrosiozyma_Monospora	99	83	42
Yhmpu5000035645_Yarrowia_Divulgata	21	7	17
Yhmpu5000041743_Candida_Hawaiiana	257	311	230
Metschnikowia_Ipomoeae	382	181	377
Yhab134_Kazachstania_Turicensis	21	48	3
Metschnikowia_Hamakuensis	374	114	372
Saccharomycopsis_Malanga	24	27	1
Yhmpu5000034897_Ogataea_Glucozyma	98	71	34
Priceomyces_Haplophilus	92	135	89
Yhmpu5000041862_Candida_Golubevii	211	67	196
Sugiyamaella_Lignohabitans	28	46	0
Clavispora_Lusitaniae	157	86	151
Yhmpu5000034885_Ogataea_Zsoltii	40	109	31
Yhmpu5000041822_Dipodascus_Geniculatus	12	30	1
Starmerella_Bombicola_Jcm9596	6	56	1
Yhmpu5000034607_Saccharomycopsis_Capsularis	28	29	3
Metschnikowia_Hibisci	244	117	242
Hanseniaspora_Uvarum	13	38	11
Yhmpu5000034933_Kuraishia_Molischiana	30	35	22
Yhab147_Kazachstania_Taianensis	12	143	2
Ogataea_Polymorpha	22	106	22
Yhab154_Kazachstania_Transvaalensis	8	120	2
Yhmpu5000035684_Kloeckera_Hatyaiensis	9	27	1
Yhmpu5000041678_Debaryomyces_Prosopidis	173	158	83
Yhmpu5000034760_Lipomyces_Kononenkoae	11	31	0
Yhmpu5000035297_Priceomyces_Castillae	109	115	92
Lachancea_Fermentati	5	52	2
Yhmpu5000034613_Saturnispora_Serradocipensis	92	166	90
Yhmpu5000035301_Pichia_Terricola	84	47	63
Saccharomyces_Kudriavzevii	6	179	1
Yhmpu5000041693_Debaryomyces_Nepalensis	99	208	87
Yhmpu5000035271_Wickerhamomyces_Bovis	21	96	3
