heat_type,expansion
Heat tolerance,531
Heat tolerance,548
Heat tolerance,1322
Heat tolerance,567
Heat tolerance,531
Heat tolerance,574
Heat tolerance,586
Heat tolerance,652
Heat tolerance,1883
Heat tolerance,1054
Heat tolerance,1081
Heat tolerance,509
Heat tolerance,494
Heat tolerance,561
Heat tolerance,535
Heat tolerance,545
Heat tolerance,544
No Heat tolerance,48
No Heat tolerance,276
No Heat tolerance,55
No Heat tolerance,61
No Heat tolerance,36
No Heat tolerance,30
No Heat tolerance,17
No Heat tolerance,24
No Heat tolerance,70
No Heat tolerance,559
No Heat tolerance,556
No Heat tolerance,777
No Heat tolerance,522
No Heat tolerance,513
No Heat tolerance,577
No Heat tolerance,741
No Heat tolerance,544
No Heat tolerance,512
No Heat tolerance,582
No Heat tolerance,489
No Heat tolerance,544
No Heat tolerance,539
No Heat tolerance,550
No Heat tolerance,533
No Heat tolerance,564
No Heat tolerance,598
No Heat tolerance,593
No Heat tolerance,530
No Heat tolerance,549
No Heat tolerance,540
No Heat tolerance,572
No Heat tolerance,864
No Heat tolerance,571
No Heat tolerance,580
No Heat tolerance,638
No Heat tolerance,587
No Heat tolerance,541
No Heat tolerance,675
No Heat tolerance,563
No Heat tolerance,599
No Heat tolerance,1135
No Heat tolerance,559
No Heat tolerance,549
No Heat tolerance,580
No Heat tolerance,608
No Heat tolerance,594
No Heat tolerance,619
No Heat tolerance,579
No Heat tolerance,705
No Heat tolerance,596
No Heat tolerance,580
No Heat tolerance,611
No Heat tolerance,571
No Heat tolerance,584
No Heat tolerance,618
No Heat tolerance,526
No Heat tolerance,577
No Heat tolerance,603
No Heat tolerance,541
No Heat tolerance,596
No Heat tolerance,723
No Heat tolerance,615
No Heat tolerance,613
No Heat tolerance,616
No Heat tolerance,2185
No Heat tolerance,664
No Heat tolerance,649
No Heat tolerance,611
No Heat tolerance,522
No Heat tolerance,597
No Heat tolerance,1085
No Heat tolerance,590
No Heat tolerance,527
No Heat tolerance,860
No Heat tolerance,541
No Heat tolerance,760
No Heat tolerance,552
No Heat tolerance,604
No Heat tolerance,571
No Heat tolerance,625
No Heat tolerance,611
No Heat tolerance,597
No Heat tolerance,586
No Heat tolerance,602
No Heat tolerance,571
No Heat tolerance,593
No Heat tolerance,559
No Heat tolerance,630
No Heat tolerance,615
No Heat tolerance,625
No Heat tolerance,607
No Heat tolerance,576
No Heat tolerance,628
No Heat tolerance,525
No Heat tolerance,577
No Heat tolerance,741
No Heat tolerance,583
No Heat tolerance,579
No Heat tolerance,683
No Heat tolerance,1207
No Heat tolerance,1055
No Heat tolerance,1648
No Heat tolerance,2005
No Heat tolerance,1067
No Heat tolerance,1019
No Heat tolerance,1131
No Heat tolerance,1042
No Heat tolerance,1167
No Heat tolerance,1954
No Heat tolerance,1155
No Heat tolerance,1554
No Heat tolerance,1135
No Heat tolerance,3859
No Heat tolerance,4167
No Heat tolerance,2588
No Heat tolerance,4777
No Heat tolerance,4110
No Heat tolerance,4848
No Heat tolerance,4836
No Heat tolerance,4064
No Heat tolerance,4046
No Heat tolerance,4616
No Heat tolerance,4580
No Heat tolerance,4025
No Heat tolerance,4629
No Heat tolerance,3967
No Heat tolerance,4812
No Heat tolerance,4664
No Heat tolerance,4802
No Heat tolerance,4047
No Heat tolerance,1048
No Heat tolerance,1094
No Heat tolerance,1091
No Heat tolerance,1206
No Heat tolerance,1193
No Heat tolerance,1104
No Heat tolerance,1129
No Heat tolerance,1252
No Heat tolerance,1200
No Heat tolerance,1105
No Heat tolerance,1106
No Heat tolerance,1131
No Heat tolerance,2771
No Heat tolerance,1097
No Heat tolerance,1134
No Heat tolerance,1144
No Heat tolerance,3846
No Heat tolerance,1169
No Heat tolerance,1145
No Heat tolerance,1366
