Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Geotrichum&Candidum	97 (0)	102	1.05	45 (0)	45	1.0	1767	0.0175275
Metschnikowia&Matae	445 (440)	544	1.22	166 (164)	171	1.03	1298	0.0313914
Yhmpu5000034904&Ogataea&Nonfermentans	228 (26)	236	1.04	37 (0)	37	1.0	1644	0.0516486
Yhmpu5000035670&Phaffomyces&Opuntiae	11 (10)	12	1.09	60 (1)	61	1.02	1838	-0.00754256
Metschnikowia&Aberdeeniae	214 (213)	219	1.02	119 (118)	119	1.0	1576	0.00244235
Saccharomyces&Mikatae	1 (1)	1	1.0	180 (0)	180	1.0	1728	-0.0484161
Yhmpu5000034665&Kodamaea&Laetipori	130 (101)	154	1.18	86 (0)	86	1.0	1693	0.00581855
Yhmpu5000034611&Saturnispora&Mendoncae	69 (65)	77	1.12	130 (1)	131	1.01	1710	-0.01645
Yhmpu5000035686&Cyberlindnera&Saturnus	51 (42)	55	1.08	38 (0)	38	1.0	1820	0.0104159
Yhmpu5000035048&Barnettozyma&Salicaria	55 (3)	58	1.05	98 (0)	99	1.01	1756	-0.0117089
Yhmpu5000035045&Barnettozyma&Hawaiiensis	7 (2)	8	1.14	78 (0)	78	1.0	1824	-0.0293082
Yhmpu5000034990&Candida&Corydali	150 (80)	157	1.05	269 (1)	270	1.0	1490	-0.0254292
Yhmpu5000034709&Kluyveromyces&Aestuarii	7 (2)	10	1.43	79 (0)	79	1.0	1823	-0.0230587
Eremothecium&Cymbalariae	6 (2)	6	1.0	90 (0)	90	1.0	1813	-0.0204727
Yhmpu5000034884&Peterozyma&Toletana	37 (16)	37	1.0	33 (0)	33	1.0	1839	0.0042382
Yhmpu5000035707&Candida&Heveicola	147 (135)	148	1.01	108 (0)	108	1.0	1654	-0.00222685
Yhmpu5000035279&Tortispora&Starmeri	15 (0)	16	1.07	64 (0)	64	1.0	1830	-0.0135048
Yhmpu5000035673&Candida&Orba	15 (15)	16	1.07	49 (0)	49	1.0	1845	-0.00675239
Spathaspora&Gorwiae	150 (138)	160	1.07	89 (0)	89	1.0	1670	0.0130738
Yhmpu5000034624&Pichia&Nakasei	56 (43)	59	1.05	193 (0)	193	1.0	1660	-0.0410172
Metschnikowia&Mauinuiana	375 (373)	404	1.08	75 (74)	77	1.03	1459	0.0268659
Yhmpu5000034675&Blastobotrys&Mokoenaii	23 (1)	28	1.22	55 (0)	55	1.0	1831	-0.0183176
Yhmpu5000041829&Debaryomyces&Fabryi	98 (88)	102	1.04	111 (0)	111	1.0	1700	-0.00610588
