"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YPR110C"	"6eu3@C@0"	1	335	1	335	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YJR145C"	"6fai@E@1"	1	260	2	261	"dN_dS_max_gap_ratio_0.5"	"0.7496"
"YIL065C"	"3uux@A@2"	1	127	3	129	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YER151C"	"2qiy@C@3"	1	25	206	230	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YER151C"	"2qiy@D@4"	1	25	206	230	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YLR441C"	"6fai@B@5"	1	214	20	233	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YLR287C-A"	"6eml@g@6"	1	60	2	61	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YKL156W"	"6fai@b@7"	1	81	2	82	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YGL189C"	"5ll6@e@8"	1	97	2	98	"dN_dS_max_gap_ratio_0.5"	"NA"
"YGR027C"	"6eml@K@9"	1	64	42	105	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YJL190C"	"6fai@W@10"	1	129	2	130	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YOL121C"	"6fai@T@11"	1	143	2	144	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YDR450W"	"6fai@S@12"	1	135	2	136	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YML024W"	"6fai@R@13"	1	125	2	126	"dN_dS_max_gap_ratio_0.5"	"NA"
"YER106W"	"5ktb@C@14"	1	42	222	263	"dN_dS_max_gap_ratio_0.5"	"NA"
"YMR143W"	"6eml@F@15"	1	141	3	143	"dN_dS_max_gap_ratio_0.5"	"0.9156"
"YOR369C"	"6fai@M@16"	1	125	18	142	"dN_dS_max_gap_ratio_0.5"	"0.5323"
"YHR118C"	"5v8f@F@18"	1	15	413	427	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YHR118C"	"5udb@F@19"	1	15	413	427	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YGR195W"	"5c0x@B@20"	1	244	1	244	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YOR294W"	"5a53@A@21"	1	65	9	73	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YOR294W"	"5a53@B@22"	1	22	85	106	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
"YDR280W"	"5vzj@A@23"	1	302	3	304	"dN_dS_max_gap_ratio_0.5"	"No interesting sites or related Ortholog groups!"
