# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	1	N3	0.02583	0.04552	0.3587	3	0.056	0.05606
gain	1	N4	0.07426	0.1198	0.3808	2	0.09635	0.09715
loss	1	N4	0.07426	0.1198	0.3808	2	0.1137	0.1147
gain	1	N5	0.04689	0.1667	0.3339	2	0.06329	0.06351
loss	1	N5	0.04689	0.1667	0.3339	2	0.06787	0.06811
gain	1	N6	0.1259	0.2925	0.208	2	0.09996	0.1019
loss	1	N6	0.1259	0.2925	0.208	2	0.243	0.2487
loss	1	N7	0.04318	0.3357	0.1648	1	0.05572	0.05588
gain	1	N9	0.117	0.4862	0.08374	1	0.09329	0.09484
loss	1	N9	0.117	0.4862	0.08374	1	0.113	0.1151
gain	1	N11	0.03714	0.5513	0.02961	1	0.1301	0.1304
loss	1	N12	0.0233	0.5746	0.006311	1	0.1269	0.1271
loss	1	N14	0.0003274	0.581	7.442e-07	1	0.09221	0.09221
gain	1	Escherichia_coli_K12	0.0003274	0.581	0	0	0.9078	0.9078
loss	1	Salmonella_typhimurium	0.006311	0.5809	0	0	0.06872	0.06873
gain	1	Yersinia_pestis	0.03408	0.5854	0	0	0.8104	0.812
loss	1	N15	0.0665	0.5807	0.02561	1	0.08873	0.08935
loss	1	Vibrio_cholerae	0.08374	0.5699	0	0	0.08754	0.08844
gain	1	Pseudomonas_aeruginosa	0.1314	0.5006	0	0	0.07036	0.07137
loss	1	Pseudomonas_aeruginosa	0.1314	0.5006	0	0	0.1454	0.1487
gain	1	Xylella_fastidiosa_9a5c	0.2615	0.5973	0	0	0.2184	0.2303
loss	1	Xylella_fastidiosa_9a5c	0.2615	0.5973	0	0	0.3012	0.3234
gain	1	N16	0.09377	0.3863	0.1479	1	0.07994	0.08087
loss	1	N16	0.09377	0.3863	0.1479	1	0.1084	0.1098
gain	1	N17	0.1469	0.5333	0.0009972	1	0.08524	0.08677
loss	1	N17	0.1469	0.5333	0.0009972	1	0.1698	0.1745
gain	1	Ralstonia_solanacearum	0.1484	0.5347	0	0	0.08672	0.0883
loss	1	Ralstonia_solanacearum	0.1484	0.5347	0	0	0.1712	0.1761
gain	1	N18	0.1758	0.3425	0.1782	1	0.3825	0.3998
loss	1	N18	0.1758	0.3425	0.1782	1	0.1723	0.1786
gain	1	N19	0.1072	0.4497	0.07955	2	0.528	0.5379
gain	1	Caulobacter_vibrioides	0.1782	0.5206	0	0	0.08962	0.09175
loss	1	Caulobacter_vibrioides	0.1782	0.5206	0	0	0.5494	0.5764
gain	1	N22	0.308	0.4278	0.1518	1	0.3381	0.3708
loss	1	N22	0.308	0.4278	0.1518	1	0.4298	0.4778
gain	1	N23	0.2492	0.677	0.00474	1	0.1954	0.205
loss	1	N23	0.2492	0.677	0.00474	1	0.3404	0.3657
gain	1	Campylobacter_jejuni	0.1518	0.5796	0	0	0.08607	0.08769
loss	1	Campylobacter_jejuni	0.1518	0.5796	0	0	0.2409	0.2487
gain	1	Fusobacterium_nucleatum	0.3395	0.4321	0	0	0.2901	0.3153
loss	1	Fusobacterium_nucleatum	0.3395	0.4321	0	0	0.4976	0.5653
gain	1	N26	0.05727	0.1499	0.2544	1	0.06467	0.06499
loss	1	N26	0.05727	0.1499	0.2544	1	0.09161	0.09209
gain	1	Aquifex_aeolicus	0.305	0.4549	0	0	0.2538	0.2719
loss	1	Aquifex_aeolicus	0.305	0.4549	0	0	0.4453	0.4948
gain	1	Thermotoga_maritima	0.2544	0.4042	0	0	0.1939	0.2037
loss	1	Thermotoga_maritima	0.2544	0.4042	0	0	0.3942	0.4266
gain	1	N27	0.03224	0.098	0.3984	1	0.05175	0.05183
gain	1	Deinococcus_radiodurans	0.4384	0.5364	0	0	0.8926	1.126
loss	1	Deinococcus_radiodurans	0.4384	0.5364	0	0	0.3597	0.4079
gain	1	N28	0.309	0.407	0.08941	1	0.2874	0.3118
loss	1	N28	0.309	0.407	0.08941	1	0.4681	0.5226
loss	1	Nostoc_sp__PCC_7120	0.08941	0.4964	0	0	0.105	0.1062
gain	1	Synechocystis_sp__PCC6803	0.1165	0.5234	0	0	0.05689	0.05754
loss	1	Synechocystis_sp__PCC6803	0.1165	0.5234	0	0	0.1263	0.1286
gain	1	N29	0.3762	0.3959	0.1197	1	0.746	0.8864
loss	1	N29	0.3762	0.3959	0.1197	1	0.3496	0.3922
gain	1	Corynebacterium_glutamicum	0.1563	0.5522	0	0	0.2905	0.3007
loss	1	Corynebacterium_glutamicum	0.1563	0.5522	0	0	0.1088	0.1111
gain	1	N30	0.1197	0.5156	7.442e-07	1	0.2498	0.2553
loss	1	N30	0.1197	0.5156	7.442e-07	1	0.06496	0.06577
gain	1	N31	0.03211	0.03211	0.2817	1	0.06012	0.06022
gain	1	Clostridium_acetobutylicum	0.2846	0.3167	0	0	0.2121	0.225
loss	1	Clostridium_acetobutylicum	0.2846	0.3167	0	0	0.5194	0.5757
gain	1	N32	0.1373	0.1694	0.1444	2	0.3617	0.3722
loss	1	N32	0.1373	0.1694	0.1444	2	0.1221	0.125
gain	1	N33	0.02105	0.1904	0.1234	1	0.1149	0.115
loss	1	Listeria_innocua	0.1024	0.3138	0	0	0.7418	0.7548
gain	1	N35	0.02908	0.2405	0.07338	1	0.1731	0.1733
gain	1	Bacillus_halodurans	0.08897	0.3294	0	0	0.1425	0.1442
gain	1	Bacillus_subtilis	0.07338	0.3138	0	0	0.1305	0.1316
gain	1	Staphylococcus_aureus_N315	0.148	0.3384	0	0	0.3759	0.3882
loss	1	Staphylococcus_aureus_N315	0.148	0.3384	0	0	0.09064	0.09234
gain	1	N36	0.1626	0.332	0.06485	1	0.07887	0.08059
loss	1	N36	0.1626	0.332	0.06485	1	0.605	0.6304
loss	1	Lactococcus_lactis	0.08345	0.4154	0	0	0.07868	0.07944
