	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041743_Candida_hawaiiana
0	OG0000000		augustus_masked-flattened_line_102-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.0&CDS=1-1548, augustus_masked-flattened_line_40-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.100&CDS=1-2568, augustus_masked-flattened_line_58-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.47&CDS=1-1362, augustus_masked-flattened_line_74-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.7&CDS=1-1596, augustus_masked-flattened_line_8-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.105&CDS=1-1215, augustus_masked-flattened_line_80-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.5&CDS=1-3408, augustus_masked-flattened_line_82-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.9&CDS=1-1422, augustus_masked-flattened_line_88-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.3&CDS=1-2280, augustus_masked-flattened_line_92-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.0&CDS=1-2205, genemark-flattened_line_0-processed-gene-9.159-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.159&CDS=1-1437, genemark-flattened_line_14-processed-gene-5.124-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-5.124&CDS=1-993, genemark-flattened_line_76-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.5&CDS=1-2007, maker-flattened_line_168-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_168-augustus-gene-0.0&CDS=1-591, maker-flattened_line_38-snap-gene-0.153-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.153&CDS=1-1038, snap_masked-flattened_line_108-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.0&CDS=1-480, snap_masked-flattened_line_112-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.4&CDS=1-480, snap_masked-flattened_line_40-processed-gene-0.165-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.165&CDS=1-1251, snap_masked-flattened_line_62-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.100&CDS=1-996, snap_masked-flattened_line_78-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.1&CDS=1-1572, snap_masked-flattened_line_84-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.6&CDS=1-1989
1	OG0000001	YBR068C, YCL025C, YDR046C, YDR508C, YKR039W	augustus_masked-flattened_line_0-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.2&CDS=1-1722, augustus_masked-flattened_line_0-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.5&CDS=1-1755, augustus_masked-flattened_line_38-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.124&CDS=1-1728, augustus_masked-flattened_line_50-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.56&CDS=1-1659, augustus_masked-flattened_line_56-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.122&CDS=1-1674, genemark-flattened_line_0-processed-gene-9.193-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.193&CDS=1-1803
2	OG0000002	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W	augustus_masked-flattened_line_18-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-3.37&CDS=1-1755, augustus_masked-flattened_line_2-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.73&CDS=1-1821, augustus_masked-flattened_line_8-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.83&CDS=1-1761, genemark-flattened_line_20-processed-gene-3.124-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.124&CDS=1-1833
3	OG0000003	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	augustus_masked-flattened_line_0-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.112&CDS=1-2496, augustus_masked-flattened_line_38-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.105&CDS=1-3324, augustus_masked-flattened_line_6-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.68&CDS=1-2235, augustus_masked-flattened_line_8-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.101&CDS=1-2607, augustus_masked-flattened_line_8-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.79&CDS=1-3321
4	OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
5	OG0000005	YBR240C, YDR207C, YLR014C	augustus_masked-flattened_line_0-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.34&CDS=1-2403, augustus_masked-flattened_line_2-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.39&CDS=1-732, augustus_masked-flattened_line_6-processed-gene-6.156-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.156&CDS=1-2850, maker-flattened_line_6-augustus-gene-1.131-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-1.131&CDS=1-4995, snap_masked-flattened_line_0-processed-gene-7.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.114&CDS=1-993, snap_masked-flattened_line_6-processed-gene-6.30-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.30&CDS=1-1419
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_32-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.46&CDS=1-1701
7	OG0000007	YDL047W, YDL134C, YDR075W, YNR032W	augustus_masked-flattened_line_10-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.62&CDS=1-942, augustus_masked-flattened_line_16-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.21&CDS=1-1020, augustus_masked-flattened_line_2-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.60&CDS=1-1068, augustus_masked-flattened_line_28-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.52&CDS=1-918
8	OG0000008	YJR061W, YKL201C	augustus_masked-flattened_line_10-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.57&CDS=1-2271, augustus_masked-flattened_line_16-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.42&CDS=1-2688, augustus_masked-flattened_line_22-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.25&CDS=1-2499, augustus_masked-flattened_line_32-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.161&CDS=1-1812, augustus_masked-flattened_line_8-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-6.76&CDS=1-2274, genemark-flattened_line_6-processed-gene-5.2-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.2&CDS=1-1761
9	OG0000009	YKL096W	augustus_masked-flattened_line_112-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.2&CDS=1-297, augustus_masked-flattened_line_122-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.2&CDS=1-831, augustus_masked-flattened_line_156-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.0&CDS=1-897, augustus_masked-flattened_line_178-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_178-processed-gene-0.1&CDS=1-798, augustus_masked-flattened_line_86-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.3&CDS=1-882, augustus_masked-flattened_line_88-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.2&CDS=1-297, augustus_masked-flattened_line_96-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.3&CDS=1-852
