	OrthologID	Saccharomyces_cerevisiae	yHAB147_Kazachstania_taianensis
0	OG0000000	YBL005W-B, YBR012W-B, YDR098C-B, YDR210C-D, YDR316W-B, YDR365W-B, YER138C, YER160C, YGR027W-B, YGR038C-B, YGR161C-D, YHL009W-A, YHL009W-B, YHR214C-B, YJL113W, YJL114W, YJR027W, YJR029W, YLR157C-B, YLR227W-B, YML039W, YML045W, YMR045C, YMR050C, YNL054W-B, YNL284C-B, YOL103W-B, YOR142W-B, YPL060C-A, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B	augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-NODE_14_length_255832_cov_91.9708_ID_27-processed-gene-1.205&CDS=1-891
1	OG0000001	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-NODE_123_length_7588_cov_51.5998_ID_245-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_123_length_7588_cov_51.5998_ID_245-processed-gene-0.2&CDS=1-726
2	OG0000002	YBL111C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
3	OG0000003	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YNL318C	augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.92&CDS=1-1668, augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.84&CDS=1-1671, augustus_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-0.81&CDS=1-1719, augustus_masked-NODE_55_length_78215_cov_50.8461_ID_109-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_55_length_78215_cov_50.8461_ID_109-processed-gene-0.12&CDS=1-1683, augustus_masked-NODE_83_length_39234_cov_52.5968_ID_165-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_83_length_39234_cov_52.5968_ID_165-processed-gene-0.11&CDS=1-1716, augustus_masked-NODE_98_length_19989_cov_49.0837_ID_195-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_98_length_19989_cov_49.0837_ID_195-processed-gene-0.0&CDS=1-1671, genemark-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.40&CDS=1-1551, genemark-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-2.50-mRNA-1_1&gene=genemark-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-2.50&CDS=1-1671, maker-NODE_83_length_39234_cov_52.5968_ID_165-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_83_length_39234_cov_52.5968_ID_165-snap-gene-0.1&CDS=1-1692
4	OG0000004	YGR201C	augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-0.38&CDS=1-366, augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_16_length_222083_cov_51.2016_ID_31-processed-gene-0.56&CDS=1-654, augustus_masked-NODE_220_length_708_cov_112.041_ID_439-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_220_length_708_cov_112.041_ID_439-processed-gene-0.0&CDS=1-405, augustus_masked-NODE_43_length_91591_cov_49.4799_ID_85-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_43_length_91591_cov_49.4799_ID_85-processed-gene-0.0&CDS=1-366, augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_45_length_86809_cov_48.3845_ID_89-processed-gene-0.89&CDS=1-687, augustus_masked-NODE_83_length_39234_cov_52.5968_ID_165-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_83_length_39234_cov_52.5968_ID_165-processed-gene-0.7&CDS=1-405, maker-NODE_17_length_204173_cov_50.8345_ID_33-snap-gene-1.55-mRNA-1_1&gene=maker-NODE_17_length_204173_cov_50.8345_ID_33-snap-gene-1.55&CDS=1-1233, snap_masked-NODE_21_length_190094_cov_51.4208_ID_41-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_21_length_190094_cov_51.4208_ID_41-processed-gene-0.121&CDS=1-657, snap_masked-NODE_33_length_127725_cov_53.4273_ID_65-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_33_length_127725_cov_53.4273_ID_65-processed-gene-0.119&CDS=1-2361, snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_4_length_472607_cov_50.686_ID_7-processed-gene-1.33&CDS=1-654
5	OG0000005	YER032W	augustus_masked-NODE_102_length_16773_cov_55.1352_ID_203-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_102_length_16773_cov_55.1352_ID_203-processed-gene-0.1&CDS=1-2457, augustus_masked-NODE_103_length_14088_cov_53.5892_ID_205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_103_length_14088_cov_53.5892_ID_205-processed-gene-0.0&CDS=1-1905, augustus_masked-NODE_126_length_7252_cov_58.2301_ID_251-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_126_length_7252_cov_58.2301_ID_251-processed-gene-0.0&CDS=1-1050, augustus_masked-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_59_length_74004_cov_47.9575_ID_117-processed-gene-0.76&CDS=1-4278, augustus_masked-NODE_84_length_35853_cov_50.1719_ID_167-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_84_length_35853_cov_50.1719_ID_167-processed-gene-0.31&CDS=1-1911, snap_masked-NODE_133_length_5910_cov_57.7067_ID_265-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_133_length_5910_cov_57.7067_ID_265-processed-gene-0.3&CDS=1-483, snap_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-4.67-mRNA-1_1&gene=snap_masked-NODE_2_length_509446_cov_49.8933_ID_3-processed-gene-4.67&CDS=1-1878, snap_masked-NODE_50_length_81755_cov_50.0807_ID_99-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_50_length_81755_cov_50.0807_ID_99-processed-gene-0.47&CDS=1-2196, snap_masked-NODE_87_length_33985_cov_53.7132_ID_173-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_87_length_33985_cov_53.7132_ID_173-processed-gene-0.3&CDS=1-2412
6	OG0000006		augustus_masked-NODE_147_length_3093_cov_222.376_ID_293-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_147_length_3093_cov_222.376_ID_293-processed-gene-0.0&CDS=1-1389, augustus_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-0.55&CDS=1-3261, augustus_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.117&CDS=1-990, snap_masked-NODE_195_length_940_cov_260.189_ID_389-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_195_length_940_cov_260.189_ID_389-processed-gene-0.1&CDS=1-414, snap_masked-NODE_198_length_925_cov_263.02_ID_395-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_198_length_925_cov_263.02_ID_395-processed-gene-0.3&CDS=1-414, snap_masked-NODE_210_length_759_cov_252.597_ID_419-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_210_length_759_cov_252.597_ID_419-processed-gene-0.1&CDS=1-591, snap_masked-NODE_235_length_638_cov_294.729_ID_469-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_235_length_638_cov_294.729_ID_469-processed-gene-0.1&CDS=1-543, snap_masked-NODE_62_length_72739_cov_49.8233_ID_123-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_62_length_72739_cov_49.8233_ID_123-processed-gene-0.53&CDS=1-612, snap_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.99-mRNA-1_1&gene=snap_masked-NODE_6_length_412999_cov_51.6042_ID_11-processed-gene-3.99&CDS=1-1197
7	OG0000007	YBR012C	augustus_masked-NODE_15_length_232496_cov_50.2277_ID_29-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_15_length_232496_cov_50.2277_ID_29-processed-gene-0.67&CDS=1-5070, augustus_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-1.133&CDS=1-918, augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.115&CDS=1-2676, augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_36_length_122875_cov_46.3907_ID_71-processed-gene-0.92&CDS=1-1905, snap_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_17_length_204173_cov_50.8345_ID_33-processed-gene-1.85&CDS=1-204, snap_masked-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_42_length_99769_cov_49.1976_ID_83-processed-gene-0.76&CDS=1-1773, snap_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NODE_7_length_410651_cov_51.2912_ID_13-processed-gene-1.80&CDS=1-1926
8	OG0000008		augustus_masked-NODE_110_length_12447_cov_45.1782_ID_219-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_110_length_12447_cov_45.1782_ID_219-processed-gene-0.2&CDS=1-2193, augustus_masked-NODE_127_length_6816_cov_104.235_ID_253-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_127_length_6816_cov_104.235_ID_253-processed-gene-0.4&CDS=1-4383, augustus_masked-NODE_215_length_722_cov_116.972_ID_429-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_215_length_722_cov_116.972_ID_429-processed-gene-0.1&CDS=1-720, augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_26_length_170956_cov_49.4269_ID_51-processed-gene-0.91&CDS=1-4197, augustus_masked-NODE_51_length_80233_cov_48.0239_ID_101-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_51_length_80233_cov_48.0239_ID_101-processed-gene-0.12&CDS=1-2046, augustus_masked-NODE_96_length_22567_cov_51.9963_ID_191-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_96_length_22567_cov_51.9963_ID_191-processed-gene-0.13&CDS=1-1116, genemark-NODE_44_length_89130_cov_53.0913_ID_87-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_44_length_89130_cov_53.0913_ID_87-processed-gene-0.7&CDS=1-2001, snap_masked-NODE_84_length_35853_cov_50.1719_ID_167-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_84_length_35853_cov_50.1719_ID_167-processed-gene-0.7&CDS=1-282
9	OG0000009	YAR042W, YDL019C, YOL055C, YPL258C, YPR121W	maker-NODE_16_length_222083_cov_51.2016_ID_31-augustus-gene-1.61-mRNA-1_1&gene=maker-NODE_16_length_222083_cov_51.2016_ID_31-augustus-gene-1.61&CDS=1-5553, maker-NODE_76_length_42030_cov_43.6002_ID_151-augustus-gene-0.36-mRNA-1_1&gene=maker-NODE_76_length_42030_cov_43.6002_ID_151-augustus-gene-0.36&CDS=1-5670
