	OrthologID	Candida_glabrata	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-CR380949-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.15&CDS=1-1311, augustus_masked-CR380951-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-0.44&CDS=1-714, snap_masked-CR380953-processed-gene-8.39-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-8.39&CDS=1-1731	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
1	OG0000001	maker-CR380947-snap-gene-1.1-mRNA-1_1&gene=maker-CR380947-snap-gene-1.1&CDS=1-5055, snap_masked-CR380947-processed-gene-0.72-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-0.72&CDS=1-1647, snap_masked-CR380947-processed-gene-2.92-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-2.92&CDS=1-1656, snap_masked-CR380947-processed-gene-2.93-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-2.93&CDS=1-1647, snap_masked-CR380947-processed-gene-2.95-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-2.95&CDS=1-1668, snap_masked-CR380950-processed-gene-2.108-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-2.108&CDS=1-1692, snap_masked-CR380950-processed-gene-2.126-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-2.126&CDS=1-1692, snap_masked-CR380955-processed-gene-0.97-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-0.97&CDS=1-1665, snap_masked-CR380959-processed-gene-4.13-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-4.13&CDS=1-1593	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YMR011W, YNL318C
2	OG0000002	augustus_masked-CR380949-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.16&CDS=1-4824, augustus_masked-CR380950-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-CR380950-processed-gene-5.109&CDS=1-1875, augustus_masked-CR380951-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-0.43&CDS=1-4692, augustus_masked-CR380951-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-0.45&CDS=1-5592, augustus_masked-CR380953-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-CR380953-processed-gene-0.52&CDS=1-2607, augustus_masked-CR380955-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-CR380955-processed-gene-0.13&CDS=1-5184, augustus_masked-CR380955-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-CR380955-processed-gene-10.34&CDS=1-3720, augustus_masked-CR380955-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-CR380955-processed-gene-10.35&CDS=1-3036, augustus_masked-CR380955-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-CR380955-processed-gene-9.76&CDS=1-13008, augustus_masked-CR380958-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-10.16&CDS=1-4353, augustus_masked-CR380958-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-10.19&CDS=1-4248, snap_masked-CR380947-processed-gene-3.59-mRNA-1_1&gene=snap_masked-CR380947-processed-gene-3.59&CDS=1-8439, snap_masked-CR380951-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-1.100&CDS=1-4308, snap_masked-CR380955-processed-gene-10.65-mRNA-1_1&gene=snap_masked-CR380955-processed-gene-10.65&CDS=1-5919, snap_masked-CR380957-processed-gene-12.23-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-12.23&CDS=1-5820, snap_masked-CR380958-processed-gene-0.52-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-0.52&CDS=1-5256, snap_masked-CR380958-processed-gene-13.152-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-13.152&CDS=1-5064	
3	OG0000003	augustus_masked-CR380947-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-CR380947-processed-gene-0.46&CDS=1-3138, augustus_masked-CR380947-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-CR380947-processed-gene-1.15&CDS=1-4203, augustus_masked-CR380947-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-CR380947-processed-gene-1.17&CDS=1-4386, augustus_masked-CR380949-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.13&CDS=1-2370, augustus_masked-CR380949-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.14&CDS=1-2145, augustus_masked-CR380949-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-4.102&CDS=1-1731, augustus_masked-CR380951-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-CR380951-processed-gene-5.62&CDS=1-2925, augustus_masked-CR380955-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-CR380955-processed-gene-0.14&CDS=1-2370, augustus_masked-CR380957-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-CR380957-processed-gene-0.60&CDS=1-4269, snap_masked-CR380951-processed-gene-0.62-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-0.62&CDS=1-2703, snap_masked-CR380951-processed-gene-5.167-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-5.167&CDS=1-3102, snap_masked-CR380951-processed-gene-5.203-mRNA-1_1&gene=snap_masked-CR380951-processed-gene-5.203&CDS=1-4194, snap_masked-CR380956-processed-gene-10.188-mRNA-1_1&gene=snap_masked-CR380956-processed-gene-10.188&CDS=1-1398, snap_masked-CR380958-processed-gene-13.153-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-13.153&CDS=1-3105, snap_masked-CR380959-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CR380959-processed-gene-0.19&CDS=1-2106	
4	OG0000004	maker-CR380953-augustus-gene-3.40-mRNA-1_1&gene=maker-CR380953-augustus-gene-3.40&CDS=1-2835, snap_masked-CR380949-processed-gene-4.198-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-4.198&CDS=1-1839, snap_masked-CR380950-processed-gene-3.8-mRNA-1_1&gene=snap_masked-CR380950-processed-gene-3.8&CDS=1-2001, snap_masked-CR380953-processed-gene-3.84-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-3.84&CDS=1-1941, snap_masked-CR380957-processed-gene-4.94-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-4.94&CDS=1-1839	YAL005C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W
5	OG0000005	snap_masked-CR380948-processed-gene-1.85-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-1.85&CDS=1-1869, snap_masked-CR380954-processed-gene-8.7-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-8.7&CDS=1-1836, snap_masked-CR380957-processed-gene-5.22-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-5.22&CDS=1-1980, snap_masked-CR380958-processed-gene-8.117-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.117&CDS=1-1902	YBR068C, YCL025C, YDR046C
6	OG0000006	augustus_masked-CR380949-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-4.72&CDS=1-1863, augustus_masked-CR380949-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-4.73&CDS=1-12012, augustus_masked-CR380953-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CR380953-processed-gene-4.62&CDS=1-1728, snap_masked-CR380948-processed-gene-3.76-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.76&CDS=1-1938, snap_masked-CR380954-processed-gene-9.159-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-9.159&CDS=1-1926, snap_masked-CR380954-processed-gene-9.160-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-9.160&CDS=1-1875	YIL014W
7	OG0000007	snap_masked-CR380949-processed-gene-1.13-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.13&CDS=1-1689, snap_masked-CR380952-processed-gene-3.7-mRNA-1_1&gene=snap_masked-CR380952-processed-gene-3.7&CDS=1-2061, snap_masked-CR380954-processed-gene-4.103-mRNA-1_1&gene=snap_masked-CR380954-processed-gene-4.103&CDS=1-1746, snap_masked-CR380957-processed-gene-1.28-mRNA-1_1&gene=snap_masked-CR380957-processed-gene-1.28&CDS=1-936	YER133W, YML016C, YPL179W
8	OG0000008	snap_masked-CR380949-processed-gene-0.59-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.59&CDS=1-1620, snap_masked-CR380956-processed-gene-2.119-mRNA-1_1&gene=snap_masked-CR380956-processed-gene-2.119&CDS=1-1545, snap_masked-CR380958-processed-gene-0.51-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-0.51&CDS=1-1629	YER056C, YER060W, YER060W-A
9	OG0000009	augustus_masked-CR380958-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-3.57&CDS=1-558, snap_masked-CR380949-processed-gene-2.38-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.38&CDS=1-2469, snap_masked-CR380953-processed-gene-4.106-mRNA-1_1&gene=snap_masked-CR380953-processed-gene-4.106&CDS=1-1386	YER040W, YJL110C, YKR034W
