	OrthologID	Saccharomyces_cerevisiae	yHAB143_Kazachstania_siamensis
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-NODE_112_length_27208_cov_15.3386_ID_223-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_112_length_27208_cov_15.3386_ID_223-processed-gene-0.14&CDS=1-645, augustus_masked-NODE_136_length_16729_cov_15.5251_ID_271-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_136_length_16729_cov_15.5251_ID_271-processed-gene-0.1&CDS=1-657, snap_masked-NODE_279_length_1899_cov_12.0071_ID_557-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_279_length_1899_cov_12.0071_ID_557-processed-gene-0.3&CDS=1-474
1	OG0000001	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	augustus_masked-NODE_5_length_295718_cov_15.2667_ID_9-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_5_length_295718_cov_15.2667_ID_9-processed-gene-1.152&CDS=1-420, snap_masked-NODE_106_length_30532_cov_16.5942_ID_211-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_106_length_30532_cov_16.5942_ID_211-processed-gene-0.14&CDS=1-1353, snap_masked-NODE_212_length_3691_cov_207.232_ID_423-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_212_length_3691_cov_207.232_ID_423-processed-gene-0.3&CDS=1-1137, snap_masked-NODE_442_length_596_cov_300.7_ID_883-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_442_length_596_cov_300.7_ID_883-processed-gene-0.0&CDS=1-507
2	OG0000002		augustus_masked-NODE_180_length_6089_cov_39.0007_ID_359-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_180_length_6089_cov_39.0007_ID_359-processed-gene-0.2&CDS=1-4734, augustus_masked-NODE_276_length_1913_cov_159.635_ID_551-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_276_length_1913_cov_159.635_ID_551-processed-gene-0.1&CDS=1-1428, augustus_masked-NODE_277_length_1908_cov_309.384_ID_553-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_277_length_1908_cov_309.384_ID_553-processed-gene-0.2&CDS=1-1428, augustus_masked-NODE_349_length_1071_cov_320.49_ID_697-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_349_length_1071_cov_320.49_ID_697-processed-gene-0.1&CDS=1-900, augustus_masked-NODE_364_length_978_cov_120.017_ID_727-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_364_length_978_cov_120.017_ID_727-processed-gene-0.0&CDS=1-888, augustus_masked-NODE_406_length_708_cov_132.367_ID_811-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_406_length_708_cov_132.367_ID_811-processed-gene-0.1&CDS=1-576, snap_masked-NODE_143_length_12586_cov_16.5586_ID_285-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_143_length_12586_cov_16.5586_ID_285-processed-gene-0.1&CDS=1-2229, snap_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.92&CDS=1-4104, snap_masked-NODE_312_length_1413_cov_169.412_ID_623-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_312_length_1413_cov_169.412_ID_623-processed-gene-0.2&CDS=1-1230, snap_masked-NODE_314_length_1395_cov_315.883_ID_627-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_314_length_1395_cov_315.883_ID_627-processed-gene-0.0&CDS=1-1218, snap_masked-NODE_345_length_1094_cov_295.966_ID_689-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_345_length_1094_cov_295.966_ID_689-processed-gene-0.0&CDS=1-819, snap_masked-NODE_399_length_776_cov_123.965_ID_797-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_399_length_776_cov_123.965_ID_797-processed-gene-0.2&CDS=1-600
3	OG0000003	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	augustus_masked-NODE_109_length_28860_cov_15.2341_ID_217-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_109_length_28860_cov_15.2341_ID_217-processed-gene-0.22&CDS=1-1707, augustus_masked-NODE_112_length_27208_cov_15.3386_ID_223-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_112_length_27208_cov_15.3386_ID_223-processed-gene-0.16&CDS=1-1683, snap_masked-NODE_155_length_10433_cov_13.5788_ID_309-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_155_length_10433_cov_13.5788_ID_309-processed-gene-0.7&CDS=1-1740, snap_masked-NODE_66_length_56428_cov_14.0454_ID_131-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_66_length_56428_cov_14.0454_ID_131-processed-gene-0.64&CDS=1-1665
4	OG0000004	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	augustus_masked-NODE_184_length_5629_cov_60.131_ID_367-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_184_length_5629_cov_60.131_ID_367-processed-gene-0.2&CDS=1-2583, augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.121&CDS=1-708, snap_masked-NODE_237_length_2882_cov_30.067_ID_473-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_237_length_2882_cov_30.067_ID_473-processed-gene-0.2&CDS=1-336
5	OG0000005	YDL080C, YLR044C, YLR134W	augustus_masked-NODE_1_length_416281_cov_15.1035_ID_1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_1_length_416281_cov_15.1035_ID_1-processed-gene-1.52&CDS=1-1920, augustus_masked-NODE_3_length_334168_cov_14.9222_ID_5-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_3_length_334168_cov_14.9222_ID_5-processed-gene-1.72&CDS=1-1695, augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_4_length_298036_cov_14.8191_ID_7-processed-gene-1.119&CDS=1-1692, genemark-NODE_17_length_143620_cov_14.972_ID_33-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_17_length_143620_cov_14.972_ID_33-processed-gene-0.23&CDS=1-1698
6	OG0000006	YER103W, YJL034W, YLL024C	augustus_masked-NODE_114_length_25511_cov_15.0454_ID_227-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_114_length_25511_cov_15.0454_ID_227-processed-gene-0.15&CDS=1-2049, augustus_masked-NODE_31_length_110164_cov_15.3372_ID_61-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_31_length_110164_cov_15.3372_ID_61-processed-gene-0.89&CDS=1-1944, augustus_masked-NODE_5_length_295718_cov_15.2667_ID_9-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NODE_5_length_295718_cov_15.2667_ID_9-processed-gene-1.167&CDS=1-1941, augustus_masked-NODE_92_length_37887_cov_15.649_ID_183-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_92_length_37887_cov_15.649_ID_183-processed-gene-0.2&CDS=1-1920
7	OG0000007	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_237_length_2882_cov_30.067_ID_473-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_237_length_2882_cov_30.067_ID_473-processed-gene-0.5&CDS=1-189, snap_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NODE_2_length_404637_cov_14.9401_ID_3-processed-gene-3.6&CDS=1-558, snap_masked-NODE_98_length_34572_cov_15.0998_ID_195-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_98_length_34572_cov_15.0998_ID_195-processed-gene-0.2&CDS=1-690
8	OG0000008	YAL023C, YAL026C, YGR199W	augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_30_length_113000_cov_14.8357_ID_59-processed-gene-0.129&CDS=1-2247, augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_34_length_107908_cov_14.4362_ID_67-processed-gene-0.87&CDS=1-10134, genemark-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_28_length_120827_cov_15.6539_ID_55-processed-gene-0.120&CDS=1-4521
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
