	OrthologID	Saccharomyces_arboricola	Saccharomyces_cerevisiae
0	OG0000000	genemark-NC_026174.1-processed-gene-0.74-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.74&CDS=1-1698, genemark-NC_026176.1-processed-gene-1.104-mRNA-1_1&gene=genemark-NC_026176.1-processed-gene-1.104&CDS=1-1638, genemark-NC_026178.1-processed-gene-3.102-mRNA-1_1&gene=genemark-NC_026178.1-processed-gene-3.102&CDS=1-1710, genemark-NC_026178.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NC_026178.1-processed-gene-3.103&CDS=1-1746, genemark-NC_026182.1-processed-gene-2.90-mRNA-1_1&gene=genemark-NC_026182.1-processed-gene-2.90&CDS=1-1719, genemark-NC_026183.1-processed-gene-2.108-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-2.108&CDS=1-1641, genemark-NC_026183.1-processed-gene-9.60-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-9.60&CDS=1-1701	YDR345C, YFL011W, YHR094C, YHR096C, YJL214W, YLR081W, YMR011W
1	OG0000001	genemark-NC_026184.1-processed-gene-6.61-mRNA-1_1&gene=genemark-NC_026184.1-processed-gene-6.61&CDS=1-360	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C
2	OG0000002	augustus_masked-NC_026175.1-processed-gene-4.182-mRNA-1_1&gene=augustus_masked-NC_026175.1-processed-gene-4.182&CDS=1-1122, maker-NC_026178.1-snap-gene-0.0-mRNA-1_1&gene=maker-NC_026178.1-snap-gene-0.0&CDS=1-1122	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W
3	OG0000003	augustus_masked-NC_026177.1-processed-gene-9.188-mRNA-1_1&gene=augustus_masked-NC_026177.1-processed-gene-9.188&CDS=1-1230, genemark-NC_026174.1-processed-gene-0.81-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.81&CDS=1-1137, genemark-NC_026178.1-processed-gene-4.46-mRNA-1_1&gene=genemark-NC_026178.1-processed-gene-4.46&CDS=1-1404, genemark-NC_026179.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NC_026179.1-processed-gene-0.82&CDS=1-1404, maker-NC_026186.1-snap-gene-0.43-mRNA-1_1&gene=maker-NC_026186.1-snap-gene-0.43&CDS=1-1092, snap_masked-NC_026174.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NC_026174.1-processed-gene-0.36&CDS=1-1293, snap_masked-NC_026177.1-processed-gene-9.24-mRNA-1_1&gene=snap_masked-NC_026177.1-processed-gene-9.24&CDS=1-1386	YBR297W, YFL052W, YGR288W, YPR196W
4	OG0000004	genemark-NC_026171.1-processed-gene-0.66-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.66&CDS=1-1926, genemark-NC_026175.1-processed-gene-3.63-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-3.63&CDS=1-2616, genemark-NC_026180.1-processed-gene-3.67-mRNA-1_1&gene=genemark-NC_026180.1-processed-gene-3.67&CDS=1-2046, maker-NC_026172.1-augustus-gene-0.3-mRNA-1_1&gene=maker-NC_026172.1-augustus-gene-0.3&CDS=1-5493, maker-NC_026182.1-snap-gene-0.70-mRNA-1_1&gene=maker-NC_026182.1-snap-gene-0.70&CDS=1-2769	YAL005C, YBL076C, YER103W, YJL034W, YLL024C
5	OG0000005	augustus_masked-NW_011644269.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_011644269.1-processed-gene-0.0&CDS=1-1320, genemark-NC_026174.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-0.85&CDS=1-1743, genemark-NC_026177.1-processed-gene-9.97-mRNA-1_1&gene=genemark-NC_026177.1-processed-gene-9.97&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	genemark-NC_026172.1-processed-gene-5.112-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-5.112&CDS=1-1053, genemark-NC_026174.1-processed-gene-10.137-mRNA-1_1&gene=genemark-NC_026174.1-processed-gene-10.137&CDS=1-1044, genemark-NC_026183.1-processed-gene-4.5-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-4.5&CDS=1-1125, genemark-NC_026185.1-processed-gene-1.31-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-1.31&CDS=1-1044	YBR145W, YMR083W, YMR303C, YOL086C
7	OG0000007	augustus_masked-NC_026185.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-5.113&CDS=1-3741, augustus_masked-NW_011644266.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_011644266.1-processed-gene-0.0&CDS=1-2334, genemark-NC_026183.1-processed-gene-10.69-mRNA-1_1&gene=genemark-NC_026183.1-processed-gene-10.69&CDS=1-4602, genemark-NC_026185.1-processed-gene-8.75-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.75&CDS=1-4692	YDR406W, YOR153W, YOR154W, YOR328W
8	OG0000008	maker-NC_026185.1-snap-gene-9.103-mRNA-1_1&gene=maker-NC_026185.1-snap-gene-9.103&CDS=1-345	YBL108W, YGL260W, YHL045W, YIR040C, YJL222W-B, YKL223W, YMR324C
9	OG0000009	genemark-NC_026171.1-processed-gene-0.35-mRNA-1_1&gene=genemark-NC_026171.1-processed-gene-0.35&CDS=1-1401, genemark-NC_026175.1-processed-gene-4.86-mRNA-1_1&gene=genemark-NC_026175.1-processed-gene-4.86&CDS=1-1401, maker-NC_026172.1-augustus-gene-4.53-mRNA-1_1&gene=maker-NC_026172.1-augustus-gene-4.53&CDS=1-1653	YAR071W, YBR092C, YBR093C, YHR215W
10	OG0000010	genemark-NC_026172.1-processed-gene-1.95-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-1.95&CDS=1-954, genemark-NC_026172.1-processed-gene-4.56-mRNA-1_1&gene=genemark-NC_026172.1-processed-gene-4.56&CDS=1-921, maker-NC_026183.1-augustus-gene-3.104-mRNA-1_1&gene=maker-NC_026183.1-augustus-gene-3.104&CDS=1-1701	YBL030C, YBR085W, YMR055C, YMR056C
