	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041863_Candida_gorgasii
0	OG0000000		augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.72&CDS=1-2694, augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.191&CDS=1-3600, augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.232&CDS=1-2763, augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.81&CDS=1-2505, augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.82&CDS=1-1677, augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.89&CDS=1-2634, augustus_masked-NODE_13_length_171655_cov_19.3344_ID_2124-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_13_length_171655_cov_19.3344_ID_2124-processed-gene-0.87&CDS=1-1500, augustus_masked-NODE_16_length_45213_cov_46.6839_ID_2691-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_16_length_45213_cov_46.6839_ID_2691-processed-gene-0.22&CDS=1-1947, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.37&CDS=1-2655, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-1.38&CDS=1-2739, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.158-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.158&CDS=1-3234, augustus_masked-NODE_21_length_2959_cov_32.649_ID_2861-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_21_length_2959_cov_32.649_ID_2861-processed-gene-0.4&CDS=1-1278, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-11.72&CDS=1-2358, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.262-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.262&CDS=1-2274, augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-0.99&CDS=1-2274, augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.50&CDS=1-1956, augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.52&CDS=1-2325, augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-3.28&CDS=1-2670, genemark-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-3.37-mRNA-1_1&gene=genemark-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-3.37&CDS=1-2949, maker-NODE_12_length_253780_cov_35.5173_ID_1944-augustus-gene-0.40-mRNA-1_1&gene=maker-NODE_12_length_253780_cov_35.5173_ID_1944-augustus-gene-0.40&CDS=1-2367, maker-NODE_16_length_45213_cov_46.6839_ID_2691-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_16_length_45213_cov_46.6839_ID_2691-snap-gene-0.0&CDS=1-2652, snap_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.64&CDS=1-2253, snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-11.92-mRNA-1_1&gene=snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-11.92&CDS=1-2064, snap_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-7.101&CDS=1-2346
1	OG0000001	YLR256W	augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.69&CDS=1-2100, augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.83&CDS=1-6318, augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.33&CDS=1-2079, augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.34&CDS=1-2586, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.48&CDS=1-1977, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-17.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-17.81&CDS=1-2367, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.73-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.73&CDS=1-2535, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-5.120&CDS=1-2778, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-7.86&CDS=1-2520, augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-6.20&CDS=1-2991, genemark-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.162-mRNA-1_1&gene=genemark-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.162&CDS=1-2154, maker-NODE_5_length_1279566_cov_24.6861_ID_1815-snap-gene-7.175-mRNA-1_1&gene=maker-NODE_5_length_1279566_cov_24.6861_ID_1815-snap-gene-7.175&CDS=1-3321, snap_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-0.37&CDS=1-3108, snap_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.239-mRNA-1_1&gene=snap_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-1.239&CDS=1-2340, snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.5-mRNA-1_1&gene=snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.5&CDS=1-3117, snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.6-mRNA-1_1&gene=snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-13.6&CDS=1-3822, snap_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.87-mRNA-1_1&gene=snap_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.87&CDS=1-1872, snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-1.149&CDS=1-2121
2	OG0000002	YDR541C, YGL039W, YGL157W, YIL164C, YMR276W, YOL151W	augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-0.49&CDS=1-1014, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-6.38&CDS=1-1968, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.91&CDS=1-1020, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-11.74&CDS=1-3147, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.214-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.214&CDS=1-1047, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.260-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-14.260&CDS=1-975, augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-8.140&CDS=1-1005, augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-9.133&CDS=1-999, augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-0.5&CDS=1-987, augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-0.80&CDS=1-984, maker-NODE_11_length_286442_cov_39.4109_ID_2383-augustus-gene-1.283-mRNA-1_1&gene=maker-NODE_11_length_286442_cov_39.4109_ID_2383-augustus-gene-1.283&CDS=1-1869, maker-NODE_5_length_1279566_cov_24.6861_ID_1815-augustus-gene-0.138-mRNA-1_1&gene=maker-NODE_5_length_1279566_cov_24.6861_ID_1815-augustus-gene-0.138&CDS=1-2661
3	OG0000003		augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_12_length_253780_cov_35.5173_ID_1944-processed-gene-0.92&CDS=1-3246, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.87&CDS=1-3234, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.134-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.134&CDS=1-984, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-3.112&CDS=1-516, augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.37&CDS=1-1959, augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-1.24&CDS=1-2178, augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-3.139&CDS=1-2769, genemark-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.13-mRNA-1_1&gene=genemark-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.13&CDS=1-9972, genemark-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-8.124-mRNA-1_1&gene=genemark-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-8.124&CDS=1-2973, genemark-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_4_length_1394992_cov_23.628_ID_1356-processed-gene-0.68&CDS=1-1383, maker-NODE_3_length_1566585_cov_20.5904_ID_881-snap-gene-8.116-mRNA-1_1&gene=maker-NODE_3_length_1566585_cov_20.5904_ID_881-snap-gene-8.116&CDS=1-2532, snap_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.78&CDS=1-4965
4	OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	
5	OG0000005	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.39&CDS=1-1815, augustus_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_15_length_61553_cov_40.9555_ID_2345-processed-gene-0.60&CDS=1-1746, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-10.164-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-10.164&CDS=1-1782, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.25&CDS=1-1734, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-8.26&CDS=1-1815, augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_9_length_415254_cov_32.1714_ID_1497-processed-gene-1.89&CDS=1-1809
6	OG0000006	YKL071W, YLR435W	augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-18.159&CDS=1-747, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-15.54-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-15.54&CDS=1-747, augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NODE_6_length_815919_cov_23.048_ID_1693-processed-gene-5.34&CDS=1-753, maker-NODE_1_length_1922578_cov_23.1432_ID_3408-augustus-gene-13.9-mRNA-1_1&gene=maker-NODE_1_length_1922578_cov_23.1432_ID_3408-augustus-gene-13.9&CDS=1-1305, snap_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-2.39-mRNA-1_1&gene=snap_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-2.39&CDS=1-744, snap_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-6.129-mRNA-1_1&gene=snap_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-6.129&CDS=1-738, snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-10.122-mRNA-1_1&gene=snap_masked-NODE_5_length_1279566_cov_24.6861_ID_1815-processed-gene-10.122&CDS=1-735
7	OG0000007	YGR281W	augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-NODE_11_length_286442_cov_39.4109_ID_2383-processed-gene-1.206&CDS=1-4071, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-1.85&CDS=1-4119, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.94&CDS=1-4200, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-9.75&CDS=1-4530, augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-NODE_3_length_1566585_cov_20.5904_ID_881-processed-gene-9.83&CDS=1-3897, genemark-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.29-mRNA-1_1&gene=genemark-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-1.29&CDS=1-4314, maker-NODE_13_length_171655_cov_19.3344_ID_2124-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_13_length_171655_cov_19.3344_ID_2124-augustus-gene-0.8&CDS=1-5022
8	OG0000008	YJR061W, YKL201C	augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NODE_10_length_310100_cov_17.5772_ID_1653-processed-gene-2.138&CDS=1-1800, augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-8.21&CDS=1-2610, augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.104&CDS=1-2589, genemark-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-4.40-mRNA-1_1&gene=genemark-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-4.40&CDS=1-2535, maker-NODE_12_length_253780_cov_35.5173_ID_1944-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_12_length_253780_cov_35.5173_ID_1944-snap-gene-0.2&CDS=1-2049, snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.80-mRNA-1_1&gene=snap_masked-NODE_2_length_1665717_cov_21.2004_ID_1012-processed-gene-10.80&CDS=1-2172
9	OG0000009	YKR039W, YLL061W, YPL274W	augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-NODE_1_length_1922578_cov_23.1432_ID_3408-processed-gene-3.68&CDS=1-1770, augustus_masked-NODE_7_length_555756_cov_23.0099_ID_1080-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_7_length_555756_cov_23.0099_ID_1080-processed-gene-0.66&CDS=1-1794, genemark-NODE_7_length_555756_cov_23.0099_ID_1080-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_7_length_555756_cov_23.0099_ID_1080-processed-gene-2.30&CDS=1-1602, maker-NODE_5_length_1279566_cov_24.6861_ID_1815-augustus-gene-2.48-mRNA-1_1&gene=maker-NODE_5_length_1279566_cov_24.6861_ID_1815-augustus-gene-2.48&CDS=1-3069, maker-NODE_8_length_450817_cov_29.9366_ID_1132-snap-gene-3.8-mRNA-1_1&gene=maker-NODE_8_length_450817_cov_29.9366_ID_1132-snap-gene-3.8&CDS=1-1875
