	OrthologID	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-abe-_C12100-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-abe-_C12100-processed-gene-0.0&CDS=1-471, augustus_masked-abe-_s24-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-abe-_s24-processed-gene-0.4&CDS=1-912, augustus_masked-abe-_s24-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-abe-_s24-processed-gene-0.5&CDS=1-5625, augustus_masked-abe-_s77-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-0.62&CDS=1-963, genemark-abe-_s10-processed-gene-0.23-mRNA-1_1&gene=genemark-abe-_s10-processed-gene-0.23&CDS=1-1173, genemark-abe-_s25-processed-gene-6.61-mRNA-1_1&gene=genemark-abe-_s25-processed-gene-6.61&CDS=1-864, maker-abe-_s1-snap-gene-0.3-mRNA-1_1&gene=maker-abe-_s1-snap-gene-0.3&CDS=1-1068, maker-abe-_s25-augustus-gene-0.72-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-0.72&CDS=1-1389, maker-abe-_s7-snap-gene-0.38-mRNA-1_1&gene=maker-abe-_s7-snap-gene-0.38&CDS=1-2157, maker-abe-_s7-snap-gene-11.1-mRNA-1_1&gene=maker-abe-_s7-snap-gene-11.1&CDS=1-5283, snap_masked-abe-_C11758-processed-gene-0.0-mRNA-1_1&gene=snap_masked-abe-_C11758-processed-gene-0.0&CDS=1-207, snap_masked-abe-_s13-processed-gene-10.133-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-10.133&CDS=1-663, snap_masked-abe-_s17-processed-gene-5.233-mRNA-1_1&gene=snap_masked-abe-_s17-processed-gene-5.233&CDS=1-843, snap_masked-abe-_s4-processed-gene-0.20-mRNA-1_1&gene=snap_masked-abe-_s4-processed-gene-0.20&CDS=1-1290, snap_masked-abe-_s55-processed-gene-0.2-mRNA-1_1&gene=snap_masked-abe-_s55-processed-gene-0.2&CDS=1-1185	
1	OG0000001	augustus_masked-abe-_s7-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-3.15&CDS=1-3735, augustus_masked-abe-_s75-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-10.24&CDS=1-4992, genemark-abe-_s77-processed-gene-0.20-mRNA-1_1&gene=genemark-abe-_s77-processed-gene-0.20&CDS=1-4101, maker-abe-_s25-augustus-gene-6.0-mRNA-1_1&gene=maker-abe-_s25-augustus-gene-6.0&CDS=1-2430, snap_masked-abe-_s75-processed-gene-6.95-mRNA-1_1&gene=snap_masked-abe-_s75-processed-gene-6.95&CDS=1-2016	YCL024W, YDR477W, YDR507C, YKL101W, YNL023C, YPL150W
2	OG0000002	augustus_masked-abe-_s13-processed-gene-11.143-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.143&CDS=1-3258, augustus_masked-abe-_s13-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.119&CDS=1-2265, augustus_masked-abe-_s75-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-10.37&CDS=1-2469, augustus_masked-abe-_s75-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.101&CDS=1-3270, genemark-abe-_s17-processed-gene-2.19-mRNA-1_1&gene=genemark-abe-_s17-processed-gene-2.19&CDS=1-2634	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
3	OG0000003	augustus_masked-abe-_s13-processed-gene-11.169-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.169&CDS=1-1701, augustus_masked-abe-_s17-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-1.23&CDS=1-1749, augustus_masked-abe-_s17-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-1.39&CDS=1-1725, augustus_masked-abe-_s34-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-2.50&CDS=1-1722, augustus_masked-abe-_s7-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.55&CDS=1-1665, snap_masked-abe-_s13-processed-gene-7.83-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-7.83&CDS=1-1668, snap_masked-abe-_s4-processed-gene-0.3-mRNA-1_1&gene=snap_masked-abe-_s4-processed-gene-0.3&CDS=1-1830	YKR039W, YLL061W, YPL274W
4	OG0000004	augustus_masked-abe-_s12-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.39&CDS=1-1713, augustus_masked-abe-_s25-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.28&CDS=1-1743, augustus_masked-abe-_s70-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-0.83&CDS=1-1734, augustus_masked-abe-_s75-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.87&CDS=1-1770	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
5	OG0000005	augustus_masked-abe-_s1-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.155&CDS=1-1689	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	augustus_masked-abe-_s12-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.72&CDS=1-3447, augustus_masked-abe-_s17-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-5.109&CDS=1-3408, augustus_masked-abe-_s34-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.72&CDS=1-2625, genemark-abe-_s12-processed-gene-6.122-mRNA-1_1&gene=genemark-abe-_s12-processed-gene-6.122&CDS=1-3216, snap_masked-abe-_s12-processed-gene-6.15-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-6.15&CDS=1-3135, snap_masked-abe-_s4-processed-gene-1.77-mRNA-1_1&gene=snap_masked-abe-_s4-processed-gene-1.77&CDS=1-2757, snap_masked-abe-_s70-processed-gene-0.122-mRNA-1_1&gene=snap_masked-abe-_s70-processed-gene-0.122&CDS=1-2733	YKR064W
7	OG0000007	augustus_masked-abe-_s13-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.143&CDS=1-3993, augustus_masked-abe-_s13-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.136&CDS=1-1839, augustus_masked-abe-_s2-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-0.53&CDS=1-1740, snap_masked-abe-_s2-processed-gene-6.76-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-6.76&CDS=1-1932	YAL005C, YDL229W, YNL209W, YPR072W
8	OG0000008	augustus_masked-abe-_s12-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.95&CDS=1-2064, augustus_masked-abe-_s17-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-0.20&CDS=1-2076, augustus_masked-abe-_s2-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.116&CDS=1-1629, augustus_masked-abe-_s34-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-1.25&CDS=1-2340, augustus_masked-abe-_s70-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.15&CDS=1-1959	YBR015C, YJL186W
9	OG0000009	augustus_masked-abe-_s34-processed-gene-6.202-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.202&CDS=1-2409, augustus_masked-abe-_s7-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.11&CDS=1-2241, genemark-abe-_s75-processed-gene-11.24-mRNA-1_1&gene=genemark-abe-_s75-processed-gene-11.24&CDS=1-2313, snap_masked-abe-_s13-processed-gene-2.62-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-2.62&CDS=1-1776, snap_masked-abe-_s2-processed-gene-7.51-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-7.51&CDS=1-2253	YJR061W, YKL201C
