	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034877_Tetrapisispora_namnaonensis
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	
1	OG0000001	YBR012C	augustus_masked-NODE_100_length_1990_cov_159.006_ID_199-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_100_length_1990_cov_159.006_ID_199-processed-gene-0.0&CDS=1-933, augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.1&CDS=1-951, augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-3.102&CDS=1-867, augustus_masked-NODE_55_length_7492_cov_84.8858_ID_109-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_55_length_7492_cov_84.8858_ID_109-processed-gene-0.4&CDS=1-969, snap_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_11_length_418871_cov_75.7771_ID_21-processed-gene-0.38&CDS=1-867, snap_masked-NODE_44_length_10309_cov_102.155_ID_87-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_44_length_10309_cov_102.155_ID_87-processed-gene-0.3&CDS=1-789, snap_masked-NODE_58_length_6592_cov_125.205_ID_115-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_58_length_6592_cov_125.205_ID_115-processed-gene-0.2&CDS=1-201, snap_masked-NODE_69_length_4384_cov_97.7919_ID_137-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_69_length_4384_cov_97.7919_ID_137-processed-gene-0.3&CDS=1-378, snap_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NODE_8_length_497611_cov_75.2231_ID_15-processed-gene-3.54&CDS=1-789
2	OG0000002	YER011W, YOR009W, YOR010C	augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.25&CDS=1-675, augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_18_length_357073_cov_76.1135_ID_35-processed-gene-2.63&CDS=1-1134, augustus_masked-NODE_24_length_176467_cov_74.7781_ID_47-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NODE_24_length_176467_cov_74.7781_ID_47-processed-gene-0.156&CDS=1-579, augustus_masked-NODE_43_length_11332_cov_76.1929_ID_85-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_43_length_11332_cov_76.1929_ID_85-processed-gene-0.0&CDS=1-891, augustus_masked-NODE_50_length_8093_cov_73.5683_ID_99-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_50_length_8093_cov_73.5683_ID_99-processed-gene-0.3&CDS=1-120, augustus_masked-NODE_9_length_466427_cov_73.6239_ID_17-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_9_length_466427_cov_73.6239_ID_17-processed-gene-0.56&CDS=1-753, snap_masked-NODE_110_length_1735_cov_141.237_ID_219-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_110_length_1735_cov_141.237_ID_219-processed-gene-0.1&CDS=1-642
3	OG0000003	YFL040W, YHR096C, YLR081W	augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-2.98&CDS=1-1674, augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.131&CDS=1-1674, augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-0.79&CDS=1-1911, augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-0.62&CDS=1-1683, augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_19_length_355697_cov_75.3266_ID_37-processed-gene-0.52&CDS=1-1680, snap_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-8.57-mRNA-1_1&gene=snap_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-8.57&CDS=1-1659
4	OG0000004	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-2.132&CDS=1-3336
5	OG0000005	YBR068C, YCL025C, YDR046C	augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_10_length_456291_cov_78.5413_ID_19-processed-gene-2.71&CDS=1-1830, augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_13_length_391438_cov_78.2827_ID_25-processed-gene-0.68&CDS=1-1917, augustus_masked-NODE_26_length_81515_cov_79.9745_ID_51-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_26_length_81515_cov_79.9745_ID_51-processed-gene-0.37&CDS=1-1947, augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_5_length_607518_cov_75.2382_ID_9-processed-gene-1.87&CDS=1-1845
6	OG0000006	YDL229W, YER103W, YNL209W	augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_12_length_413496_cov_77.2887_ID_23-processed-gene-0.82&CDS=1-1839, augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_1131956_cov_75.3118_ID_3-processed-gene-10.46&CDS=1-1839, maker-NODE_7_length_514751_cov_77.5002_ID_13-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_7_length_514751_cov_77.5002_ID_13-augustus-gene-0.34&CDS=1-2718, snap_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_21_length_245327_cov_75.1243_ID_41-processed-gene-1.47&CDS=1-1938
7	OG0000007	YER133W, YML016C, YPL179W	augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NODE_16_length_374837_cov_75.7898_ID_31-processed-gene-2.29&CDS=1-936, augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_17_length_366881_cov_78.9049_ID_33-processed-gene-1.74&CDS=1-1719, augustus_masked-NODE_4_length_620782_cov_76.6776_ID_7-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_620782_cov_76.6776_ID_7-processed-gene-1.91&CDS=1-2139, augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NODE_7_length_514751_cov_77.5002_ID_13-processed-gene-4.67&CDS=1-3765
8	OG0000008	YJL158C	augustus_masked-NODE_14_length_386087_cov_73.3199_ID_27-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NODE_14_length_386087_cov_73.3199_ID_27-processed-gene-2.134&CDS=1-291, augustus_masked-NODE_20_length_256041_cov_73.3969_ID_39-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_20_length_256041_cov_73.3969_ID_39-processed-gene-1.37&CDS=1-1101, augustus_masked-NODE_97_length_2102_cov_113.083_ID_193-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_97_length_2102_cov_113.083_ID_193-processed-gene-0.4&CDS=1-828, snap_masked-NODE_20_length_256041_cov_73.3969_ID_39-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_20_length_256041_cov_73.3969_ID_39-processed-gene-1.71&CDS=1-1233, snap_masked-NODE_29_length_61745_cov_76.4265_ID_57-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_29_length_61745_cov_76.4265_ID_57-processed-gene-0.89&CDS=1-909, snap_masked-NODE_97_length_2102_cov_113.083_ID_193-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_97_length_2102_cov_113.083_ID_193-processed-gene-0.3&CDS=1-831
9	OG0000009	YBR008C	augustus_masked-NODE_33_length_29466_cov_82.9279_ID_65-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_33_length_29466_cov_82.9279_ID_65-processed-gene-0.23&CDS=1-1065, augustus_masked-NODE_90_length_2641_cov_73.6387_ID_179-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_90_length_2641_cov_73.6387_ID_179-processed-gene-0.1&CDS=1-1065, genemark-NODE_6_length_572742_cov_75.3705_ID_11-processed-gene-4.68-mRNA-1_1&gene=genemark-NODE_6_length_572742_cov_75.3705_ID_11-processed-gene-4.68&CDS=1-969, maker-NODE_61_length_6016_cov_151.953_ID_121-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_61_length_6016_cov_151.953_ID_121-snap-gene-0.3&CDS=1-1668, snap_masked-NODE_241_length_614_cov_172.654_ID_481-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_241_length_614_cov_172.654_ID_481-processed-gene-0.0&CDS=1-546
