	OrthologID	Saccharomyces_cerevisiae	Wickerhamomyces_anomalus
0	OG0000000	YBL005W-B, YBR012W-B, YDR098C-B, YDR210C-D, YDR316W-B, YDR365W-B, YER138C, YER160C, YGR027W-B, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YJR029W, YLR157C-B, YLR227W-B, YML039W, YML045W, YMR045C, YMR050C, YNL054W-B, YNL284C-B, YOL103W-B, YOR142W-B, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B	snap_masked-scaffold_3-processed-gene-17.7-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.7&CDS=1-4644
1	OG0000001	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-scaffold_6-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.44&CDS=1-1188, snap_masked-scaffold_3-processed-gene-10.105-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.105&CDS=1-678
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	maker-scaffold_3-snap-gene-18.149-mRNA-1_1&gene=maker-scaffold_3-snap-gene-18.149&CDS=1-2970, snap_masked-scaffold_1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.90&CDS=1-1014, snap_masked-scaffold_1-processed-gene-32.168-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-32.168&CDS=1-1005, snap_masked-scaffold_1-processed-gene-4.94-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.94&CDS=1-1038, snap_masked-scaffold_2-processed-gene-15.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.16&CDS=1-1008, snap_masked-scaffold_4-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.87&CDS=1-1029, snap_masked-scaffold_6-processed-gene-8.51-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.51&CDS=1-1047, snap_masked-scaffold_9-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.45&CDS=1-1053
3	OG0000003	YBR240C, YDR207C	augustus_masked-scaffold_1-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.20&CDS=1-801, augustus_masked-scaffold_3-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.20&CDS=1-483, augustus_masked-scaffold_6-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.10&CDS=1-1533, maker-scaffold_4-snap-gene-13.9-mRNA-1_1&gene=maker-scaffold_4-snap-gene-13.9&CDS=1-1824, snap_masked-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.69&CDS=1-1464, snap_masked-scaffold_2-processed-gene-2.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.26&CDS=1-825, snap_masked-scaffold_2-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.35&CDS=1-1599, snap_masked-scaffold_5-processed-gene-13.76-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.76&CDS=1-1401, snap_masked-scaffold_7-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.30&CDS=1-828
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-scaffold_4-processed-gene-10.12-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.12&CDS=1-1710, augustus_masked-scaffold_4-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.30&CDS=1-1710, snap_masked-scaffold_4-processed-gene-10.49-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.49&CDS=1-1710
5	OG0000005	YNL327W	maker-scaffold_1-snap-gene-1.56-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.56&CDS=1-3516, maker-scaffold_6-augustus-gene-9.78-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.78&CDS=1-3834, maker-scaffold_6-snap-gene-9.88-mRNA-1_1&gene=maker-scaffold_6-snap-gene-9.88&CDS=1-2592, maker-scaffold_6-snap-gene-9.94-mRNA-1_1&gene=maker-scaffold_6-snap-gene-9.94&CDS=1-5703, maker-scaffold_8-snap-gene-3.254-mRNA-1_1&gene=maker-scaffold_8-snap-gene-3.254&CDS=1-6930, snap_masked-scaffold_1-processed-gene-21.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.74&CDS=1-3204, snap_masked-scaffold_3-processed-gene-8.108-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.108&CDS=1-1218, snap_masked-scaffold_5-processed-gene-2.0-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.0&CDS=1-2292, snap_masked-scaffold_7-processed-gene-2.88-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.88&CDS=1-4506
6	OG0000006	YKL220C, YNR060W, YOR381W	maker-scaffold_4-snap-gene-2.100-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.100&CDS=1-4221, snap_masked-scaffold_3-processed-gene-13.71-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.71&CDS=1-2145, snap_masked-scaffold_3-processed-gene-13.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.96&CDS=1-2118, snap_masked-scaffold_3-processed-gene-17.21-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.21&CDS=1-2151, snap_masked-scaffold_4-processed-gene-18.45-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.45&CDS=1-1848, snap_masked-scaffold_4-processed-gene-2.3-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.3&CDS=1-2163
7	OG0000007	YKL071W	maker-scaffold_4-snap-gene-8.50-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.50&CDS=1-1506, snap_masked-scaffold_1-processed-gene-29.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.73&CDS=1-765, snap_masked-scaffold_2-processed-gene-17.51-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.51&CDS=1-738, snap_masked-scaffold_2-processed-gene-19.90-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.90&CDS=1-759, snap_masked-scaffold_3-processed-gene-11.8-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.8&CDS=1-762, snap_masked-scaffold_3-processed-gene-11.9-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.9&CDS=1-762, snap_masked-scaffold_5-processed-gene-9.19-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.19&CDS=1-762
8	OG0000008	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-scaffold_3-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.84&CDS=1-2397, maker-scaffold_1-snap-gene-26.91-mRNA-1_1&gene=maker-scaffold_1-snap-gene-26.91&CDS=1-2286, snap_masked-scaffold_2-processed-gene-17.48-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.48&CDS=1-2637, snap_masked-scaffold_5-processed-gene-11.22-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.22&CDS=1-1215
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-scaffold_1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.96&CDS=1-1389, snap_masked-scaffold_4-processed-gene-17.54-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-17.54&CDS=1-1347
