	OrthologID	Eremothecium_coryli	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-AZAH01000003.1-processed-gene-9.46-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-9.46&CDS=1-2088, augustus_masked-AZAH01000005.1-processed-gene-4.173-mRNA-1_1&gene=augustus_masked-AZAH01000005.1-processed-gene-4.173&CDS=1-5220, maker-AZAH01000004.1-augustus-gene-2.93-mRNA-1_1&gene=maker-AZAH01000004.1-augustus-gene-2.93&CDS=1-3120, maker-AZAH01000008.1-augustus-gene-2.40-mRNA-1_1&gene=maker-AZAH01000008.1-augustus-gene-2.40&CDS=1-2673, snap_masked-AZAH01000001.1-processed-gene-15.61-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-15.61&CDS=1-1677, snap_masked-AZAH01000001.1-processed-gene-2.137-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.137&CDS=1-1788, snap_masked-AZAH01000002.1-processed-gene-10.161-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-10.161&CDS=1-1782	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W
1	OG0000001	snap_masked-AZAH01000001.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.39&CDS=1-1953, snap_masked-AZAH01000001.1-processed-gene-17.32-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-17.32&CDS=1-1902, snap_masked-AZAH01000001.1-processed-gene-3.80-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.80&CDS=1-1839, snap_masked-AZAH01000002.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-1.42&CDS=1-2037, snap_masked-AZAH01000004.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.29&CDS=1-1932, snap_masked-AZAH01000004.1-processed-gene-4.117-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.117&CDS=1-1920	YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W
2	OG0000002	augustus_masked-AZAH01000008.1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-2.20&CDS=1-1650, snap_masked-AZAH01000001.1-processed-gene-17.73-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-17.73&CDS=1-1578	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YNL318C, YOL156W
3	OG0000003	augustus_masked-AZAH01000011.1-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-AZAH01000011.1-processed-gene-1.8&CDS=1-4890, maker-AZAH01000002.1-snap-gene-0.95-mRNA-1_1&gene=maker-AZAH01000002.1-snap-gene-0.95&CDS=1-3879, snap_masked-AZAH01000003.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-1.98&CDS=1-2586, snap_masked-AZAH01000007.1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.135&CDS=1-3267, snap_masked-AZAH01000013.1-processed-gene-0.217-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.217&CDS=1-2295	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
4	OG0000004	maker-AZAH01000001.1-snap-gene-9.61-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-9.61&CDS=1-1944, snap_masked-AZAH01000001.1-processed-gene-4.136-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-4.136&CDS=1-1503, snap_masked-AZAH01000003.1-processed-gene-3.99-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-3.99&CDS=1-1500, snap_masked-AZAH01000008.1-processed-gene-4.8-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-4.8&CDS=1-1548	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
5	OG0000005	augustus_masked-AZAH01000003.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-0.95&CDS=1-939, augustus_masked-AZAH01000015.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-AZAH01000015.1-processed-gene-0.64&CDS=1-741	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
6	OG0000006	snap_masked-AZAH01000001.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.19&CDS=1-3393, snap_masked-AZAH01000002.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-0.106&CDS=1-1977, snap_masked-AZAH01000007.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.98&CDS=1-1437, snap_masked-AZAH01000016.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-AZAH01000016.1-processed-gene-0.68&CDS=1-2805	YBL063W, YEL061C, YKL079W
7	OG0000007	augustus_masked-AZAH01000004.1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-2.84&CDS=1-1572, augustus_masked-AZAH01000018.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-AZAH01000018.1-processed-gene-0.87&CDS=1-1197, snap_masked-AZAH01000001.1-processed-gene-7.121-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-7.121&CDS=1-783	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
8	OG0000008	maker-AZAH01000003.1-snap-gene-4.6-mRNA-1_1&gene=maker-AZAH01000003.1-snap-gene-4.6&CDS=1-4137, snap_masked-AZAH01000002.1-processed-gene-8.109-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-8.109&CDS=1-4356, snap_masked-AZAH01000002.1-processed-gene-8.125-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-8.125&CDS=1-4452	YDR011W, YDR406W, YOR153W, YOR328W
9	OG0000009	maker-AZAH01000009.1-augustus-gene-3.80-mRNA-1_1&gene=maker-AZAH01000009.1-augustus-gene-3.80&CDS=1-7803, snap_masked-AZAH01000003.1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-6.96&CDS=1-6672, snap_masked-AZAH01000009.1-processed-gene-3.197-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.197&CDS=1-2421, snap_masked-AZAH01000009.1-processed-gene-3.198-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.198&CDS=1-2463	YJL130C, YJL212C, YJR109C
