	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034883_Peterozyma_xylosa
0	OG0000000	YDR342C, YDR343C, YDR536W, YFL040W	maker-flattened_line_46-snap-gene-0.114-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.114&CDS=1-1503, snap_masked-flattened_line_0-processed-gene-10.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.61&CDS=1-1788, snap_masked-flattened_line_12-processed-gene-2.152-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.152&CDS=1-1638, snap_masked-flattened_line_12-processed-gene-3.60-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.60&CDS=1-1668, snap_masked-flattened_line_24-processed-gene-3.148-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.148&CDS=1-1728, snap_masked-flattened_line_30-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.103&CDS=1-1614, snap_masked-flattened_line_38-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.70&CDS=1-1767, snap_masked-flattened_line_48-processed-gene-0.150-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.150&CDS=1-1665
1	OG0000001		augustus_masked-flattened_line_20-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.21&CDS=1-3864, augustus_masked-flattened_line_26-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-2.168&CDS=1-3309, augustus_masked-flattened_line_4-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.11&CDS=1-4539, maker-flattened_line_24-augustus-gene-0.96-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.96&CDS=1-2682, snap_masked-flattened_line_0-processed-gene-11.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.118&CDS=1-3366, snap_masked-flattened_line_16-processed-gene-4.58-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.58&CDS=1-2736, snap_masked-flattened_line_18-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.84&CDS=1-2490, snap_masked-flattened_line_18-processed-gene-3.98-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.98&CDS=1-3069, snap_masked-flattened_line_4-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.61&CDS=1-2922, snap_masked-flattened_line_4-processed-gene-4.78-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.78&CDS=1-2625, snap_masked-flattened_line_8-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.56&CDS=1-2736
2	OG0000002	YGL257C, YNR059W	snap_masked-flattened_line_0-processed-gene-11.121-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.121&CDS=1-2571, snap_masked-flattened_line_0-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.33&CDS=1-2283, snap_masked-flattened_line_2-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.3&CDS=1-2214, snap_masked-flattened_line_4-processed-gene-3.100-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.100&CDS=1-1920, snap_masked-flattened_line_4-processed-gene-3.101-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.101&CDS=1-1986, snap_masked-flattened_line_42-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.30&CDS=1-1899, snap_masked-flattened_line_42-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.60&CDS=1-2013, snap_masked-flattened_line_48-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.123&CDS=1-2064
3	OG0000003	YJL172W, YOL153C	genemark-flattened_line_0-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.9&CDS=1-1710, snap_masked-flattened_line_14-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.65&CDS=1-1818, snap_masked-flattened_line_14-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.86&CDS=1-1821, snap_masked-flattened_line_18-processed-gene-3.55-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.55&CDS=1-1839, snap_masked-flattened_line_2-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.16&CDS=1-1749, snap_masked-flattened_line_36-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.65&CDS=1-1668, snap_masked-flattened_line_6-processed-gene-3.131-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.131&CDS=1-1710, snap_masked-flattened_line_6-processed-gene-5.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.17&CDS=1-1737
4	OG0000004	YMR111C, YMR172W, YOL116W	augustus_masked-flattened_line_26-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.20&CDS=1-1089, augustus_masked-flattened_line_4-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.27&CDS=1-1074, genemark-flattened_line_0-processed-gene-4.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.71&CDS=1-1590, genemark-flattened_line_6-processed-gene-7.267-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.267&CDS=1-999, snap_masked-flattened_line_24-processed-gene-2.58-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.58&CDS=1-1065, snap_masked-flattened_line_24-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.59&CDS=1-1473, snap_masked-flattened_line_24-processed-gene-2.61-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.61&CDS=1-1203
5	OG0000005	YDR338C, YHR032W	snap_masked-flattened_line_10-processed-gene-5.188-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-5.188&CDS=1-1815, snap_masked-flattened_line_10-processed-gene-5.200-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-5.200&CDS=1-1515, snap_masked-flattened_line_12-processed-gene-5.112-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.112&CDS=1-1881, snap_masked-flattened_line_20-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.59&CDS=1-1800, snap_masked-flattened_line_30-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.95&CDS=1-1464, snap_masked-flattened_line_32-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.47&CDS=1-1785, snap_masked-flattened_line_32-processed-gene-2.29-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.29&CDS=1-1467
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_6-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.18&CDS=1-1416, snap_masked-flattened_line_0-processed-gene-9.65-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.65&CDS=1-1479, snap_masked-flattened_line_2-processed-gene-2.23-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.23&CDS=1-1443
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-flattened_line_2-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.47&CDS=1-1821
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_10-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.27&CDS=1-1038, snap_masked-flattened_line_10-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.9&CDS=1-1023, snap_masked-flattened_line_12-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.91&CDS=1-1038, snap_masked-flattened_line_6-processed-gene-5.2-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.2&CDS=1-1035
9	OG0000009	YER013W, YGL120C, YKR086W, YNR011C	maker-flattened_line_10-augustus-gene-1.146-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.146&CDS=1-4248, snap_masked-flattened_line_0-processed-gene-6.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.37&CDS=1-2775, snap_masked-flattened_line_10-processed-gene-4.43-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.43&CDS=1-2316, snap_masked-flattened_line_22-processed-gene-2.130-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.130&CDS=1-2652
