	OrthologID	Nakazawaea_peltata	Saccharomyces_cerevisiae
0	OG0000000	-processed-gene-0.32-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.32&CDS=1-741, -processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.33&CDS=1-738, -processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.34&CDS=1-750, -processed-gene-0.35-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.35&CDS=1-750, -processed-gene-0.36-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.36&CDS=1-750, -processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.37&CDS=1-750, -processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-1.40&CDS=1-735, -processed-gene-11.103-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-11.103&CDS=1-612, -processed-gene-13.72-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.72&CDS=1-744, -processed-gene-13.73-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.73&CDS=1-750, -processed-gene-13.74-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.74&CDS=1-741, -processed-gene-13.75-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.75&CDS=1-747, -processed-gene-13.76-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.76&CDS=1-750, -processed-gene-13.77-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.77&CDS=1-738, -processed-gene-2.78-mRNA-1_1&gene=snap_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-2.78&CDS=1-735, -processed-gene-3.74-mRNA-1_1&gene=snap_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-3.74&CDS=1-735, -processed-gene-3.75-mRNA-1_1&gene=snap_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-3.75&CDS=1-765, -processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-3.76&CDS=1-735, -processed-gene-6.25-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-6.25&CDS=1-735, -processed-gene-7.48-mRNA-1_1&gene=augustus_masked-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.48&CDS=1-1410, -processed-gene-9.41-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.41&CDS=1-801	YKL071W
1	OG0000001	-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-gi|1002316192|dbj|BCGQ01000009.1|-processed-gene-0.109&CDS=1-5046, -processed-gene-0.119-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-0.119&CDS=1-2976, -processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-0.21&CDS=1-4968, -processed-gene-0.21-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-0.21&CDS=1-2922, -processed-gene-0.23-mRNA-1_1&gene=snap_masked-gi|1002316191|dbj|BCGQ01000010.1|-processed-gene-0.23&CDS=1-1965, -processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316190|dbj|BCGQ01000011.1|-processed-gene-0.36&CDS=1-3450, -processed-gene-0.51-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-0.51&CDS=1-1173, -processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.65&CDS=1-3243, -processed-gene-0.86-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.86&CDS=1-3363, -processed-gene-0.99-mRNA-1_1&gene=augustus_masked-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-0.99&CDS=1-2679, -processed-gene-11.171-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.171&CDS=1-3081, -processed-gene-12.35-mRNA-1_1&gene=augustus_masked-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.35&CDS=1-2667, -processed-gene-13.57-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.57&CDS=1-1227, -processed-gene-2.112-mRNA-1_1&gene=snap_masked-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-2.112&CDS=1-4245, -processed-gene-28.109-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-28.109&CDS=1-2538, -processed-gene-28.181-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-28.181&CDS=1-3723, -processed-gene-7.173-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.173&CDS=1-3756, -processed-gene-9.203-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.203&CDS=1-4608, -snap-gene-11.5-mRNA-1_1&gene=maker-gi|1002316197|dbj|BCGQ01000004.1|-snap-gene-11.5&CDS=1-5115	
2	OG0000002	-processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-0.41&CDS=1-1827, -processed-gene-0.73-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.73&CDS=1-1863, -processed-gene-12.54-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.54&CDS=1-1911, -processed-gene-2.100-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-2.100&CDS=1-1830, -processed-gene-4.134-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-4.134&CDS=1-1929, -processed-gene-7.142-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.142&CDS=1-1884	YCL073C, YEL065W, YHL040C, YKR106W, YOL158C
3	OG0000003	-processed-gene-11.40-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.40&CDS=1-2595, -processed-gene-13.50-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.50&CDS=1-2607, -processed-gene-16.146-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-16.146&CDS=1-2049, -processed-gene-3.49-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-3.49&CDS=1-2544, -processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-4.58&CDS=1-1860, -processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-5.109&CDS=1-2193, -processed-gene-9.194-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-9.194&CDS=1-2082, -snap-gene-13.7-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-snap-gene-13.7&CDS=1-4950	YJR061W, YKL201C, YML079W
4	OG0000004	-processed-gene-11.191-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.191&CDS=1-1008, -processed-gene-11.192-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.192&CDS=1-1086, -processed-gene-11.193-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.193&CDS=1-903, -processed-gene-11.194-mRNA-1_1&gene=augustus_masked-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.194&CDS=1-1689, -processed-gene-11.37-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-11.37&CDS=1-1056, -processed-gene-12.11-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-12.11&CDS=1-3885, -processed-gene-13.223-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.223&CDS=1-1254, -processed-gene-15.50-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-15.50&CDS=1-1533	YMR179W, YOL116W
5	OG0000005	-processed-gene-1.0-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-1.0&CDS=1-1041, -processed-gene-3.142-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-3.142&CDS=1-1035, -processed-gene-3.192-mRNA-1_1&gene=genemark-gi|1002316191|dbj|BCGQ01000010.1|-processed-gene-3.192&CDS=1-1035, -processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-3.92&CDS=1-1047, -snap-gene-9.1-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-snap-gene-9.1&CDS=1-2949	YDR541C, YGL039W, YGL157W, YOL151W
6	OG0000006	-augustus-gene-2.50-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-augustus-gene-2.50&CDS=1-4026, -processed-gene-10.66-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-10.66&CDS=1-1707, -processed-gene-11.106-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-11.106&CDS=1-1644, -processed-gene-15.71-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-15.71&CDS=1-1707, -processed-gene-3.223-mRNA-1_1&gene=genemark-gi|1002316191|dbj|BCGQ01000010.1|-processed-gene-3.223&CDS=1-1668, -processed-gene-4.96-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.96&CDS=1-1659, -processed-gene-7.181-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-7.181&CDS=1-1716	YOR348C, YPR031W
7	OG0000007	-processed-gene-1.137-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.137&CDS=1-2556, -processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-1.25&CDS=1-2412, -processed-gene-2.52-mRNA-1_1&gene=genemark-gi|1002316197|dbj|BCGQ01000004.1|-processed-gene-2.52&CDS=1-2550, -processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316193|dbj|BCGQ01000008.1|-processed-gene-2.53&CDS=1-2532, -processed-gene-4.135-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-4.135&CDS=1-2574, -processed-gene-6.78-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-6.78&CDS=1-2577, -processed-gene-9.97-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-9.97&CDS=1-2562	YJL212C, YPR194C
8	OG0000008	-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.119&CDS=1-2775, -processed-gene-10.0-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.0&CDS=1-3363, -processed-gene-12.208-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.208&CDS=1-3444, -processed-gene-12.209-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-12.209&CDS=1-3240, -processed-gene-13.274-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.274&CDS=1-4278, -processed-gene-26.129-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-26.129&CDS=1-2496, -processed-gene-26.5-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-26.5&CDS=1-3027, -snap-gene-13.13-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-snap-gene-13.13&CDS=1-3522	YLR256W
9	OG0000009	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002316194|dbj|BCGQ01000007.1|-processed-gene-0.66&CDS=1-1485, -processed-gene-2.29-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-2.29&CDS=1-2373, -processed-gene-4.2-mRNA-1_1&gene=genemark-gi|1002316198|dbj|BCGQ01000003.1|-processed-gene-4.2&CDS=1-1869, -processed-gene-7.113-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-7.113&CDS=1-2277, -snap-gene-4.100-mRNA-1_1&gene=maker-gi|1002316198|dbj|BCGQ01000003.1|-snap-gene-4.100&CDS=1-1929	YMR019W, YNR063W, YOR380W
