	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034897_Ogataea_glucozyma
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
1	OG0000001	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_11-processed-gene-2.176-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.176&CDS=1-1017, genemark-flattened_line_124-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.20&CDS=1-1014, genemark-flattened_line_36-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.109&CDS=1-1014, genemark-flattened_line_52-processed-gene-0.209-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.209&CDS=1-1053, genemark-flattened_line_68-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.11&CDS=1-1014, genemark-flattened_line_68-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.9&CDS=1-1017, genemark-flattened_line_9-processed-gene-4.54-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.54&CDS=1-1008, genemark-flattened_line_9-processed-gene-4.62-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.62&CDS=1-1014
2	OG0000002		augustus_masked-flattened_line_160-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.2&CDS=1-4410, augustus_masked-flattened_line_273-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_273-processed-gene-0.2&CDS=1-1893, augustus_masked-flattened_line_353-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_353-processed-gene-0.0&CDS=1-1062, augustus_masked-flattened_line_363-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_363-processed-gene-0.2&CDS=1-348, augustus_masked-flattened_line_455-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_455-processed-gene-0.2&CDS=1-204, augustus_masked-flattened_line_657-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_657-processed-gene-0.2&CDS=1-321, snap_masked-flattened_line_17-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.38&CDS=1-3759, snap_masked-flattened_line_224-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_224-processed-gene-0.1&CDS=1-1884, snap_masked-flattened_line_255-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_255-processed-gene-0.0&CDS=1-1884
3	OG0000003	YCL074W	genemark-flattened_line_463-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_463-processed-gene-0.0&CDS=1-414, genemark-flattened_line_543-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_543-processed-gene-0.0&CDS=1-165, genemark-flattened_line_559-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_559-processed-gene-0.0&CDS=1-222, genemark-flattened_line_633-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_633-processed-gene-0.0&CDS=1-225, genemark-flattened_line_847-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_847-processed-gene-0.0&CDS=1-210, genemark-flattened_line_903-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_903-processed-gene-0.0&CDS=1-114, genemark-flattened_line_957-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_957-processed-gene-0.0&CDS=1-141
4	OG0000004	YKL220C, YNR060W, YOR381W	genemark-flattened_line_30-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.82&CDS=1-2055, genemark-flattened_line_52-processed-gene-0.214-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.214&CDS=1-2061, genemark-flattened_line_56-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.114&CDS=1-2052, genemark-flattened_line_70-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.153&CDS=1-2061, snap_masked-flattened_line_86-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.62&CDS=1-2046
5	OG0000005	YMR168C	augustus_masked-flattened_line_56-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.151&CDS=1-1431, augustus_masked-flattened_line_7-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.114&CDS=1-2235, genemark-flattened_line_40-processed-gene-1.134-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.134&CDS=1-2331, genemark-flattened_line_46-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.65&CDS=1-2511, genemark-flattened_line_90-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.56&CDS=1-2457, snap_masked-flattened_line_40-processed-gene-1.77-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.77&CDS=1-3294, snap_masked-flattened_line_56-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.49&CDS=1-2388
6	OG0000006	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_11-processed-gene-1.51-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.51&CDS=1-1626, genemark-flattened_line_5-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.5&CDS=1-2583, genemark-flattened_line_86-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.18&CDS=1-1965
7	OG0000007	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_36-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.104&CDS=1-1641, genemark-flattened_line_56-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.82&CDS=1-1635, genemark-flattened_line_66-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.127&CDS=1-1674
8	OG0000008	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-flattened_line_0-processed-gene-4.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.59&CDS=1-1632, genemark-flattened_line_0-processed-gene-4.70-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.70&CDS=1-1632
9	OG0000009	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_38-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.15&CDS=1-1926, augustus_masked-flattened_line_7-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.163&CDS=1-2109, augustus_masked-flattened_line_7-processed-gene-4.164-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.164&CDS=1-2154, genemark-flattened_line_11-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-0.75&CDS=1-2463
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_9-processed-gene-4.34-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.34&CDS=1-1428
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_0-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.69&CDS=1-4653, genemark-flattened_line_0-processed-gene-7.128-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.128&CDS=1-4653
12	OG0000012	YBL068W-A, YBL069W, YER101C, YMR152W	genemark-flattened_line_0-processed-gene-2.124-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.124&CDS=1-1122, genemark-flattened_line_0-processed-gene-6.110-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.110&CDS=1-1122
