	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034904_Ogataea_nonfermentans
0	OG0000000	YKL071W	augustus_masked-flattened_line_34-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.10&CDS=1-690, augustus_masked-flattened_line_58-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.2&CDS=1-684, genemark-flattened_line_31-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.34&CDS=1-753, genemark-flattened_line_5-processed-gene-7.37-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-7.37&CDS=1-753, maker-flattened_line_38-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.25&CDS=1-930, snap_masked-flattened_line_0-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.101&CDS=1-753, snap_masked-flattened_line_0-processed-gene-24.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.63&CDS=1-753, snap_masked-flattened_line_0-processed-gene-31.151-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.151&CDS=1-753, snap_masked-flattened_line_0-processed-gene-8.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.86&CDS=1-753, snap_masked-flattened_line_1-processed-gene-12.50-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.50&CDS=1-753, snap_masked-flattened_line_11-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.96&CDS=1-753, snap_masked-flattened_line_17-processed-gene-2.110-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.110&CDS=1-753, snap_masked-flattened_line_17-processed-gene-2.111-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.111&CDS=1-753, snap_masked-flattened_line_29-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.14&CDS=1-762, snap_masked-flattened_line_3-processed-gene-12.138-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.138&CDS=1-753, snap_masked-flattened_line_3-processed-gene-12.173-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.173&CDS=1-762, snap_masked-flattened_line_31-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.42&CDS=1-762
1	OG0000001	YBL017C, YBL018C, YIL173W, YJL222W, YNR065C	maker-flattened_line_0-augustus-gene-28.133-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-28.133&CDS=1-4914, snap_masked-flattened_line_0-processed-gene-4.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.59&CDS=1-372, snap_masked-flattened_line_0-processed-gene-4.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.60&CDS=1-4581
2	OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	snap_masked-flattened_line_0-processed-gene-11.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.76&CDS=1-1614, snap_masked-flattened_line_0-processed-gene-20.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.153&CDS=1-1614
3	OG0000003	YPR127W	maker-flattened_line_9-snap-gene-3.110-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-3.110&CDS=1-1803, snap_masked-flattened_line_0-processed-gene-15.170-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.170&CDS=1-1023, snap_masked-flattened_line_0-processed-gene-16.22-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-16.22&CDS=1-1023, snap_masked-flattened_line_0-processed-gene-25.170-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.170&CDS=1-972, snap_masked-flattened_line_0-processed-gene-6.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.48&CDS=1-972, snap_masked-flattened_line_13-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.144&CDS=1-1011
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_5-processed-gene-4.58-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.58&CDS=1-1335
5	OG0000005	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_0-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.107&CDS=1-1011, snap_masked-flattened_line_0-processed-gene-31.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.145&CDS=1-1011
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-flattened_line_17-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.20&CDS=1-2100
7	OG0000007	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_27-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-0.1&CDS=1-603, maker-flattened_line_27-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-0.2&CDS=1-186
8	OG0000008	YAL030W, YLR093C, YOR327C	snap_masked-flattened_line_1-processed-gene-9.86-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-9.86&CDS=1-363, snap_masked-flattened_line_3-processed-gene-10.95-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-10.95&CDS=1-795
9	OG0000009	YBL002W, YDR224C	snap_masked-flattened_line_0-processed-gene-12.148-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.148&CDS=1-393, snap_masked-flattened_line_0-processed-gene-19.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.54&CDS=1-393, snap_masked-flattened_line_1-processed-gene-8.164-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-8.164&CDS=1-393
10	OG0000010	YBR009C, YNL030W	snap_masked-flattened_line_0-processed-gene-1.186-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.186&CDS=1-309, snap_masked-flattened_line_0-processed-gene-30.136-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.136&CDS=1-309, snap_masked-flattened_line_17-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.77&CDS=1-309
11	OG0000011	YBR240C	augustus_masked-flattened_line_9-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.158&CDS=1-1002, snap_masked-flattened_line_0-processed-gene-14.7-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.7&CDS=1-804, snap_masked-flattened_line_0-processed-gene-18.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.80&CDS=1-804, snap_masked-flattened_line_3-processed-gene-5.121-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.121&CDS=1-486
12	OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_13-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.41&CDS=1-1578
13	OG0000013	YDR144C, YLR120C, YLR121C	snap_masked-flattened_line_0-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.167&CDS=1-1716, snap_masked-flattened_line_0-processed-gene-30.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.159&CDS=1-1716
