	OrthologID	Candida_apicola	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-LBNK01000001.1-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-9.73&CDS=1-1623, augustus_masked-LBNK01000003.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-7.4&CDS=1-1233, augustus_masked-LBNK01000012.1-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-1.146&CDS=1-1806, maker-LBNK01000003.1-augustus-gene-7.90-mRNA-1_1&gene=maker-LBNK01000003.1-augustus-gene-7.90&CDS=1-2001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
1	OG0000001	augustus_masked-LBNK01000001.1-processed-gene-14.173-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-14.173&CDS=1-2733, augustus_masked-LBNK01000003.1-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-5.7&CDS=1-2772, augustus_masked-LBNK01000004.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-0.121&CDS=1-2598, augustus_masked-LBNK01000004.1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-2.107&CDS=1-2754, augustus_masked-LBNK01000005.1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-2.60&CDS=1-2751, augustus_masked-LBNK01000006.1-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-5.21&CDS=1-2742, augustus_masked-LBNK01000006.1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-5.29&CDS=1-2595, augustus_masked-LBNK01000007.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.76&CDS=1-2613, augustus_masked-LBNK01000007.1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.48&CDS=1-2604, augustus_masked-LBNK01000009.1-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.159&CDS=1-2598, augustus_masked-LBNK01000016.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LBNK01000016.1-processed-gene-0.27&CDS=1-2601, augustus_masked-LBNK01000018.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LBNK01000018.1-processed-gene-0.63&CDS=1-2616, genemark-LBNK01000005.1-processed-gene-6.187-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-6.187&CDS=1-2679, snap_masked-LBNK01000007.1-processed-gene-6.217-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-6.217&CDS=1-2517, snap_masked-LBNK01000020.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LBNK01000020.1-processed-gene-0.58&CDS=1-2655	YPR194C
2	OG0000002	augustus_masked-LBNK01000004.1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-2.75&CDS=1-549, augustus_masked-LBNK01000004.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.69&CDS=1-1398, augustus_masked-LBNK01000015.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LBNK01000015.1-processed-gene-0.12&CDS=1-564, genemark-LBNK01000008.1-processed-gene-2.82-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-2.82&CDS=1-546, genemark-LBNK01000009.1-processed-gene-0.33-mRNA-1_1&gene=genemark-LBNK01000009.1-processed-gene-0.33&CDS=1-513, snap_masked-LBNK01000005.1-processed-gene-6.66-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-6.66&CDS=1-531, snap_masked-LBNK01000015.1-processed-gene-0.137-mRNA-1_1&gene=snap_masked-LBNK01000015.1-processed-gene-0.137&CDS=1-546, snap_masked-LBNK01000015.1-processed-gene-0.176-mRNA-1_1&gene=snap_masked-LBNK01000015.1-processed-gene-0.176&CDS=1-558, snap_masked-LBNK01000015.1-processed-gene-0.177-mRNA-1_1&gene=snap_masked-LBNK01000015.1-processed-gene-0.177&CDS=1-540, snap_masked-LBNK01000015.1-processed-gene-0.178-mRNA-1_1&gene=snap_masked-LBNK01000015.1-processed-gene-0.178&CDS=1-513	YDL161W, YLR206W
3	OG0000003	augustus_masked-LBNK01000001.1-processed-gene-13.0-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-13.0&CDS=1-1638, augustus_masked-LBNK01000002.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-6.53&CDS=1-1524, augustus_masked-LBNK01000008.1-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-3.35&CDS=1-1524, maker-LBNK01000004.1-snap-gene-4.96-mRNA-1_1&gene=maker-LBNK01000004.1-snap-gene-4.96&CDS=1-1320	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
4	OG0000004	augustus_masked-LBNK01000001.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-1.26&CDS=1-1083, augustus_masked-LBNK01000002.1-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-3.132&CDS=1-1008, augustus_masked-LBNK01000002.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-8.70&CDS=1-1041, augustus_masked-LBNK01000004.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.26&CDS=1-1035, augustus_masked-LBNK01000006.1-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-3.21&CDS=1-1314, augustus_masked-LBNK01000007.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.40&CDS=1-1002, augustus_masked-LBNK01000007.1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.41&CDS=1-981	YGR263C
5	OG0000005	augustus_masked-LBNK01000013.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.16&CDS=1-1092, augustus_masked-LBNK01000013.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.17&CDS=1-3072, augustus_masked-LBNK01000013.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-0.18&CDS=1-3231, augustus_masked-LBNK01000013.1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.97&CDS=1-2721, augustus_masked-LBNK01000013.1-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-LBNK01000013.1-processed-gene-1.98&CDS=1-6333, snap_masked-LBNK01000012.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LBNK01000012.1-processed-gene-0.23&CDS=1-3993, snap_masked-LBNK01000020.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LBNK01000020.1-processed-gene-0.59&CDS=1-8838, snap_masked-LBNK01000024.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LBNK01000024.1-processed-gene-0.8&CDS=1-3402	
6	OG0000006	augustus_masked-LBNK01000003.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.53&CDS=1-1671, augustus_masked-LBNK01000003.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-7.36&CDS=1-1830, augustus_masked-LBNK01000006.1-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.91&CDS=1-1665, augustus_masked-LBNK01000006.1-processed-gene-6.221-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-6.221&CDS=1-1989, snap_masked-LBNK01000003.1-processed-gene-6.0-mRNA-1_1&gene=snap_masked-LBNK01000003.1-processed-gene-6.0&CDS=1-1629	YBR015C, YJL186W
7	OG0000007	augustus_masked-LBNK01000002.1-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-3.142&CDS=1-1539, augustus_masked-LBNK01000011.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LBNK01000011.1-processed-gene-0.26&CDS=1-1587, maker-LBNK01000003.1-snap-gene-6.50-mRNA-1_1&gene=maker-LBNK01000003.1-snap-gene-6.50&CDS=1-2739	YDR144C, YLR120C, YLR121C
8	OG0000008	augustus_masked-LBNK01000002.1-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-5.39&CDS=1-918, augustus_masked-LBNK01000003.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-6.80&CDS=1-888, augustus_masked-LBNK01000009.1-processed-gene-2.201-mRNA-1_1&gene=augustus_masked-LBNK01000009.1-processed-gene-2.201&CDS=1-1089, maker-LBNK01000006.1-augustus-gene-3.41-mRNA-1_1&gene=maker-LBNK01000006.1-augustus-gene-3.41&CDS=1-3045	YMR313C, YOR049C
9	OG0000009	augustus_masked-LBNK01000012.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-LBNK01000012.1-processed-gene-0.82&CDS=1-2682, snap_masked-LBNK01000002.1-processed-gene-5.141-mRNA-1_1&gene=snap_masked-LBNK01000002.1-processed-gene-5.141&CDS=1-5193	YGR097W, YIL105C, YNL047C, YPR115W
