	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034624_Pichia_nakasei
0	OG0000000	YCL033C, YJR152W	augustus_masked-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_16_length_247219_cov_103.792_ID_31-processed-gene-1.61&CDS=1-2421, augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-9.54&CDS=1-2952, augustus_masked-NODE_7_length_372050_cov_100.367_ID_13-processed-gene-2.205-mRNA-1_1&gene=augustus_masked-NODE_7_length_372050_cov_100.367_ID_13-processed-gene-2.205&CDS=1-1947, genemark-NODE_10_length_334870_cov_78.2175_ID_19-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_10_length_334870_cov_78.2175_ID_19-processed-gene-1.0&CDS=1-1572, genemark-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.167-mRNA-1_1&gene=genemark-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.167&CDS=1-1491, genemark-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.175-mRNA-1_1&gene=genemark-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.175&CDS=1-1641, genemark-NODE_19_length_215281_cov_113.817_ID_37-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_19_length_215281_cov_113.817_ID_37-processed-gene-1.121&CDS=1-1578, genemark-NODE_21_length_166389_cov_84.0848_ID_41-processed-gene-0.149-mRNA-1_1&gene=genemark-NODE_21_length_166389_cov_84.0848_ID_41-processed-gene-0.149&CDS=1-1566, genemark-NODE_32_length_66070_cov_132.446_ID_63-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_32_length_66070_cov_132.446_ID_63-processed-gene-0.0&CDS=1-1536, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-0.105&CDS=1-1578, genemark-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_5_length_465336_cov_77.3081_ID_9-processed-gene-2.35&CDS=1-1572, genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-0.90&CDS=1-4437
1	OG0000001	YDL229W, YJL034W, YJR045C, YLL024C, YNL209W	augustus_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.6&CDS=1-3120, genemark-NODE_26_length_98585_cov_93.8562_ID_51-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_26_length_98585_cov_93.8562_ID_51-processed-gene-0.37&CDS=1-2019, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.57-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-1.57&CDS=1-1923, maker-NODE_1_length_1112387_cov_82.0011_ID_1-snap-gene-9.110-mRNA-1_1&gene=maker-NODE_1_length_1112387_cov_82.0011_ID_1-snap-gene-9.110&CDS=1-2433, maker-NODE_2_length_862332_cov_74.7162_ID_3-augustus-gene-5.46-mRNA-1_1&gene=maker-NODE_2_length_862332_cov_74.7162_ID_3-augustus-gene-5.46&CDS=1-1980, snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-1.66&CDS=1-1845
2	OG0000002	YBR015C, YGR024C	augustus_masked-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_15_length_272279_cov_85.9412_ID_29-processed-gene-1.63&CDS=1-1539, augustus_masked-NODE_47_length_13733_cov_161.732_ID_93-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_47_length_13733_cov_161.732_ID_93-processed-gene-0.2&CDS=1-2631, genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-4.55-mRNA-1_1&gene=genemark-NODE_3_length_767172_cov_100.896_ID_5-processed-gene-4.55&CDS=1-1770, maker-NODE_13_length_304852_cov_104.467_ID_25-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_13_length_304852_cov_104.467_ID_25-augustus-gene-1.0&CDS=1-3720, maker-NODE_3_length_767172_cov_100.896_ID_5-augustus-gene-6.201-mRNA-1_1&gene=maker-NODE_3_length_767172_cov_100.896_ID_5-augustus-gene-6.201&CDS=1-2490, maker-NODE_42_length_33873_cov_87.2674_ID_83-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_42_length_33873_cov_87.2674_ID_83-snap-gene-0.54&CDS=1-1983, snap_masked-NODE_10_length_334870_cov_78.2175_ID_19-processed-gene-2.196-mRNA-1_1&gene=snap_masked-NODE_10_length_334870_cov_78.2175_ID_19-processed-gene-2.196&CDS=1-1779, snap_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-4.50-mRNA-1_1&gene=snap_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-4.50&CDS=1-1692
3	OG0000003	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-0.38&CDS=1-417, augustus_masked-NODE_93_length_566_cov_182.711_ID_185-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_93_length_566_cov_182.711_ID_185-processed-gene-0.1&CDS=1-468, maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-7.79-mRNA-1_1&gene=maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-7.79&CDS=1-4185, maker-NODE_46_length_15477_cov_94.8479_ID_91-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_46_length_15477_cov_94.8479_ID_91-snap-gene-0.19&CDS=1-5292, maker-NODE_7_length_372050_cov_100.367_ID_13-snap-gene-1.122-mRNA-1_1&gene=maker-NODE_7_length_372050_cov_100.367_ID_13-snap-gene-1.122&CDS=1-2769
4	OG0000004	YCL024W, YDR507C, YKL101W, YOR233W, YPL150W	genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-1.50-mRNA-1_1&gene=genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-1.50&CDS=1-2793, snap_masked-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_12_length_322370_cov_82.8878_ID_23-processed-gene-0.39&CDS=1-3702, snap_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.32&CDS=1-3543, snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-2.9&CDS=1-2733
5	OG0000005	YDR011W, YNR070W, YOR153W, YPL058C	genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-2.141-mRNA-1_1&gene=genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-2.141&CDS=1-4491, genemark-NODE_13_length_304852_cov_104.467_ID_25-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_13_length_304852_cov_104.467_ID_25-processed-gene-1.82&CDS=1-5823, genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.164-mRNA-1_1&gene=genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.164&CDS=1-4491, genemark-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-3.76&CDS=1-4599, snap_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-9.105&CDS=1-6027
6	OG0000006	YDR242W, YNL127W	genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.166-mRNA-1_1&gene=genemark-NODE_14_length_287120_cov_78.7859_ID_27-processed-gene-1.166&CDS=1-3129, genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.61-mRNA-1_1&gene=genemark-NODE_17_length_242779_cov_85.8604_ID_33-processed-gene-1.61&CDS=1-1629, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-4.80-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-4.80&CDS=1-1716, genemark-NODE_32_length_66070_cov_132.446_ID_63-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_32_length_66070_cov_132.446_ID_63-processed-gene-0.1&CDS=1-1857, genemark-NODE_45_length_17069_cov_125.087_ID_89-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_45_length_17069_cov_125.087_ID_89-processed-gene-0.8&CDS=1-1653, maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-2.133-mRNA-1_1&gene=maker-NODE_2_length_862332_cov_74.7162_ID_3-snap-gene-2.133&CDS=1-3996, maker-NODE_31_length_72447_cov_92.9692_ID_61-augustus-gene-0.80-mRNA-1_1&gene=maker-NODE_31_length_72447_cov_92.9692_ID_61-augustus-gene-0.80&CDS=1-4818
7	OG0000007	YGL257C, YIL014W, YNR006W, YNR059W	augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-0.30&CDS=1-231, augustus_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-0.60&CDS=1-10143, genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-7.32-mRNA-1_1&gene=genemark-NODE_1_length_1112387_cov_82.0011_ID_1-processed-gene-7.32&CDS=1-2223, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-0.101&CDS=1-8025, genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-5.23-mRNA-1_1&gene=genemark-NODE_2_length_862332_cov_74.7162_ID_3-processed-gene-5.23&CDS=1-1299
8	OG0000008	YAL023C, YJR061W, YKL201C	genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_11_length_327219_cov_86.4496_ID_21-processed-gene-0.26&CDS=1-4524, genemark-NODE_20_length_197075_cov_91.315_ID_39-processed-gene-0.163-mRNA-1_1&gene=genemark-NODE_20_length_197075_cov_91.315_ID_39-processed-gene-0.163&CDS=1-3786, genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.221-mRNA-1_1&gene=genemark-NODE_9_length_350369_cov_102.719_ID_17-processed-gene-2.221&CDS=1-2466, maker-NODE_15_length_272279_cov_85.9412_ID_29-snap-gene-0.56-mRNA-1_1&gene=maker-NODE_15_length_272279_cov_85.9412_ID_29-snap-gene-0.56&CDS=1-2709, maker-NODE_9_length_350369_cov_102.719_ID_17-snap-gene-2.72-mRNA-1_1&gene=maker-NODE_9_length_350369_cov_102.719_ID_17-snap-gene-2.72&CDS=1-2985
9	OG0000009	YBR238C, YGL107C, YOL119C, YOR306C	genemark-NODE_24_length_138418_cov_86.6795_ID_47-processed-gene-0.177-mRNA-1_1&gene=genemark-NODE_24_length_138418_cov_86.6795_ID_47-processed-gene-0.177&CDS=1-1530, genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-4.37-mRNA-1_1&gene=genemark-NODE_4_length_718983_cov_91.3443_ID_7-processed-gene-4.37&CDS=1-1626, snap_masked-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_6_length_409953_cov_99.5299_ID_11-processed-gene-1.85&CDS=1-2874, snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_8_length_364696_cov_82.9624_ID_15-processed-gene-1.69&CDS=1-1740
