	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_mikatae
0	OG0000000	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	augustus_masked-Smik_3-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-Smik_3-processed-gene-0.18&CDS=1-360, snap_masked-Smik_1-processed-gene-0.240-mRNA-1_1&gene=snap_masked-Smik_1-processed-gene-0.240&CDS=1-360, snap_masked-Smik_5-processed-gene-0.85-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-0.85&CDS=1-360
1	OG0000001	YDR545W, YEL077C, YER190W, YGR296W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	genemark-Smik_9-processed-gene-3.153-mRNA-1_1&gene=genemark-Smik_9-processed-gene-3.153&CDS=1-4395
2	OG0000002	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W	augustus_masked-Smik_16-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-7.100&CDS=1-1149, genemark-Smik_9-processed-gene-3.180-mRNA-1_1&gene=genemark-Smik_9-processed-gene-3.180&CDS=1-1137
3	OG0000003	YAL005C, YBL075C, YBL076C, YER103W, YJL034W, YLL024C	augustus_masked-Smik_2-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-Smik_2-processed-gene-0.109&CDS=1-6234, maker-Smik_1-snap-gene-0.76-mRNA-1_1&gene=maker-Smik_1-snap-gene-0.76&CDS=1-1956, maker-Smik_5-augustus-gene-3.1-mRNA-1_1&gene=maker-Smik_5-augustus-gene-3.1&CDS=1-2562, snap_masked-Smik_10-processed-gene-3.109-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-3.109&CDS=1-2049, snap_masked-Smik_12-processed-gene-0.31-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-0.31&CDS=1-1974
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	augustus_masked-Smik_16-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-0.6&CDS=1-1767, maker-Smik_16-snap-gene-0.72-mRNA-1_1&gene=maker-Smik_16-snap-gene-0.72&CDS=1-1668, snap_masked-Smik_16-processed-gene-0.80-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-0.80&CDS=1-1767, snap_masked-Smik_5-processed-gene-0.96-mRNA-1_1&gene=snap_masked-Smik_5-processed-gene-0.96&CDS=1-1752
5	OG0000005	YFL011W, YJL214W, YLR081W, YMR011W	genemark-Smik_6-processed-gene-1.104-mRNA-1_1&gene=genemark-Smik_6-processed-gene-1.104&CDS=1-1638, snap_masked-Smik_10-processed-gene-0.86-mRNA-1_1&gene=snap_masked-Smik_10-processed-gene-0.86&CDS=1-1707, snap_masked-Smik_12-processed-gene-2.22-mRNA-1_1&gene=snap_masked-Smik_12-processed-gene-2.22&CDS=1-1719, snap_masked-Smik_13-processed-gene-2.31-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-2.31&CDS=1-1623, snap_masked-Smik_6-processed-gene-0.37-mRNA-1_1&gene=snap_masked-Smik_6-processed-gene-0.37&CDS=1-1707
6	OG0000006	YBR145W, YMR083W, YMR303C, YOL086C	snap_masked-Smik_13-processed-gene-4.98-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-4.98&CDS=1-1125, snap_masked-Smik_13-processed-gene-7.92-mRNA-1_1&gene=snap_masked-Smik_13-processed-gene-7.92&CDS=1-1044, snap_masked-Smik_15-processed-gene-1.117-mRNA-1_1&gene=snap_masked-Smik_15-processed-gene-1.117&CDS=1-1044, snap_masked-Smik_2-processed-gene-5.4-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-5.4&CDS=1-1053
7	OG0000007	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-Smik_16-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-0.25&CDS=1-1224, augustus_masked-Smik_6-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-Smik_6-processed-gene-0.71&CDS=1-1191, snap_masked-Smik_16-processed-gene-0.99-mRNA-1_1&gene=snap_masked-Smik_16-processed-gene-0.99&CDS=1-1389, snap_masked-Smik_2-processed-gene-6.260-mRNA-1_1&gene=snap_masked-Smik_2-processed-gene-6.260&CDS=1-1407
8	OG0000008	YCR104W, YIR041W, YKL224C, YLL025W, YLR037C, YMR325W	augustus_masked-Smik_16-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-Smik_16-processed-gene-7.86&CDS=1-372
9	OG0000009	YAL064C-A, YHR213W	augustus_masked-Smik_1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-Smik_1-processed-gene-0.30&CDS=1-1044, maker-Smik_1-snap-gene-0.70-mRNA-1_1&gene=maker-Smik_1-snap-gene-0.70&CDS=1-2217, maker-Smik_11-snap-gene-5.144-mRNA-1_1&gene=maker-Smik_11-snap-gene-5.144&CDS=1-3909, snap_masked-Smik_8-processed-gene-4.143-mRNA-1_1&gene=snap_masked-Smik_8-processed-gene-4.143&CDS=1-999
