	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034643_Candida_schatavii
0	OG0000000	YLR251W, YOR014W, YPR194C	augustus_masked-flattened_line_10-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.76&CDS=1-2775, augustus_masked-flattened_line_108-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.34&CDS=1-2760, augustus_masked-flattened_line_12-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.4&CDS=1-2784, augustus_masked-flattened_line_12-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.28&CDS=1-681, augustus_masked-flattened_line_12-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.43&CDS=1-2784, augustus_masked-flattened_line_25-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-1.14&CDS=1-2763, augustus_masked-flattened_line_29-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.50&CDS=1-2781, augustus_masked-flattened_line_36-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.84&CDS=1-2745, maker-flattened_line_12-snap-gene-0.42-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.42&CDS=1-6315, maker-flattened_line_12-snap-gene-3.0-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-3.0&CDS=1-5658, maker-flattened_line_58-augustus-gene-0.54-mRNA-1_1&gene=maker-flattened_line_58-augustus-gene-0.54&CDS=1-7983
1	OG0000001	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_25-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.22&CDS=1-3315, augustus_masked-flattened_line_29-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-0.35&CDS=1-1800, augustus_masked-flattened_line_36-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.61&CDS=1-2109, maker-flattened_line_56-snap-gene-0.75-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.75&CDS=1-3399, maker-flattened_line_72-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.38&CDS=1-1824, snap_masked-flattened_line_72-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.108&CDS=1-1836
2	OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	augustus_masked-flattened_line_60-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.97&CDS=1-1659
3	OG0000003	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_15-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-0.40&CDS=1-2589, augustus_masked-flattened_line_36-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-2.43&CDS=1-3171, augustus_masked-flattened_line_48-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.105&CDS=1-2496, augustus_masked-flattened_line_6-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.143&CDS=1-2388, genemark-flattened_line_2-processed-gene-2.88-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.88&CDS=1-2382
4	OG0000004	YJR061W, YKL201C	augustus_masked-flattened_line_12-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.40&CDS=1-2520, augustus_masked-flattened_line_12-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.111&CDS=1-2520, augustus_masked-flattened_line_54-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.52&CDS=1-1704, augustus_masked-flattened_line_6-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.59&CDS=1-2502, maker-flattened_line_92-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_92-snap-gene-0.69&CDS=1-3408, snap_masked-flattened_line_19-processed-gene-2.90-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.90&CDS=1-1614, snap_masked-flattened_line_6-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.5&CDS=1-2205
5	OG0000005	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_118-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.25&CDS=1-2094, augustus_masked-flattened_line_29-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_29-processed-gene-2.25&CDS=1-2178, augustus_masked-flattened_line_50-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.122&CDS=1-2169, augustus_masked-flattened_line_66-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.181&CDS=1-2157
6	OG0000006		augustus_masked-flattened_line_10-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.125&CDS=1-717, augustus_masked-flattened_line_196-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_196-processed-gene-0.1&CDS=1-2211, augustus_masked-flattened_line_32-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-2.143&CDS=1-7836, augustus_masked-flattened_line_46-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-1.116&CDS=1-3366, augustus_masked-flattened_line_62-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.56&CDS=1-7443, genemark-flattened_line_17-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.14&CDS=1-3978, snap_masked-flattened_line_156-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.7&CDS=1-813, snap_masked-flattened_line_276-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_276-processed-gene-0.2&CDS=1-399, snap_masked-flattened_line_46-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.18&CDS=1-1383
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_104-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.5&CDS=1-1383, augustus_masked-flattened_line_112-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.42&CDS=1-1386, augustus_masked-flattened_line_4-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.122&CDS=1-1386
8	OG0000008	YLR256W	augustus_masked-flattened_line_118-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.31&CDS=1-3579, augustus_masked-flattened_line_118-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.32&CDS=1-3699, augustus_masked-flattened_line_158-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.7&CDS=1-2532, genemark-flattened_line_118-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.55&CDS=1-3114, genemark-flattened_line_36-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.19&CDS=1-3501, maker-flattened_line_10-snap-gene-2.112-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.112&CDS=1-7395, snap_masked-flattened_line_76-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.63&CDS=1-3270
9	OG0000009	YMR253C, YPL264C	augustus_masked-flattened_line_110-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.49&CDS=1-1338, augustus_masked-flattened_line_126-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.11&CDS=1-1527, augustus_masked-flattened_line_158-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.8&CDS=1-1335, augustus_masked-flattened_line_96-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.64&CDS=1-2478, augustus_masked-flattened_line_98-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.51&CDS=1-1368, snap_masked-flattened_line_10-processed-gene-3.51-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.51&CDS=1-1350
