	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
0	OG0000000		augustus_masked-flattened_line_124-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.56&CDS=1-921, augustus_masked-flattened_line_132-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.47&CDS=1-2142, augustus_masked-flattened_line_140-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.17&CDS=1-1971, augustus_masked-flattened_line_146-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.5&CDS=1-1068, augustus_masked-flattened_line_154-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.5&CDS=1-1365, augustus_masked-flattened_line_18-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.63&CDS=1-1509, augustus_masked-flattened_line_205-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.2&CDS=1-921, augustus_masked-flattened_line_215-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_215-processed-gene-0.0&CDS=1-939, augustus_masked-flattened_line_221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_221-processed-gene-0.2&CDS=1-1377, augustus_masked-flattened_line_243-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_243-processed-gene-0.0&CDS=1-927, augustus_masked-flattened_line_257-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_257-processed-gene-0.2&CDS=1-1392, augustus_masked-flattened_line_28-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.113&CDS=1-1977, augustus_masked-flattened_line_50-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.148&CDS=1-4566, augustus_masked-flattened_line_503-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_503-processed-gene-0.2&CDS=1-1050, augustus_masked-flattened_line_803-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_803-processed-gene-0.2&CDS=1-459, augustus_masked-flattened_line_88-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.16&CDS=1-1218, genemark-flattened_line_130-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.28&CDS=1-4665, genemark-flattened_line_193-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_193-processed-gene-0.4&CDS=1-3876, genemark-flattened_line_231-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_231-processed-gene-0.1&CDS=1-2262, maker-flattened_line_124-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_124-augustus-gene-0.45&CDS=1-936, snap_masked-flattened_line_1231-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1231-processed-gene-0.1&CDS=1-264, snap_masked-flattened_line_165-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.7&CDS=1-1575, snap_masked-flattened_line_1673-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_1673-processed-gene-0.2&CDS=1-189, snap_masked-flattened_line_227-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_227-processed-gene-0.6&CDS=1-1134, snap_masked-flattened_line_291-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_291-processed-gene-0.1&CDS=1-1716, snap_masked-flattened_line_321-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_321-processed-gene-0.2&CDS=1-1539, snap_masked-flattened_line_361-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_361-processed-gene-0.1&CDS=1-1518, snap_masked-flattened_line_527-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_527-processed-gene-0.0&CDS=1-987, snap_masked-flattened_line_685-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_685-processed-gene-0.0&CDS=1-540
1	OG0000001	YCR098C	augustus_masked-flattened_line_1017-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1017-processed-gene-0.2&CDS=1-378, augustus_masked-flattened_line_1205-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1205-processed-gene-0.2&CDS=1-300, augustus_masked-flattened_line_1717-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1717-processed-gene-0.0&CDS=1-174, augustus_masked-flattened_line_1933-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1933-processed-gene-0.1&CDS=1-228, augustus_masked-flattened_line_2301-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2301-processed-gene-0.1&CDS=1-204, augustus_masked-flattened_line_345-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_345-processed-gene-0.4&CDS=1-297, augustus_masked-flattened_line_345-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_345-processed-gene-0.5&CDS=1-1050, augustus_masked-flattened_line_419-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_419-processed-gene-0.3&CDS=1-942, augustus_masked-flattened_line_457-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_457-processed-gene-0.1&CDS=1-969, augustus_masked-flattened_line_715-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_715-processed-gene-0.0&CDS=1-492, augustus_masked-flattened_line_80-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.38&CDS=1-1728, augustus_masked-flattened_line_905-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_905-processed-gene-0.2&CDS=1-408, genemark-flattened_line_124-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.36&CDS=1-720, maker-flattened_line_104-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_104-snap-gene-0.33&CDS=1-3348, snap_masked-flattened_line_467-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_467-processed-gene-0.0&CDS=1-900, snap_masked-flattened_line_537-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_537-processed-gene-0.1&CDS=1-816, snap_masked-flattened_line_693-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_693-processed-gene-0.1&CDS=1-555, snap_masked-flattened_line_887-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_887-processed-gene-0.1&CDS=1-375
2	OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YIL170W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-flattened_line_0-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.118&CDS=1-1719, augustus_masked-flattened_line_22-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.51&CDS=1-1743, augustus_masked-flattened_line_24-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.14&CDS=1-1698, snap_masked-flattened_line_44-processed-gene-0.168-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.168&CDS=1-1752
3	OG0000003	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
4	OG0000004	YBL068W, YER099C, YHL011C, YOL061W	augustus_masked-flattened_line_56-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.13&CDS=1-1128, augustus_masked-flattened_line_84-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.6&CDS=1-975, snap_masked-flattened_line_309-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_309-processed-gene-0.6&CDS=1-981, snap_masked-flattened_line_311-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_311-processed-gene-0.5&CDS=1-981
5	OG0000005	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_64-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.85&CDS=1-2181, snap_masked-flattened_line_124-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.16&CDS=1-2076
6	OG0000006	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_102-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.68&CDS=1-1305, snap_masked-flattened_line_102-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.69&CDS=1-1323, snap_masked-flattened_line_102-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.70&CDS=1-4938
7	OG0000007	YGL006W	augustus_masked-flattened_line_1221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1221-processed-gene-0.2&CDS=1-324, augustus_masked-flattened_line_1415-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1415-processed-gene-0.2&CDS=1-288, augustus_masked-flattened_line_495-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_495-processed-gene-0.2&CDS=1-1065, augustus_masked-flattened_line_563-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_563-processed-gene-0.2&CDS=1-831, augustus_masked-flattened_line_625-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_625-processed-gene-0.0&CDS=1-669, maker-flattened_line_235-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_235-snap-gene-0.6&CDS=1-1116
8	OG0000008	YKR039W	augustus_masked-flattened_line_106-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.65&CDS=1-1779, augustus_masked-flattened_line_161-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_161-processed-gene-0.14&CDS=1-1896, augustus_masked-flattened_line_28-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.133&CDS=1-1788, maker-flattened_line_161-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_161-snap-gene-0.22&CDS=1-3516, snap_masked-flattened_line_106-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.12&CDS=1-1788, snap_masked-flattened_line_22-processed-gene-0.214-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.214&CDS=1-1824
9	OG0000009	YPR013C, YPR015C	augustus_masked-flattened_line_0-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.143&CDS=1-1278, augustus_masked-flattened_line_102-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.45&CDS=1-1020, augustus_masked-flattened_line_64-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.90&CDS=1-1371, snap_masked-flattened_line_26-processed-gene-0.191-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.191&CDS=1-957, snap_masked-flattened_line_26-processed-gene-0.192-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.192&CDS=1-606
