	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035688_Cyberlindnera_xylosilytica
0	OG0000000		augustus_masked-flattened_line_48-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.23&CDS=1-2649, augustus_masked-flattened_line_48-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.73&CDS=1-2631, maker-flattened_line_48-snap-gene-0.202-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.202&CDS=1-2766, snap_masked-flattened_line_0-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.36&CDS=1-2739, snap_masked-flattened_line_154-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.33&CDS=1-2628, snap_masked-flattened_line_18-processed-gene-1.49-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.49&CDS=1-2514, snap_masked-flattened_line_2-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.105&CDS=1-2484, snap_masked-flattened_line_2-processed-gene-3.64-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.64&CDS=1-2484, snap_masked-flattened_line_34-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.9&CDS=1-1293, snap_masked-flattened_line_48-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.122&CDS=1-2619, snap_masked-flattened_line_48-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.139&CDS=1-3156, snap_masked-flattened_line_80-processed-gene-0.169-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.169&CDS=1-2826
1	OG0000001	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_26-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.62&CDS=1-1752, maker-flattened_line_186-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_186-snap-gene-0.0&CDS=1-5352, maker-flattened_line_56-snap-gene-0.173-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.173&CDS=1-3666, maker-flattened_line_82-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_82-snap-gene-0.65&CDS=1-3588, snap_masked-flattened_line_14-processed-gene-2.31-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.31&CDS=1-1704, snap_masked-flattened_line_5-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.38&CDS=1-1854, snap_masked-flattened_line_82-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.139&CDS=1-1758
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-flattened_line_8-processed-gene-2.132-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.132&CDS=1-1680, snap_masked-flattened_line_8-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.99&CDS=1-1680, snap_masked-flattened_line_84-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.144&CDS=1-1680
3	OG0000003	YBR015C, YPL165C	augustus_masked-flattened_line_12-processed-gene-2.238-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.238&CDS=1-2508, snap_masked-flattened_line_134-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.76&CDS=1-1626, snap_masked-flattened_line_14-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.74&CDS=1-1764, snap_masked-flattened_line_18-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.66&CDS=1-2151, snap_masked-flattened_line_22-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.26&CDS=1-1686, snap_masked-flattened_line_3-processed-gene-3.131-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.131&CDS=1-1740
4	OG0000004	YDR242W	snap_masked-flattened_line_154-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.28&CDS=1-1623, snap_masked-flattened_line_32-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.162&CDS=1-1635, snap_masked-flattened_line_48-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.114&CDS=1-1641, snap_masked-flattened_line_48-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.160&CDS=1-1638, snap_masked-flattened_line_48-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.162&CDS=1-1650, snap_masked-flattened_line_54-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.125&CDS=1-1641, snap_masked-flattened_line_70-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.71&CDS=1-1641
5	OG0000005	YGR263C	augustus_masked-flattened_line_14-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.76&CDS=1-993, augustus_masked-flattened_line_62-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.185&CDS=1-993, augustus_masked-flattened_line_86-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.33&CDS=1-1059, snap_masked-flattened_line_0-processed-gene-1.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.146&CDS=1-1206, snap_masked-flattened_line_0-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.147&CDS=1-1158, snap_masked-flattened_line_52-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.36&CDS=1-792, snap_masked-flattened_line_94-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.103&CDS=1-1074
6	OG0000006	YKL071W	augustus_masked-flattened_line_12-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.114&CDS=1-711, augustus_masked-flattened_line_14-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.135&CDS=1-369, augustus_masked-flattened_line_174-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.17&CDS=1-582, augustus_masked-flattened_line_174-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_174-processed-gene-0.18&CDS=1-582, augustus_masked-flattened_line_40-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.1&CDS=1-369, snap_masked-flattened_line_54-processed-gene-0.145-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.145&CDS=1-762, snap_masked-flattened_line_54-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.97&CDS=1-756
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	maker-flattened_line_3-snap-gene-2.135-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-2.135&CDS=1-4410, snap_masked-flattened_line_3-processed-gene-2.15-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.15&CDS=1-2094, snap_masked-flattened_line_64-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.118&CDS=1-2037
8	OG0000008	YOR320C	maker-flattened_line_7-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-0.86&CDS=1-2283, maker-flattened_line_7-snap-gene-2.218-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-2.218&CDS=1-3180, snap_masked-flattened_line_7-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.21&CDS=1-1626, snap_masked-flattened_line_7-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.22&CDS=1-1833, snap_masked-flattened_line_7-processed-gene-2.184-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.184&CDS=1-1833, snap_masked-flattened_line_7-processed-gene-2.185-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.185&CDS=1-1626, snap_masked-flattened_line_84-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.119&CDS=1-1611
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_22-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.22&CDS=1-1350, snap_masked-flattened_line_40-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.5&CDS=1-1386
