	OrthologID	Saccharomyces_cerevisiae	Yarrowia_lipolytica
0	OG0000000	YPR194C	augustus_masked-YALI0F-processed-gene-37.62-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-37.62&CDS=1-2292, genemark-YALI0A-processed-gene-0.54-mRNA-1_1&gene=genemark-YALI0A-processed-gene-0.54&CDS=1-2616, genemark-YALI0A-processed-gene-4.84-mRNA-1_1&gene=genemark-YALI0A-processed-gene-4.84&CDS=1-2709, genemark-YALI0B-processed-gene-3.37-mRNA-1_1&gene=genemark-YALI0B-processed-gene-3.37&CDS=1-2646, genemark-YALI0B-processed-gene-3.45-mRNA-1_1&gene=genemark-YALI0B-processed-gene-3.45&CDS=1-2412, genemark-YALI0B-processed-gene-6.7-mRNA-1_1&gene=genemark-YALI0B-processed-gene-6.7&CDS=1-2658, genemark-YALI0C-processed-gene-15.80-mRNA-1_1&gene=genemark-YALI0C-processed-gene-15.80&CDS=1-2652, genemark-YALI0C-processed-gene-28.30-mRNA-1_1&gene=genemark-YALI0C-processed-gene-28.30&CDS=1-2646, genemark-YALI0E-processed-gene-20.18-mRNA-1_1&gene=genemark-YALI0E-processed-gene-20.18&CDS=1-2649, genemark-YALI0E-processed-gene-23.39-mRNA-1_1&gene=genemark-YALI0E-processed-gene-23.39&CDS=1-2628, genemark-YALI0F-processed-gene-13.58-mRNA-1_1&gene=genemark-YALI0F-processed-gene-13.58&CDS=1-2637, genemark-YALI0F-processed-gene-14.1-mRNA-1_1&gene=genemark-YALI0F-processed-gene-14.1&CDS=1-2781, genemark-YALI0F-processed-gene-18.65-mRNA-1_1&gene=genemark-YALI0F-processed-gene-18.65&CDS=1-2622, genemark-YALI0F-processed-gene-25.45-mRNA-1_1&gene=genemark-YALI0F-processed-gene-25.45&CDS=1-2769, maker-YALI0B-snap-gene-10.85-mRNA-1_1&gene=maker-YALI0B-snap-gene-10.85&CDS=1-3075, snap_masked-YALI0C-processed-gene-25.93-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-25.93&CDS=1-2787
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	genemark-YALI0F-processed-gene-25.51-mRNA-1_1&gene=genemark-YALI0F-processed-gene-25.51&CDS=1-1599
2	OG0000002	YJR107W	augustus_masked-YALI0A-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-10.34&CDS=1-1194, augustus_masked-YALI0B-processed-gene-16.35-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-16.35&CDS=1-1047, augustus_masked-YALI0D-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-11.77&CDS=1-1008, augustus_masked-YALI0D-processed-gene-24.8-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-24.8&CDS=1-1098, genemark-YALI0A-processed-gene-21.59-mRNA-1_1&gene=genemark-YALI0A-processed-gene-21.59&CDS=1-1002, snap_masked-YALI0D-processed-gene-19.16-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-19.16&CDS=1-972, snap_masked-YALI0D-processed-gene-23.63-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-23.63&CDS=1-1119, snap_masked-YALI0E-processed-gene-10.6-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-10.6&CDS=1-1218, snap_masked-YALI0E-processed-gene-14.100-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-14.100&CDS=1-975, snap_masked-YALI0E-processed-gene-3.82-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-3.82&CDS=1-1110, snap_masked-YALI0E-processed-gene-41.78-mRNA-1_1&gene=snap_masked-YALI0E-processed-gene-41.78&CDS=1-1146, snap_masked-YALI0F-processed-gene-15.22-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-15.22&CDS=1-870, snap_masked-YALI0F-processed-gene-39.102-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-39.102&CDS=1-1128
3	OG0000003		augustus_masked-YALI0A-processed-gene-17.46-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-17.46&CDS=1-1971, augustus_masked-YALI0C-processed-gene-19.55-mRNA-1_1&gene=augustus_masked-YALI0C-processed-gene-19.55&CDS=1-1293, augustus_masked-YALI0D-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-7.45&CDS=1-1914, augustus_masked-YALI0F-processed-gene-35.59-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-35.59&CDS=1-1869, genemark-YALI0A-processed-gene-15.37-mRNA-1_1&gene=genemark-YALI0A-processed-gene-15.37&CDS=1-1923, genemark-YALI0B-processed-gene-25.45-mRNA-1_1&gene=genemark-YALI0B-processed-gene-25.45&CDS=1-1878, genemark-YALI0D-processed-gene-19.49-mRNA-1_1&gene=genemark-YALI0D-processed-gene-19.49&CDS=1-1671, genemark-YALI0F-processed-gene-25.48-mRNA-1_1&gene=genemark-YALI0F-processed-gene-25.48&CDS=1-1944, genemark-YALI0F-processed-gene-27.73-mRNA-1_1&gene=genemark-YALI0F-processed-gene-27.73&CDS=1-1833, snap_masked-YALI0A-processed-gene-11.3-mRNA-1_1&gene=snap_masked-YALI0A-processed-gene-11.3&CDS=1-1908, snap_masked-YALI0C-processed-gene-23.3-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-23.3&CDS=1-1854, snap_masked-YALI0C-processed-gene-3.55-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-3.55&CDS=1-1773, snap_masked-YALI0C-processed-gene-8.48-mRNA-1_1&gene=snap_masked-YALI0C-processed-gene-8.48&CDS=1-1887, snap_masked-YALI0D-processed-gene-25.30-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-25.30&CDS=1-1914
4	OG0000004	YGR260W	genemark-YALI0C-processed-gene-11.24-mRNA-1_1&gene=genemark-YALI0C-processed-gene-11.24&CDS=1-1518, genemark-YALI0C-processed-gene-3.31-mRNA-1_1&gene=genemark-YALI0C-processed-gene-3.31&CDS=1-1626, genemark-YALI0D-processed-gene-12.72-mRNA-1_1&gene=genemark-YALI0D-processed-gene-12.72&CDS=1-1512, genemark-YALI0D-processed-gene-15.37-mRNA-1_1&gene=genemark-YALI0D-processed-gene-15.37&CDS=1-1506, genemark-YALI0E-processed-gene-24.87-mRNA-1_1&gene=genemark-YALI0E-processed-gene-24.87&CDS=1-1503, genemark-YALI0E-processed-gene-24.97-mRNA-1_1&gene=genemark-YALI0E-processed-gene-24.97&CDS=1-1548, genemark-YALI0E-processed-gene-32.68-mRNA-1_1&gene=genemark-YALI0E-processed-gene-32.68&CDS=1-1527, genemark-YALI0F-processed-gene-26.81-mRNA-1_1&gene=genemark-YALI0F-processed-gene-26.81&CDS=1-1449, genemark-YALI0F-processed-gene-28.81-mRNA-1_1&gene=genemark-YALI0F-processed-gene-28.81&CDS=1-1536, genemark-YALI0F-processed-gene-35.103-mRNA-1_1&gene=genemark-YALI0F-processed-gene-35.103&CDS=1-1536, genemark-YALI0F-processed-gene-36.76-mRNA-1_1&gene=genemark-YALI0F-processed-gene-36.76&CDS=1-1515, genemark-YALI0F-processed-gene-9.37-mRNA-1_1&gene=genemark-YALI0F-processed-gene-9.37&CDS=1-1521
5	OG0000005	YDR404C, YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-YALI0D-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-11.70&CDS=1-999, augustus_masked-YALI0D-processed-gene-14.77-mRNA-1_1&gene=augustus_masked-YALI0D-processed-gene-14.77&CDS=1-1575, genemark-YALI0B-processed-gene-10.50-mRNA-1_1&gene=genemark-YALI0B-processed-gene-10.50&CDS=1-1038, genemark-YALI0C-processed-gene-27.25-mRNA-1_1&gene=genemark-YALI0C-processed-gene-27.25&CDS=1-1014, genemark-YALI0D-processed-gene-15.42-mRNA-1_1&gene=genemark-YALI0D-processed-gene-15.42&CDS=1-1056, genemark-YALI0D-processed-gene-9.15-mRNA-1_1&gene=genemark-YALI0D-processed-gene-9.15&CDS=1-1032, genemark-YALI0F-processed-gene-32.76-mRNA-1_1&gene=genemark-YALI0F-processed-gene-32.76&CDS=1-1011
6	OG0000006	YOR388C	genemark-YALI0A-processed-gene-12.56-mRNA-1_1&gene=genemark-YALI0A-processed-gene-12.56&CDS=1-1104, genemark-YALI0B-processed-gene-26.17-mRNA-1_1&gene=genemark-YALI0B-processed-gene-26.17&CDS=1-1113, genemark-YALI0B-processed-gene-29.101-mRNA-1_1&gene=genemark-YALI0B-processed-gene-29.101&CDS=1-1098, genemark-YALI0C-processed-gene-10.49-mRNA-1_1&gene=genemark-YALI0C-processed-gene-10.49&CDS=1-1104, genemark-YALI0C-processed-gene-19.81-mRNA-1_1&gene=genemark-YALI0C-processed-gene-19.81&CDS=1-1104, genemark-YALI0E-processed-gene-17.62-mRNA-1_1&gene=genemark-YALI0E-processed-gene-17.62&CDS=1-1104, genemark-YALI0E-processed-gene-19.40-mRNA-1_1&gene=genemark-YALI0E-processed-gene-19.40&CDS=1-1104, genemark-YALI0F-processed-gene-18.74-mRNA-1_1&gene=genemark-YALI0F-processed-gene-18.74&CDS=1-1104, genemark-YALI0F-processed-gene-21.83-mRNA-1_1&gene=genemark-YALI0F-processed-gene-21.83&CDS=1-1095, genemark-YALI0F-processed-gene-36.84-mRNA-1_1&gene=genemark-YALI0F-processed-gene-36.84&CDS=1-1095, snap_masked-YALI0F-processed-gene-37.71-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-37.71&CDS=1-975
7	OG0000007	YDR402C	genemark-YALI0B-processed-gene-2.16-mRNA-1_1&gene=genemark-YALI0B-processed-gene-2.16&CDS=1-1578, genemark-YALI0B-processed-gene-27.31-mRNA-1_1&gene=genemark-YALI0B-processed-gene-27.31&CDS=1-1539, genemark-YALI0B-processed-gene-8.57-mRNA-1_1&gene=genemark-YALI0B-processed-gene-8.57&CDS=1-1536, genemark-YALI0C-processed-gene-14.2-mRNA-1_1&gene=genemark-YALI0C-processed-gene-14.2&CDS=1-1563, genemark-YALI0C-processed-gene-16.54-mRNA-1_1&gene=genemark-YALI0C-processed-gene-16.54&CDS=1-1749, genemark-YALI0E-processed-gene-27.94-mRNA-1_1&gene=genemark-YALI0E-processed-gene-27.94&CDS=1-1539, genemark-YALI0E-processed-gene-30.70-mRNA-1_1&gene=genemark-YALI0E-processed-gene-30.70&CDS=1-1569, genemark-YALI0F-processed-gene-2.12-mRNA-1_1&gene=genemark-YALI0F-processed-gene-2.12&CDS=1-1569, maker-YALI0B-snap-gene-18.72-mRNA-1_1&gene=maker-YALI0B-snap-gene-18.72&CDS=1-3150, snap_masked-YALI0A-processed-gene-16.14-mRNA-1_1&gene=snap_masked-YALI0A-processed-gene-16.14&CDS=1-1632
8	OG0000008	YMR234W	augustus_masked-YALI0A-processed-gene-15.20-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-15.20&CDS=1-813, augustus_masked-YALI0A-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-YALI0A-processed-gene-16.63&CDS=1-429, augustus_masked-YALI0F-processed-gene-34.94-mRNA-1_1&gene=augustus_masked-YALI0F-processed-gene-34.94&CDS=1-615, genemark-YALI0A-processed-gene-13.69-mRNA-1_1&gene=genemark-YALI0A-processed-gene-13.69&CDS=1-828, genemark-YALI0A-processed-gene-13.82-mRNA-1_1&gene=genemark-YALI0A-processed-gene-13.82&CDS=1-708, genemark-YALI0A-processed-gene-6.20-mRNA-1_1&gene=genemark-YALI0A-processed-gene-6.20&CDS=1-1107, genemark-YALI0E-processed-gene-13.21-mRNA-1_1&gene=genemark-YALI0E-processed-gene-13.21&CDS=1-1422, maker-YALI0A-snap-gene-16.10-mRNA-1_1&gene=maker-YALI0A-snap-gene-16.10&CDS=1-552, maker-YALI0A-snap-gene-5.0-mRNA-1_1&gene=maker-YALI0A-snap-gene-5.0&CDS=1-753
9	OG0000009		augustus_masked-YALI0B-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-YALI0B-processed-gene-14.51&CDS=1-2115, genemark-YALI0B-processed-gene-17.43-mRNA-1_1&gene=genemark-YALI0B-processed-gene-17.43&CDS=1-2157, genemark-YALI0B-processed-gene-17.44-mRNA-1_1&gene=genemark-YALI0B-processed-gene-17.44&CDS=1-2157, genemark-YALI0B-processed-gene-17.45-mRNA-1_1&gene=genemark-YALI0B-processed-gene-17.45&CDS=1-2109, genemark-YALI0B-processed-gene-17.46-mRNA-1_1&gene=genemark-YALI0B-processed-gene-17.46&CDS=1-2064, genemark-YALI0E-processed-gene-41.27-mRNA-1_1&gene=genemark-YALI0E-processed-gene-41.27&CDS=1-2097, genemark-YALI0E-processed-gene-9.22-mRNA-1_1&gene=genemark-YALI0E-processed-gene-9.22&CDS=1-2100, snap_masked-YALI0D-processed-gene-34.96-mRNA-1_1&gene=snap_masked-YALI0D-processed-gene-34.96&CDS=1-2073, snap_masked-YALI0F-processed-gene-10.12-mRNA-1_1&gene=snap_masked-YALI0F-processed-gene-10.12&CDS=1-2367
