	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034681_Blastobotrys_americana
0	OG0000000	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_10-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.96&CDS=1-1167, augustus_masked-flattened_line_2-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.28&CDS=1-1887, augustus_masked-flattened_line_26-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.29&CDS=1-1152, genemark-flattened_line_10-processed-gene-3.125-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.125&CDS=1-1029, snap_masked-flattened_line_107-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.3&CDS=1-1665, snap_masked-flattened_line_12-processed-gene-1.10-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.10&CDS=1-1227, snap_masked-flattened_line_16-processed-gene-2.97-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.97&CDS=1-1473, snap_masked-flattened_line_18-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.89&CDS=1-1647, snap_masked-flattened_line_2-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.52&CDS=1-1263, snap_masked-flattened_line_22-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.114&CDS=1-1251, snap_masked-flattened_line_26-processed-gene-1.141-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.141&CDS=1-1275, snap_masked-flattened_line_32-processed-gene-1.34-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.34&CDS=1-1176, snap_masked-flattened_line_6-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.35&CDS=1-1659, snap_masked-flattened_line_78-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.126&CDS=1-1218, snap_masked-flattened_line_78-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.151&CDS=1-1230
1	OG0000001	YBR298C, YGR289C, YJR160C	snap_masked-flattened_line_10-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.28&CDS=1-1560, snap_masked-flattened_line_102-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.48&CDS=1-1584, snap_masked-flattened_line_104-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.30&CDS=1-1704, snap_masked-flattened_line_117-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.19&CDS=1-1650, snap_masked-flattened_line_117-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.21&CDS=1-1569, snap_masked-flattened_line_4-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.1&CDS=1-1623, snap_masked-flattened_line_64-processed-gene-0.178-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.178&CDS=1-1656, snap_masked-flattened_line_68-processed-gene-0.177-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.177&CDS=1-1731, snap_masked-flattened_line_68-processed-gene-0.209-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.209&CDS=1-1572, snap_masked-flattened_line_70-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.41&CDS=1-1596
2	OG0000002	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	genemark-flattened_line_14-processed-gene-2.159-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.159&CDS=1-3987, snap_masked-flattened_line_100-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.33&CDS=1-2472, snap_masked-flattened_line_107-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.7&CDS=1-3198, snap_masked-flattened_line_12-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.41&CDS=1-3537, snap_masked-flattened_line_16-processed-gene-2.111-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.111&CDS=1-2211
3	OG0000003	YJL212C, YPR194C	snap_masked-flattened_line_100-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.53&CDS=1-2400, snap_masked-flattened_line_115-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.10&CDS=1-2616, snap_masked-flattened_line_18-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.43&CDS=1-2484, snap_masked-flattened_line_22-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.89&CDS=1-2748, snap_masked-flattened_line_36-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.136&CDS=1-2706, snap_masked-flattened_line_4-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.5&CDS=1-2625, snap_masked-flattened_line_48-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.140&CDS=1-2664, snap_masked-flattened_line_88-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.54&CDS=1-2577
4	OG0000004	YBR199W, YJL139C, YKR061W, YOR099W	snap_masked-flattened_line_14-processed-gene-1.39-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.39&CDS=1-1113, snap_masked-flattened_line_24-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.85&CDS=1-1281, snap_masked-flattened_line_24-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.9&CDS=1-1374, snap_masked-flattened_line_50-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.129&CDS=1-1188, snap_masked-flattened_line_8-processed-gene-2.40-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.40&CDS=1-1113
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-flattened_line_4-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.27&CDS=1-1752, snap_masked-flattened_line_6-processed-gene-3.59-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.59&CDS=1-1743
6	OG0000006	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	snap_masked-flattened_line_115-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.15&CDS=1-1704, snap_masked-flattened_line_56-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.22&CDS=1-1854
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	maker-flattened_line_18-snap-gene-2.1-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.1&CDS=1-2076, snap_masked-flattened_line_30-processed-gene-1.63-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.63&CDS=1-1041, snap_masked-flattened_line_30-processed-gene-1.64-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.64&CDS=1-1032, snap_masked-flattened_line_30-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.65&CDS=1-1044
8	OG0000008	YER073W, YMR169C, YMR170C, YOR374W	snap_masked-flattened_line_104-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.39&CDS=1-1536, snap_masked-flattened_line_34-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.118&CDS=1-1488, snap_masked-flattened_line_42-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.116&CDS=1-1479, snap_masked-flattened_line_60-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.30&CDS=1-1494
9	OG0000009	YKR064W	augustus_masked-flattened_line_102-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.24&CDS=1-1839, augustus_masked-flattened_line_22-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.24&CDS=1-1977, augustus_masked-flattened_line_38-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.162&CDS=1-2445, augustus_masked-flattened_line_68-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.46&CDS=1-2112, genemark-flattened_line_16-processed-gene-2.47-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.47&CDS=1-2382, snap_masked-flattened_line_109-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.40&CDS=1-2730, snap_masked-flattened_line_88-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.53&CDS=1-2352
