	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035672_Phaffomyces_thermotolerans
0	OG0000000	YBR240C, YDR207C	augustus_masked-flattened_line_0-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.33&CDS=1-828, augustus_masked-flattened_line_0-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.35&CDS=1-852, augustus_masked-flattened_line_2-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.48&CDS=1-1353, augustus_masked-flattened_line_26-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.26&CDS=1-498, augustus_masked-flattened_line_6-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.73&CDS=1-1932, augustus_masked-flattened_line_70-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.81&CDS=1-1893, genemark-flattened_line_34-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.70&CDS=1-2340, genemark-flattened_line_50-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.49&CDS=1-1374, snap_masked-flattened_line_2-processed-gene-4.222-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.222&CDS=1-420, snap_masked-flattened_line_44-processed-gene-0.150-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.150&CDS=1-1620
1	OG0000001	YKL055C, YMR226C	augustus_masked-flattened_line_0-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.10&CDS=1-813, augustus_masked-flattened_line_10-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.68&CDS=1-825, augustus_masked-flattened_line_103-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_103-processed-gene-0.58&CDS=1-753, augustus_masked-flattened_line_14-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.63&CDS=1-804, augustus_masked-flattened_line_283-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_283-processed-gene-0.0&CDS=1-735, augustus_masked-flattened_line_48-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.107&CDS=1-807, augustus_masked-flattened_line_6-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.5&CDS=1-762, genemark-flattened_line_50-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.45&CDS=1-825
2	OG0000002	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
3	OG0000003	YDR011W, YNR070W, YOR153W	augustus_masked-flattened_line_10-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.75&CDS=1-4497, augustus_masked-flattened_line_16-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.130&CDS=1-3570, augustus_masked-flattened_line_190-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.3&CDS=1-3606, augustus_masked-flattened_line_198-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_198-processed-gene-0.5&CDS=1-2610, augustus_masked-flattened_line_38-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.120&CDS=1-2682, augustus_masked-flattened_line_4-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.90&CDS=1-4485
4	OG0000004	YAL051W, YOR363C	augustus_masked-flattened_line_26-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.139&CDS=1-2766, augustus_masked-flattened_line_4-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.123&CDS=1-2931, augustus_masked-flattened_line_4-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.145&CDS=1-2724, augustus_masked-flattened_line_6-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.53&CDS=1-2667, genemark-flattened_line_4-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.39&CDS=1-3072, snap_masked-flattened_line_36-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.116&CDS=1-1821
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_0-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.7&CDS=1-2175, augustus_masked-flattened_line_10-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.107&CDS=1-2667, augustus_masked-flattened_line_79-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.77&CDS=1-2526, augustus_masked-flattened_line_8-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.142&CDS=1-3894
6	OG0000006	YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_129-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_129-processed-gene-0.7&CDS=1-2178, augustus_masked-flattened_line_46-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.20&CDS=1-2235, snap_masked-flattened_line_2-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.88&CDS=1-2106, snap_masked-flattened_line_56-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.39&CDS=1-2205, snap_masked-flattened_line_6-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.106&CDS=1-2154
7	OG0000007	YAR019C, YDR523C, YHR102W	augustus_masked-flattened_line_123-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.23&CDS=1-1458, augustus_masked-flattened_line_22-processed-gene-1.230-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.230&CDS=1-3054, augustus_masked-flattened_line_4-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.47&CDS=1-1437, augustus_masked-flattened_line_8-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.121&CDS=1-2592
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_18-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.78&CDS=1-1080, augustus_masked-flattened_line_38-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.98&CDS=1-2619, snap_masked-flattened_line_44-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.128&CDS=1-747
9	OG0000009	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-flattened_line_38-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.131&CDS=1-3585, augustus_masked-flattened_line_58-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.85&CDS=1-1731, augustus_masked-flattened_line_8-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.96&CDS=1-3471
10	OG0000010	YDL138W, YDL194W, YDR536W	augustus_masked-flattened_line_0-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.125&CDS=1-2268, augustus_masked-flattened_line_152-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.11&CDS=1-1587, augustus_masked-flattened_line_34-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.147&CDS=1-1824, augustus_masked-flattened_line_78-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.22&CDS=1-1626
11	OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_0-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.38&CDS=1-1041, augustus_masked-flattened_line_40-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.31&CDS=1-1038, augustus_masked-flattened_line_85-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_85-processed-gene-0.59&CDS=1-1038
12	OG0000012	YER055C, YOL119C, YOR306C	augustus_masked-flattened_line_131-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.12&CDS=1-1512, genemark-flattened_line_0-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.137&CDS=1-1428, genemark-flattened_line_0-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.138&CDS=1-3357, snap_masked-flattened_line_30-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.109&CDS=1-1497
13	OG0000013	YGR191W, YKR039W	augustus_masked-flattened_line_0-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.125&CDS=1-1803, augustus_masked-flattened_line_0-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.116&CDS=1-1779, augustus_masked-flattened_line_117-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.24&CDS=1-1761, snap_masked-flattened_line_0-processed-gene-5.69-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.69&CDS=1-1752, snap_masked-flattened_line_44-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.101&CDS=1-1761
14	OG0000014	YMR083W, YMR303C, YOL086C	augustus_masked-flattened_line_0-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.10&CDS=1-1050, augustus_masked-flattened_line_0-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.11&CDS=1-1113, augustus_masked-flattened_line_6-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.17&CDS=1-1104, maker-flattened_line_44-augustus-gene-0.173-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.173&CDS=1-1803
15	OG0000015	YOL152W	augustus_masked-flattened_line_277-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_277-processed-gene-0.1&CDS=1-546, augustus_masked-flattened_line_30-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.68&CDS=1-1881, augustus_masked-flattened_line_58-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.90&CDS=1-600, augustus_masked-flattened_line_6-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.67&CDS=1-1821, augustus_masked-flattened_line_8-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.112&CDS=1-1104, snap_masked-flattened_line_271-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_271-processed-gene-0.2&CDS=1-693
16	OG0000016	Q0045, Q0065, Q0070	maker-flattened_line_140-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_140-snap-gene-0.1&CDS=1-564, maker-flattened_line_146-snap-gene-0.12-mRNA-1_1&gene=maker-flattened_line_146-snap-gene-0.12&CDS=1-210, maker-flattened_line_196-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_196-snap-gene-0.10&CDS=1-270, maker-flattened_line_200-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_200-snap-gene-0.6&CDS=1-264
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_46-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.15&CDS=1-1347
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_16-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.84&CDS=1-4569, maker-flattened_line_32-augustus-gene-1.64-mRNA-1_1&gene=maker-flattened_line_32-augustus-gene-1.64&CDS=1-4758
