	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035242_Zygoascus_ofunaensis
0	OG0000000	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.39&CDS=1-1644, genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.75&CDS=1-1707, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.121-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.121&CDS=1-1689, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.122-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.122&CDS=1-1644, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.123-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.123&CDS=1-1656, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-8.68-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-8.68&CDS=1-1656, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-13.80-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-13.80&CDS=1-1752, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.125-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.125&CDS=1-1662, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.65-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.65&CDS=1-1698, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.205-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.205&CDS=1-1689, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.50-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.50&CDS=1-1716, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.17&CDS=1-1698, genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.152-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.152&CDS=1-1659, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.0-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.0&CDS=1-1680, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.23&CDS=1-1620, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-3.135-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-3.135&CDS=1-1722
1	OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YOL156W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.2-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.2&CDS=1-1725
2	OG0000002	YPR194C	augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.42&CDS=1-2631, augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.43&CDS=1-2625, genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.80&CDS=1-2643, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.154-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.154&CDS=1-2568, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.119-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.119&CDS=1-2538, genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-0.54&CDS=1-2571, genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-0.61&CDS=1-2613, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.0&CDS=1-2631, maker-NODE_7_length_719086_cov_18.6268_ID_7498-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_7_length_719086_cov_18.6268_ID_7498-snap-gene-0.34&CDS=1-5268, maker-NODE_8_length_713415_cov_14.5623_ID_3973-snap-gene-6.165-mRNA-1_1&gene=maker-NODE_8_length_713415_cov_14.5623_ID_3973-snap-gene-6.165&CDS=1-5232
3	OG0000003	YBR199W, YJL139C, YKR061W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.68-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.68&CDS=1-1350, genemark-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.74&CDS=1-1254, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.104-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.104&CDS=1-1350, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.123-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.123&CDS=1-1302, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-5.59&CDS=1-1173
4	OG0000004	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.13&CDS=1-2268, maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-11.6-mRNA-1_1&gene=maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-11.6&CDS=1-4245, maker-NODE_6_length_944837_cov_16.9478_ID_3814-snap-gene-0.119-mRNA-1_1&gene=maker-NODE_6_length_944837_cov_16.9478_ID_3814-snap-gene-0.119&CDS=1-2175
5	OG0000005		augustus_masked-NODE_110_length_1128_cov_19.856_ID_9160-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_110_length_1128_cov_19.856_ID_9160-processed-gene-0.1&CDS=1-1086, augustus_masked-NODE_23_length_48318_cov_17.2413_ID_15847-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_23_length_48318_cov_17.2413_ID_15847-processed-gene-0.9&CDS=1-1533, augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.134-mRNA-1_1&gene=augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.134&CDS=1-1662, augustus_masked-NODE_49_length_6877_cov_22.4913_ID_8704-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_49_length_6877_cov_22.4913_ID_8704-processed-gene-0.4&CDS=1-1311, augustus_masked-NODE_52_length_6296_cov_21.8141_ID_7330-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_52_length_6296_cov_21.8141_ID_7330-processed-gene-0.2&CDS=1-2064, augustus_masked-NODE_87_length_2169_cov_19.6235_ID_8906-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_87_length_2169_cov_19.6235_ID_8906-processed-gene-0.0&CDS=1-1857, snap_masked-NODE_137_length_758_cov_17.0926_ID_16679-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_137_length_758_cov_17.0926_ID_16679-processed-gene-0.0&CDS=1-696, snap_masked-NODE_77_length_2721_cov_24.5538_ID_9495-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_77_length_2721_cov_24.5538_ID_9495-processed-gene-0.0&CDS=1-1575
6	OG0000006	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-6.137-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-6.137&CDS=1-1821
7	OG0000007	YDR144C, YLR120C, YLR121C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-7.43-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-7.43&CDS=1-1644, snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.10&CDS=1-1725, snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.8&CDS=1-1710, snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_20_length_68771_cov_17.2661_ID_4650-processed-gene-0.9&CDS=1-1848
8	OG0000008	YIL130W, YKR064W, YPL248C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.71-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.71&CDS=1-2529, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.131-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.131&CDS=1-3387, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.5-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-1.5&CDS=1-3057, snap_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.124&CDS=1-2217
9	OG0000009	YKL071W	augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.148&CDS=1-744, augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.149-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.149&CDS=1-744, genemark-NODE_18_length_75484_cov_8.88671_ID_4939-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_18_length_75484_cov_8.88671_ID_4939-processed-gene-0.38&CDS=1-750, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.114-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.114&CDS=1-750, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.59-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.59&CDS=1-750, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.5-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.5&CDS=1-750
