	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034674_Blastobotrys_muscicola
0	OG0000000	YDR402C	augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.88&CDS=1-1509, augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.89&CDS=1-1410, augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.90&CDS=1-1515, augustus_masked-NODE_163_length_3649_cov_20.8699_ID_325-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_163_length_3649_cov_20.8699_ID_325-processed-gene-0.0&CDS=1-744, augustus_masked-NODE_20_length_198564_cov_15.2701_ID_39-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_20_length_198564_cov_15.2701_ID_39-processed-gene-0.77&CDS=1-1743, genemark-NODE_278_length_1145_cov_26.8243_ID_555-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_278_length_1145_cov_26.8243_ID_555-processed-gene-0.0&CDS=1-594, genemark-NODE_295_length_1067_cov_70.6603_ID_589-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_295_length_1067_cov_70.6603_ID_589-processed-gene-0.0&CDS=1-999, maker-NODE_32_length_135173_cov_15.2211_ID_63-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_32_length_135173_cov_15.2211_ID_63-augustus-gene-0.2&CDS=1-2985, snap_masked-NODE_136_length_5550_cov_18.7746_ID_271-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_136_length_5550_cov_18.7746_ID_271-processed-gene-0.5&CDS=1-1467, snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.4&CDS=1-1494, snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-8.181-mRNA-1_1&gene=snap_masked-NODE_1_length_1078761_cov_15.277_ID_1-processed-gene-8.181&CDS=1-1416, snap_masked-NODE_26_length_158356_cov_15.4035_ID_51-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_26_length_158356_cov_15.4035_ID_51-processed-gene-0.90&CDS=1-1530, snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_29_length_144691_cov_15.6014_ID_57-processed-gene-0.103&CDS=1-1515, snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.10-mRNA-1_1&gene=snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.10&CDS=1-1515, snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.35&CDS=1-1299, snap_masked-NODE_38_length_101060_cov_14.8486_ID_75-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_38_length_101060_cov_14.8486_ID_75-processed-gene-0.34&CDS=1-1527, snap_masked-NODE_40_length_93189_cov_15.7443_ID_79-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_40_length_93189_cov_15.7443_ID_79-processed-gene-0.73&CDS=1-1518, snap_masked-NODE_53_length_68195_cov_14.8814_ID_105-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_53_length_68195_cov_14.8814_ID_105-processed-gene-0.53&CDS=1-1512, snap_masked-NODE_56_length_61994_cov_16.0011_ID_111-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_56_length_61994_cov_16.0011_ID_111-processed-gene-0.14&CDS=1-1518, snap_masked-NODE_59_length_57895_cov_16.3422_ID_117-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_59_length_57895_cov_16.3422_ID_117-processed-gene-0.50&CDS=1-1365, snap_masked-NODE_65_length_43744_cov_16.7587_ID_129-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_65_length_43744_cov_16.7587_ID_129-processed-gene-0.26&CDS=1-1494, snap_masked-NODE_9_length_368196_cov_16.5471_ID_17-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_9_length_368196_cov_16.5471_ID_17-processed-gene-0.55&CDS=1-1521
1	OG0000001	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	snap_masked-NODE_69_length_42083_cov_16.1551_ID_137-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_69_length_42083_cov_16.1551_ID_137-processed-gene-0.42&CDS=1-1569
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.110&CDS=1-1062, snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-1.94&CDS=1-1032, snap_masked-NODE_15_length_235751_cov_16.5796_ID_29-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NODE_15_length_235751_cov_16.5796_ID_29-processed-gene-1.7&CDS=1-1491, snap_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_17_length_218754_cov_15.6617_ID_33-processed-gene-1.159&CDS=1-1014, snap_masked-NODE_18_length_208586_cov_16.3774_ID_35-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_18_length_208586_cov_16.3774_ID_35-processed-gene-0.79&CDS=1-1014, snap_masked-NODE_32_length_135173_cov_15.2211_ID_63-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_32_length_135173_cov_15.2211_ID_63-processed-gene-0.156&CDS=1-1011, snap_masked-NODE_3_length_706382_cov_15.6755_ID_5-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_3_length_706382_cov_15.6755_ID_5-processed-gene-3.67&CDS=1-1044, snap_masked-NODE_63_length_50209_cov_16.2029_ID_125-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_63_length_50209_cov_16.2029_ID_125-processed-gene-0.34&CDS=1-1005, snap_masked-NODE_72_length_38856_cov_15.3333_ID_143-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_72_length_38856_cov_15.3333_ID_143-processed-gene-0.60&CDS=1-1023
3	OG0000003		augustus_masked-NODE_34_length_122180_cov_14.3779_ID_67-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_34_length_122180_cov_14.3779_ID_67-processed-gene-0.91&CDS=1-1869, augustus_masked-NODE_6_length_451030_cov_15.2139_ID_11-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_6_length_451030_cov_15.2139_ID_11-processed-gene-0.77&CDS=1-1860, augustus_masked-NODE_90_length_21370_cov_16.2478_ID_179-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_90_length_21370_cov_16.2478_ID_179-processed-gene-0.4&CDS=1-1908, snap_masked-NODE_124_length_7135_cov_14.3283_ID_247-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_124_length_7135_cov_14.3283_ID_247-processed-gene-0.6&CDS=1-1671, snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.151-mRNA-1_1&gene=snap_masked-NODE_21_length_197463_cov_14.7275_ID_41-processed-gene-0.151&CDS=1-1941, snap_masked-NODE_26_length_158356_cov_15.4035_ID_51-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_26_length_158356_cov_15.4035_ID_51-processed-gene-0.86&CDS=1-1911, snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.51-mRNA-1_1&gene=snap_masked-NODE_2_length_952479_cov_15.5251_ID_3-processed-gene-8.51&CDS=1-1962, snap_masked-NODE_37_length_108081_cov_14.7318_ID_73-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_37_length_108081_cov_14.7318_ID_73-processed-gene-0.66&CDS=1-2019, snap_masked-NODE_40_length_93189_cov_15.7443_ID_79-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_40_length_93189_cov_15.7443_ID_79-processed-gene-0.87&CDS=1-2016, snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-3.108&CDS=1-2157
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_11_length_335086_cov_15.5858_ID_21-processed-gene-0.72&CDS=1-1344, augustus_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.56&CDS=1-1341, augustus_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.57&CDS=1-1293, snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.0&CDS=1-1272
5	OG0000005	YBR026C	augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-1.131&CDS=1-357, augustus_masked-NODE_23_length_178550_cov_16.1371_ID_45-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-NODE_23_length_178550_cov_16.1371_ID_45-processed-gene-0.198&CDS=1-1104, augustus_masked-NODE_494_length_449_cov_27.5882_ID_987-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_494_length_449_cov_27.5882_ID_987-processed-gene-0.0&CDS=1-447, augustus_masked-NODE_50_length_73837_cov_15.4945_ID_99-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_50_length_73837_cov_15.4945_ID_99-processed-gene-0.52&CDS=1-357, augustus_masked-NODE_63_length_50209_cov_16.2029_ID_125-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_63_length_50209_cov_16.2029_ID_125-processed-gene-0.81&CDS=1-417, augustus_masked-NODE_78_length_32170_cov_15.6102_ID_155-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_78_length_32170_cov_15.6102_ID_155-processed-gene-0.20&CDS=1-414, maker-NODE_21_length_197463_cov_14.7275_ID_41-snap-gene-0.13-mRNA-1_1&gene=maker-NODE_21_length_197463_cov_14.7275_ID_41-snap-gene-0.13&CDS=1-2124, snap_masked-NODE_91_length_21268_cov_15.0128_ID_181-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_91_length_21268_cov_15.0128_ID_181-processed-gene-0.36&CDS=1-1086
6	OG0000006	YLR120C, YLR121C	augustus_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-NODE_19_length_198931_cov_14.5864_ID_37-processed-gene-0.166&CDS=1-1536, snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_12_length_308793_cov_15.4041_ID_23-processed-gene-0.25&CDS=1-1536, snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_14_length_275940_cov_14.7477_ID_27-processed-gene-0.49&CDS=1-1533, snap_masked-NODE_50_length_73837_cov_15.4945_ID_99-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_50_length_73837_cov_15.4945_ID_99-processed-gene-0.22&CDS=1-1719, snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-2.38&CDS=1-1467, snap_masked-NODE_61_length_55815_cov_14.2619_ID_121-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_61_length_55815_cov_14.2619_ID_121-processed-gene-0.78&CDS=1-1566, snap_masked-NODE_86_length_24569_cov_15.2076_ID_171-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_86_length_24569_cov_15.2076_ID_171-processed-gene-0.17&CDS=1-1593
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_5_length_502274_cov_15.6972_ID_9-processed-gene-4.104&CDS=1-1707
8	OG0000008	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_81_length_30935_cov_16.0264_ID_161-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_81_length_30935_cov_16.0264_ID_161-processed-gene-0.15&CDS=1-1593, snap_masked-NODE_16_length_231195_cov_15.8594_ID_31-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_16_length_231195_cov_15.8594_ID_31-processed-gene-0.120&CDS=1-1731, snap_masked-NODE_75_length_35516_cov_17.3646_ID_149-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_75_length_35516_cov_17.3646_ID_149-processed-gene-0.0&CDS=1-1767, snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_8_length_415098_cov_16.4366_ID_15-processed-gene-2.89&CDS=1-1689
9	OG0000009	YBR298C, YDL247W, YJR160C	augustus_masked-NODE_108_length_9393_cov_16.8187_ID_215-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_108_length_9393_cov_16.8187_ID_215-processed-gene-0.5&CDS=1-1548, maker-NODE_108_length_9393_cov_16.8187_ID_215-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_108_length_9393_cov_16.8187_ID_215-snap-gene-0.11&CDS=1-1653, snap_masked-NODE_35_length_116918_cov_15.8406_ID_69-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_35_length_116918_cov_15.8406_ID_69-processed-gene-0.39&CDS=1-1620, snap_masked-NODE_51_length_73262_cov_16.5667_ID_101-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_51_length_73262_cov_16.5667_ID_101-processed-gene-0.107&CDS=1-1623
