	OrthologID	Metschnikowia_continentalis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-con_s178-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s178-processed-gene-0.11&CDS=1-1803, augustus_masked-con_s435-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-con_s435-processed-gene-0.41&CDS=1-1704, augustus_masked-con_s453-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s453-processed-gene-0.16&CDS=1-2154, augustus_masked-con_s468-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-con_s468-processed-gene-0.70&CDS=1-1704, augustus_masked-con_s506-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s506-processed-gene-0.33&CDS=1-660, augustus_masked-con_s540-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s540-processed-gene-0.20&CDS=1-1911, augustus_masked-con_s701-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s701-processed-gene-0.17&CDS=1-828, augustus_masked-con_s769-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s769-processed-gene-0.3&CDS=1-1029, augustus_masked-con_s83-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-con_s83-processed-gene-0.74&CDS=1-2421, augustus_masked-con_s83-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-con_s83-processed-gene-0.76&CDS=1-2667, augustus_masked-con_s83-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s83-processed-gene-0.86&CDS=1-2241, genemark-con_s327-processed-gene-0.28-mRNA-1_1&gene=genemark-con_s327-processed-gene-0.28&CDS=1-1392, genemark-con_s412-processed-gene-1.151-mRNA-1_1&gene=genemark-con_s412-processed-gene-1.151&CDS=1-2559, genemark-con_s621-processed-gene-0.8-mRNA-1_1&gene=genemark-con_s621-processed-gene-0.8&CDS=1-813, maker-con_s25-augustus-gene-0.7-mRNA-1_1&gene=maker-con_s25-augustus-gene-0.7&CDS=1-4389, snap_masked-con_s1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s1-processed-gene-0.1&CDS=1-789, snap_masked-con_s23-processed-gene-4.37-mRNA-1_1&gene=snap_masked-con_s23-processed-gene-4.37&CDS=1-2790, snap_masked-con_s477-processed-gene-0.0-mRNA-1_1&gene=snap_masked-con_s477-processed-gene-0.0&CDS=1-2043, snap_masked-con_s59-processed-gene-0.15-mRNA-1_1&gene=snap_masked-con_s59-processed-gene-0.15&CDS=1-1500, snap_masked-con_s778-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s778-processed-gene-0.3&CDS=1-2352, snap_masked-con_s788-processed-gene-0.2-mRNA-1_1&gene=snap_masked-con_s788-processed-gene-0.2&CDS=1-891, snap_masked-con_s82-processed-gene-0.102-mRNA-1_1&gene=snap_masked-con_s82-processed-gene-0.102&CDS=1-669	
1	OG0000001	augustus_masked-con_s147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s147-processed-gene-0.2&CDS=1-1461, augustus_masked-con_s148-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.12&CDS=1-1398, augustus_masked-con_s179-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s179-processed-gene-0.15&CDS=1-1692, augustus_masked-con_s195-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s195-processed-gene-0.0&CDS=1-1461, augustus_masked-con_s291-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s291-processed-gene-0.3&CDS=1-1335, augustus_masked-con_s472-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s472-processed-gene-0.3&CDS=1-1758, augustus_masked-con_s580-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-con_s580-processed-gene-0.51&CDS=1-1686, augustus_masked-con_s711-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s711-processed-gene-0.6&CDS=1-1329, maker-con_s240-snap-gene-0.8-mRNA-1_1&gene=maker-con_s240-snap-gene-0.8&CDS=1-1557, snap_masked-con_s240-processed-gene-0.18-mRNA-1_1&gene=snap_masked-con_s240-processed-gene-0.18&CDS=1-1752, snap_masked-con_s478-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s478-processed-gene-0.1&CDS=1-330, snap_masked-con_s9-processed-gene-0.8-mRNA-1_1&gene=snap_masked-con_s9-processed-gene-0.8&CDS=1-294	YDR144C, YGL258W-A, YIR039C, YLR120C, YLR121C
2	OG0000002	augustus_masked-con_C42337-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_C42337-processed-gene-0.0&CDS=1-612, augustus_masked-con_C42545-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_C42545-processed-gene-0.1&CDS=1-345, augustus_masked-con_s307-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s307-processed-gene-0.5&CDS=1-5175, augustus_masked-con_s81-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s81-processed-gene-0.20&CDS=1-4047, genemark-con_s500-processed-gene-0.14-mRNA-1_1&gene=genemark-con_s500-processed-gene-0.14&CDS=1-1269, snap_masked-con_s115-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s115-processed-gene-0.3&CDS=1-240, snap_masked-con_s159-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s159-processed-gene-0.3&CDS=1-375, snap_masked-con_s160-processed-gene-0.11-mRNA-1_1&gene=snap_masked-con_s160-processed-gene-0.11&CDS=1-222, snap_masked-con_s188-processed-gene-0.14-mRNA-1_1&gene=snap_masked-con_s188-processed-gene-0.14&CDS=1-357, snap_masked-con_s434-processed-gene-2.40-mRNA-1_1&gene=snap_masked-con_s434-processed-gene-2.40&CDS=1-531, snap_masked-con_s489-processed-gene-0.3-mRNA-1_1&gene=snap_masked-con_s489-processed-gene-0.3&CDS=1-492, snap_masked-con_s541-processed-gene-0.7-mRNA-1_1&gene=snap_masked-con_s541-processed-gene-0.7&CDS=1-405, snap_masked-con_s549-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s549-processed-gene-0.1&CDS=1-186, snap_masked-con_s576-processed-gene-0.30-mRNA-1_1&gene=snap_masked-con_s576-processed-gene-0.30&CDS=1-660, snap_masked-con_s711-processed-gene-0.13-mRNA-1_1&gene=snap_masked-con_s711-processed-gene-0.13&CDS=1-231	
3	OG0000003	augustus_masked-con_s11-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s11-processed-gene-0.17&CDS=1-639, augustus_masked-con_s121-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s121-processed-gene-0.6&CDS=1-774, augustus_masked-con_s22-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-con_s22-processed-gene-0.42&CDS=1-2727, augustus_masked-con_s240-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s240-processed-gene-0.14&CDS=1-804, augustus_masked-con_s251-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s251-processed-gene-0.25&CDS=1-441, augustus_masked-con_s423-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s423-processed-gene-0.1&CDS=1-870, genemark-con_s167-processed-gene-0.59-mRNA-1_1&gene=genemark-con_s167-processed-gene-0.59&CDS=1-4275, genemark-con_s214-processed-gene-0.15-mRNA-1_1&gene=genemark-con_s214-processed-gene-0.15&CDS=1-846, genemark-con_s343-processed-gene-0.14-mRNA-1_1&gene=genemark-con_s343-processed-gene-0.14&CDS=1-660, genemark-con_s55-processed-gene-0.53-mRNA-1_1&gene=genemark-con_s55-processed-gene-0.53&CDS=1-936, snap_masked-con_C43897-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_C43897-processed-gene-0.1&CDS=1-327, snap_masked-con_s129-processed-gene-0.1-mRNA-1_1&gene=snap_masked-con_s129-processed-gene-0.1&CDS=1-420, snap_masked-con_s137-processed-gene-0.51-mRNA-1_1&gene=snap_masked-con_s137-processed-gene-0.51&CDS=1-318, snap_masked-con_s245-processed-gene-0.4-mRNA-1_1&gene=snap_masked-con_s245-processed-gene-0.4&CDS=1-627, snap_masked-con_s40-processed-gene-0.21-mRNA-1_1&gene=snap_masked-con_s40-processed-gene-0.21&CDS=1-1002	
4	OG0000004	augustus_masked-con_s195-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s195-processed-gene-0.4&CDS=1-1026, augustus_masked-con_s225-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s225-processed-gene-0.7&CDS=1-885, augustus_masked-con_s232-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-con_s232-processed-gene-0.59&CDS=1-870, augustus_masked-con_s409-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s409-processed-gene-0.5&CDS=1-561, augustus_masked-con_s442-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-con_s442-processed-gene-0.54&CDS=1-900, augustus_masked-con_s515-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s515-processed-gene-0.0&CDS=1-864, augustus_masked-con_s591-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s591-processed-gene-0.15&CDS=1-861, augustus_masked-con_s674-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.63&CDS=1-882, augustus_masked-con_s69-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s69-processed-gene-0.0&CDS=1-864, augustus_masked-con_s98-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s98-processed-gene-0.0&CDS=1-711, snap_masked-con_s144-processed-gene-0.106-mRNA-1_1&gene=snap_masked-con_s144-processed-gene-0.106&CDS=1-534, snap_masked-con_s185-processed-gene-0.10-mRNA-1_1&gene=snap_masked-con_s185-processed-gene-0.10&CDS=1-414, snap_masked-con_s757-processed-gene-0.2-mRNA-1_1&gene=snap_masked-con_s757-processed-gene-0.2&CDS=1-414	YKL096W
5	OG0000005	augustus_masked-con_s359-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s359-processed-gene-0.6&CDS=1-693, augustus_masked-con_s434-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-con_s434-processed-gene-1.40&CDS=1-693, augustus_masked-con_s502-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s502-processed-gene-0.4&CDS=1-474, augustus_masked-con_s82-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-con_s82-processed-gene-0.44&CDS=1-693, genemark-con_s369-processed-gene-0.96-mRNA-1_1&gene=genemark-con_s369-processed-gene-0.96&CDS=1-549, genemark-con_s698-processed-gene-0.91-mRNA-1_1&gene=genemark-con_s698-processed-gene-0.91&CDS=1-573	YDR533C, YMR322C, YOR391C, YPL280W
6	OG0000006	augustus_masked-con_s144-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.15&CDS=1-600, augustus_masked-con_s412-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-con_s412-processed-gene-0.83&CDS=1-1773, augustus_masked-con_s662-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.59&CDS=1-2253, augustus_masked-con_s674-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.54&CDS=1-2262, genemark-con_s516-processed-gene-0.12-mRNA-1_1&gene=genemark-con_s516-processed-gene-0.12&CDS=1-2631, genemark-con_s616-processed-gene-0.87-mRNA-1_1&gene=genemark-con_s616-processed-gene-0.87&CDS=1-2226, snap_masked-con_s506-processed-gene-0.153-mRNA-1_1&gene=snap_masked-con_s506-processed-gene-0.153&CDS=1-1365	YJR061W, YKL201C
7	OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
8	OG0000008	augustus_masked-con_s17-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.161&CDS=1-1728, augustus_masked-con_s17-processed-gene-3.189-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.189&CDS=1-1752, augustus_masked-con_s624-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-con_s624-processed-gene-1.14&CDS=1-1689, genemark-con_s23-processed-gene-4.202-mRNA-1_1&gene=genemark-con_s23-processed-gene-4.202&CDS=1-1812, maker-con_s810-snap-gene-0.35-mRNA-1_1&gene=maker-con_s810-snap-gene-0.35&CDS=1-1818	YKR039W, YLL061W, YPL274W
9	OG0000009	augustus_masked-con_s23-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-con_s23-processed-gene-4.78&CDS=1-2757, augustus_masked-con_s281-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s281-processed-gene-0.22&CDS=1-3048, augustus_masked-con_s59-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-con_s59-processed-gene-0.111&CDS=1-3450, augustus_masked-con_s593-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-con_s593-processed-gene-0.175&CDS=1-2649, augustus_masked-con_s732-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s732-processed-gene-0.10&CDS=1-3159, augustus_masked-con_s732-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s732-processed-gene-0.13&CDS=1-3522, augustus_masked-con_s732-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s732-processed-gene-0.14&CDS=1-3471	YLR256W
