	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034899_Ogataea_kodamae
0	OG0000000	YDR242W	augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.94&CDS=1-3582, genemark-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.271-mRNA-1_1&gene=genemark-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.271&CDS=1-1674, maker-NODE_16_length_147039_cov_20.49_ID_31-augustus-gene-0.236-mRNA-1_1&gene=maker-NODE_16_length_147039_cov_20.49_ID_31-augustus-gene-0.236&CDS=1-2202, snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.54&CDS=1-1647, snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_12_length_300130_cov_20.6791_ID_23-processed-gene-2.55&CDS=1-1584, snap_masked-NODE_17_length_138471_cov_20.6562_ID_33-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_17_length_138471_cov_20.6562_ID_33-processed-gene-0.19&CDS=1-1602, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.227-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.227&CDS=1-1632, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.231-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.231&CDS=1-1614, snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-1.188-mRNA-1_1&gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-1.188&CDS=1-1710, snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.252-mRNA-1_1&gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.252&CDS=1-1644, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.98&CDS=1-1617
1	OG0000001	YJR152W, YLR004C	snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.189-mRNA-1_1&gene=snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.189&CDS=1-1578, snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-2.181-mRNA-1_1&gene=snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-2.181&CDS=1-1371, snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-2.182-mRNA-1_1&gene=snap_masked-NODE_11_length_302359_cov_21.3541_ID_21-processed-gene-2.182&CDS=1-1533, snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.58&CDS=1-1479, snap_masked-NODE_17_length_138471_cov_20.6562_ID_33-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_17_length_138471_cov_20.6562_ID_33-processed-gene-0.17&CDS=1-1530, snap_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.161-mRNA-1_1&gene=snap_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.161&CDS=1-1509, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.47-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-7.47&CDS=1-1578, snap_masked-NODE_39_length_7066_cov_21.6564_ID_77-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_39_length_7066_cov_21.6564_ID_77-processed-gene-0.2&CDS=1-1488, snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.237-mRNA-1_1&gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.237&CDS=1-1527
2	OG0000002	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	augustus_masked-NODE_22_length_104199_cov_22.1986_ID_43-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_22_length_104199_cov_22.1986_ID_43-processed-gene-0.33&CDS=1-3690, snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-2.26&CDS=1-2259, snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-3.63&CDS=1-2616, snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-6.103-mRNA-1_1&gene=snap_masked-NODE_3_length_749597_cov_20.3037_ID_5-processed-gene-6.103&CDS=1-2727, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-0.14&CDS=1-1899
3	OG0000003	YBR293W	augustus_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.172-mRNA-1_1&gene=augustus_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.172&CDS=1-1593, augustus_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.180-mRNA-1_1&gene=augustus_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.180&CDS=1-1032, maker-NODE_15_length_161813_cov_20.1063_ID_29-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_15_length_161813_cov_20.1063_ID_29-snap-gene-0.2&CDS=1-3507, maker-NODE_7_length_545341_cov_21.404_ID_13-augustus-gene-3.112-mRNA-1_1&gene=maker-NODE_7_length_545341_cov_21.404_ID_13-augustus-gene-3.112&CDS=1-4374, maker-NODE_9_length_365810_cov_20.2728_ID_17-augustus-gene-2.5-mRNA-1_1&gene=maker-NODE_9_length_365810_cov_20.2728_ID_17-augustus-gene-2.5&CDS=1-2961, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.154-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-6.154&CDS=1-1632, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.35&CDS=1-1575, snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.13&CDS=1-1212
4	OG0000004	YBR297W, YFL052W, YGR288W, YOR380W, YPR196W	augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-1.125&CDS=1-1806, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-0.60&CDS=1-1329, snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-3.25&CDS=1-1146
5	OG0000005	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-NODE_48_length_1597_cov_42.8203_ID_95-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_48_length_1597_cov_42.8203_ID_95-processed-gene-0.2&CDS=1-1479, snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.81-mRNA-1_1&gene=snap_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.81&CDS=1-1746
6	OG0000006	YGR223C	augustus_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.24&CDS=1-2598, augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.233-mRNA-1_1&gene=augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-8.233&CDS=1-1581, augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-0.81&CDS=1-1425, augustus_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.179-mRNA-1_1&gene=augustus_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-4.179&CDS=1-1569, snap_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.203-mRNA-1_1&gene=snap_masked-NODE_14_length_233154_cov_20.148_ID_27-processed-gene-1.203&CDS=1-1551, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-5.46-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-5.46&CDS=1-1590, snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.275-mRNA-1_1&gene=snap_masked-NODE_6_length_547818_cov_20.3499_ID_11-processed-gene-4.275&CDS=1-1440
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_978802_cov_20.4659_ID_1-processed-gene-4.86&CDS=1-3696, snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_15_length_161813_cov_20.1063_ID_29-processed-gene-0.112&CDS=1-1287
8	OG0000008	YBR015C	augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-NODE_5_length_586398_cov_20.5162_ID_9-processed-gene-1.177&CDS=1-1893, maker-NODE_5_length_586398_cov_20.5162_ID_9-snap-gene-4.153-mRNA-1_1&gene=maker-NODE_5_length_586398_cov_20.5162_ID_9-snap-gene-4.153&CDS=1-3330, snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.207-mRNA-1_1&gene=snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.207&CDS=1-1944, snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NODE_2_length_802081_cov_20.2947_ID_3-processed-gene-4.53&CDS=1-1758, snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-3.147-mRNA-1_1&gene=snap_masked-NODE_7_length_545341_cov_21.404_ID_13-processed-gene-3.147&CDS=1-1941, snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.25&CDS=1-1617
9	OG0000009	YCR028C, YHR176W	augustus_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.320-mRNA-1_1&gene=augustus_masked-NODE_9_length_365810_cov_20.2728_ID_17-processed-gene-2.320&CDS=1-3564, maker-NODE_2_length_802081_cov_20.2947_ID_3-augustus-gene-6.166-mRNA-1_1&gene=maker-NODE_2_length_802081_cov_20.2947_ID_3-augustus-gene-6.166&CDS=1-2841, snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.164-mRNA-1_1&gene=snap_masked-NODE_10_length_315200_cov_20.7307_ID_19-processed-gene-2.164&CDS=1-1530, snap_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_20_length_125063_cov_21.0978_ID_39-processed-gene-0.156&CDS=1-1434, snap_masked-NODE_33_length_16453_cov_19.6734_ID_65-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_33_length_16453_cov_19.6734_ID_65-processed-gene-0.1&CDS=1-1551
