	OrthologID	Candida_infanticola	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-LWLF01000001.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-7.88&CDS=1-1524, augustus_masked-LWLF01000021.1-processed-gene-21.129-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.129&CDS=1-1707	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
1	OG0000001	augustus_masked-LWLF01000001.1-processed-gene-17.132-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-17.132&CDS=1-2667, augustus_masked-LWLF01000001.1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-9.65&CDS=1-2433, augustus_masked-LWLF01000021.1-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-3.147&CDS=1-2895, augustus_masked-LWLF01000022.1-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.100&CDS=1-2202, genemark-LWLF01000001.1-processed-gene-4.157-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-4.157&CDS=1-1995	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
2	OG0000002	augustus_masked-LWLF01000001.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-1.78&CDS=1-1758, augustus_masked-LWLF01000021.1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-7.19&CDS=1-1752, augustus_masked-LWLF01000022.1-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-10.30&CDS=1-1749, augustus_masked-LWLF01000022.1-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-12.117&CDS=1-1737, augustus_masked-LWLF01000022.1-processed-gene-15.119-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-15.119&CDS=1-1740, augustus_masked-LWLF01000022.1-processed-gene-16.86-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.86&CDS=1-1752, genemark-LWLF01000021.1-processed-gene-8.33-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-8.33&CDS=1-1314	YKR039W
3	OG0000003	maker-LWLF01000010.1-snap-gene-0.1-mRNA-1_1&gene=maker-LWLF01000010.1-snap-gene-0.1&CDS=1-177, maker-LWLF01000012.1-snap-gene-0.0-mRNA-1_1&gene=maker-LWLF01000012.1-snap-gene-0.0&CDS=1-177, maker-LWLF01000016.1-snap-gene-0.0-mRNA-1_1&gene=maker-LWLF01000016.1-snap-gene-0.0&CDS=1-177, maker-LWLF01000019.1-snap-gene-0.0-mRNA-1_1&gene=maker-LWLF01000019.1-snap-gene-0.0&CDS=1-177, maker-LWLF01000020.1-snap-gene-0.12-mRNA-1_1&gene=maker-LWLF01000020.1-snap-gene-0.12&CDS=1-177	Q0045, Q0065, Q0070
4	OG0000004	augustus_masked-LWLF01000021.1-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.178&CDS=1-1218, augustus_masked-LWLF01000021.1-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-1.185&CDS=1-1128, augustus_masked-LWLF01000021.1-processed-gene-21.132-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-21.132&CDS=1-1557, augustus_masked-LWLF01000022.1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-7.72&CDS=1-1641, genemark-LWLF01000021.1-processed-gene-7.137-mRNA-1_1&gene=genemark-LWLF01000021.1-processed-gene-7.137&CDS=1-1797	YDR144C, YLR120C, YLR121C
5	OG0000005	augustus_masked-LWLF01000001.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.110&CDS=1-1497, augustus_masked-LWLF01000001.1-processed-gene-23.113-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-23.113&CDS=1-1566, augustus_masked-LWLF01000021.1-processed-gene-18.74-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-18.74&CDS=1-1500, augustus_masked-LWLF01000022.1-processed-gene-16.60-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-16.60&CDS=1-1542, maker-LWLF01000001.1-snap-gene-2.101-mRNA-1_1&gene=maker-LWLF01000001.1-snap-gene-2.101&CDS=1-3327	YDR402C, YNR055C
6	OG0000006	augustus_masked-LWLF01000001.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-4.106&CDS=1-1329, augustus_masked-LWLF01000021.1-processed-gene-12.123-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-12.123&CDS=1-1281, augustus_masked-LWLF01000021.1-processed-gene-8.94-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-8.94&CDS=1-1338, augustus_masked-LWLF01000022.1-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-LWLF01000022.1-processed-gene-4.175&CDS=1-1344	YBR288C, YOL062C, YPL259C
7	OG0000007	augustus_masked-LWLF01000001.1-processed-gene-19.146-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-19.146&CDS=1-2190, augustus_masked-LWLF01000021.1-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-9.85&CDS=1-2106	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
8	OG0000008	augustus_masked-LWLF01000001.1-processed-gene-12.101-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-12.101&CDS=1-510, augustus_masked-LWLF01000001.1-processed-gene-22.69-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-22.69&CDS=1-552, genemark-LWLF01000001.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LWLF01000001.1-processed-gene-0.6&CDS=1-459	YDR067C, YNL032W, YNL056W
9	OG0000009	augustus_masked-LWLF01000001.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-0.75&CDS=1-1467, augustus_masked-LWLF01000001.1-processed-gene-11.107-mRNA-1_1&gene=augustus_masked-LWLF01000001.1-processed-gene-11.107&CDS=1-879, augustus_masked-LWLF01000021.1-processed-gene-14.20-mRNA-1_1&gene=augustus_masked-LWLF01000021.1-processed-gene-14.20&CDS=1-1284	YBR160W, YKL139W, YPR161C
