	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035047_Barnettozyma_pratensis
0	OG0000000	YPL064C	augustus_masked-flattened_line_0-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.17&CDS=1-1518, augustus_masked-flattened_line_16-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.124&CDS=1-1473, augustus_masked-flattened_line_16-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.99&CDS=1-354, augustus_masked-flattened_line_16-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.24&CDS=1-1461, augustus_masked-flattened_line_26-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.67&CDS=1-1503, augustus_masked-flattened_line_4-processed-gene-3.257-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.257&CDS=1-1485, augustus_masked-flattened_line_40-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.53&CDS=1-1491, augustus_masked-flattened_line_44-processed-gene-0.247-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.247&CDS=1-1545, augustus_masked-flattened_line_44-processed-gene-0.274-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.274&CDS=1-1461, augustus_masked-flattened_line_50-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.184&CDS=1-1524, maker-flattened_line_2-snap-gene-4.4-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.4&CDS=1-2958, maker-flattened_line_28-snap-gene-1.194-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-1.194&CDS=1-2778, maker-flattened_line_4-snap-gene-3.188-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.188&CDS=1-4287, maker-flattened_line_4-snap-gene-3.196-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.196&CDS=1-345, maker-flattened_line_62-augustus-gene-0.71-mRNA-1_1&gene=maker-flattened_line_62-augustus-gene-0.71&CDS=1-2754, maker-flattened_line_84-augustus-gene-0.108-mRNA-1_1&gene=maker-flattened_line_84-augustus-gene-0.108&CDS=1-2379, snap_masked-flattened_line_6-processed-gene-3.83-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.83&CDS=1-291
1	OG0000001	YDR134C, YLR110C	augustus_masked-flattened_line_100-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.7&CDS=1-447, augustus_masked-flattened_line_14-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.83&CDS=1-357, augustus_masked-flattened_line_54-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.46&CDS=1-375, augustus_masked-flattened_line_66-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.134&CDS=1-375, augustus_masked-flattened_line_80-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.120&CDS=1-1101, genemark-flattened_line_68-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.130&CDS=1-234, snap_masked-flattened_line_191-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_191-processed-gene-0.4&CDS=1-744, snap_masked-flattened_line_66-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.110&CDS=1-1368
2	OG0000002	YGL257C, YNR059W, YPL097W	augustus_masked-flattened_line_0-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.108&CDS=1-2256, augustus_masked-flattened_line_12-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.106&CDS=1-813, augustus_masked-flattened_line_14-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.41&CDS=1-2274, augustus_masked-flattened_line_146-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.22&CDS=1-3591, augustus_masked-flattened_line_72-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.132&CDS=1-2166, genemark-flattened_line_28-processed-gene-1.146-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.146&CDS=1-1992, maker-flattened_line_0-augustus-gene-6.16-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.16&CDS=1-1446
3	OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-flattened_line_10-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.42&CDS=1-1782, augustus_masked-flattened_line_128-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.6&CDS=1-1755, augustus_masked-flattened_line_36-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.29&CDS=1-1821, augustus_masked-flattened_line_40-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.28&CDS=1-1806, genemark-flattened_line_32-processed-gene-1.190-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.190&CDS=1-1755
4	OG0000004	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	augustus_masked-flattened_line_94-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.25&CDS=1-1683
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_224-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_224-processed-gene-0.0&CDS=1-1683
6	OG0000006	YBR240C, YDR207C	augustus_masked-flattened_line_14-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.61&CDS=1-1482, augustus_masked-flattened_line_14-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.68&CDS=1-723, augustus_masked-flattened_line_16-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.125&CDS=1-594, genemark-flattened_line_70-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.96&CDS=1-1887, snap_masked-flattened_line_148-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.22&CDS=1-1035
7	OG0000007	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_8-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.78&CDS=1-1746, augustus_masked-flattened_line_98-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.21&CDS=1-1752, maker-flattened_line_167-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_167-snap-gene-0.10&CDS=1-3465
8	OG0000008	YDL037C, YIR019C	augustus_masked-flattened_line_124-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.61&CDS=1-243, augustus_masked-flattened_line_14-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.37&CDS=1-2505, augustus_masked-flattened_line_26-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.63&CDS=1-3240, genemark-flattened_line_32-processed-gene-1.238-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.238&CDS=1-7842, snap_masked-flattened_line_26-processed-gene-1.115-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.115&CDS=1-2841
9	OG0000009	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_12-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.127&CDS=1-1038, augustus_masked-flattened_line_32-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.53&CDS=1-1062, genemark-flattened_line_0-processed-gene-5.136-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.136&CDS=1-1023
10	OG0000010	YER073W, YOR374W, YPL061W	augustus_masked-flattened_line_18-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.35&CDS=1-1533, augustus_masked-flattened_line_30-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.44&CDS=1-1938, augustus_masked-flattened_line_50-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.208&CDS=1-1488, augustus_masked-flattened_line_74-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.135&CDS=1-1491
11	OG0000011	YKL220C, YNR060W, YOR381W	augustus_masked-flattened_line_2-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.30&CDS=1-2085, augustus_masked-flattened_line_86-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.135&CDS=1-2070, genemark-flattened_line_112-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.22&CDS=1-2151, snap_masked-flattened_line_30-processed-gene-1.132-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.132&CDS=1-1830
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_0-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.35&CDS=1-1362
13	OG0000013	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_26-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.0&CDS=1-4581, genemark-flattened_line_38-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.90&CDS=1-4866
14	OG0000014	YBR015C	augustus_masked-flattened_line_26-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.43&CDS=1-1707, augustus_masked-flattened_line_26-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.8&CDS=1-1722, augustus_masked-flattened_line_48-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.226&CDS=1-1767, augustus_masked-flattened_line_76-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.147&CDS=1-1575, genemark-flattened_line_6-processed-gene-3.154-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.154&CDS=1-1998
15	OG0000015	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_28-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.214&CDS=1-1113, augustus_masked-flattened_line_32-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.111&CDS=1-1113, augustus_masked-flattened_line_8-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.100&CDS=1-1113
16	OG0000016	YDL174C	augustus_masked-flattened_line_112-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.69&CDS=1-1638, augustus_masked-flattened_line_42-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.83&CDS=1-1662, augustus_masked-flattened_line_44-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.211&CDS=1-1683, augustus_masked-flattened_line_6-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.124&CDS=1-1707, genemark-flattened_line_20-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.62&CDS=1-1659
17	OG0000017	YDR242W	augustus_masked-flattened_line_0-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.47&CDS=1-1587, augustus_masked-flattened_line_14-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.34&CDS=1-1617, augustus_masked-flattened_line_14-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.56&CDS=1-1617, augustus_masked-flattened_line_18-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.23&CDS=1-1728, augustus_masked-flattened_line_76-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.131&CDS=1-1650
18	OG0000018	YDR391C, YOR013W	augustus_masked-flattened_line_22-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.32&CDS=1-600, snap_masked-flattened_line_10-processed-gene-2.225-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.225&CDS=1-630, snap_masked-flattened_line_10-processed-gene-2.226-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.226&CDS=1-618, snap_masked-flattened_line_10-processed-gene-2.227-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.227&CDS=1-600
19	OG0000019	YER015W	augustus_masked-flattened_line_112-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.80&CDS=1-2262, augustus_masked-flattened_line_32-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.19&CDS=1-2139, augustus_masked-flattened_line_44-processed-gene-0.250-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.250&CDS=1-2076, snap_masked-flattened_line_110-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.20&CDS=1-2109, snap_masked-flattened_line_110-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.21&CDS=1-2100
20	OG0000020	YHR032W, YPR201W	augustus_masked-flattened_line_104-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.5&CDS=1-1731, augustus_masked-flattened_line_4-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.130&CDS=1-1650, augustus_masked-flattened_line_54-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.70&CDS=1-1857, maker-flattened_line_141-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_141-snap-gene-0.0&CDS=1-4596
21	OG0000021	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-flattened_line_12-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.49&CDS=1-2028, snap_masked-flattened_line_92-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.30&CDS=1-1947
22	OG0000022	YJL172W, YOL153C	augustus_masked-flattened_line_32-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.92&CDS=1-1686, augustus_masked-flattened_line_8-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.171&CDS=1-1734, augustus_masked-flattened_line_86-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.145&CDS=1-1722, augustus_masked-flattened_line_98-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.27&CDS=1-1710
23	OG0000023	YKL055C	augustus_masked-flattened_line_18-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.152&CDS=1-759, augustus_masked-flattened_line_22-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.153&CDS=1-747, augustus_masked-flattened_line_56-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.3&CDS=1-831, genemark-flattened_line_28-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.137&CDS=1-762, genemark-flattened_line_40-processed-gene-0.267-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.267&CDS=1-789
24	OG0000024	YKL071W	augustus_masked-flattened_line_0-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.51&CDS=1-756, augustus_masked-flattened_line_10-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.1&CDS=1-759, augustus_masked-flattened_line_16-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.100&CDS=1-768, augustus_masked-flattened_line_16-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.106&CDS=1-768, augustus_masked-flattened_line_74-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.161&CDS=1-765
25	OG0000025	YKL221W, YNL125C	augustus_masked-flattened_line_64-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.41&CDS=1-1524, augustus_masked-flattened_line_66-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.176&CDS=1-1410, augustus_masked-flattened_line_76-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.167&CDS=1-1422, maker-flattened_line_20-augustus-gene-1.9-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.9&CDS=1-1773
