	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_uvarum
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YJL219W, YLR081W, YMR011W	genemark-Sbay_13-processed-gene-2.30-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-2.30&CDS=1-1623, genemark-Sbay_2-processed-gene-9.46-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-9.46&CDS=1-1710, genemark-Sbay_6-processed-gene-0.16-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-0.16&CDS=1-1053, genemark-Sbay_9-processed-gene-3.34-mRNA-1_1&gene=genemark-Sbay_9-processed-gene-3.34&CDS=1-1377, maker-Sbay_10-snap-gene-3.98-mRNA-1_1&gene=maker-Sbay_10-snap-gene-3.98&CDS=1-3354, maker-Sbay_15-snap-gene-5.13-mRNA-1_1&gene=maker-Sbay_15-snap-gene-5.13&CDS=1-5166, maker-Sbay_2-augustus-gene-9.9-mRNA-1_1&gene=maker-Sbay_2-augustus-gene-9.9&CDS=1-2583
1	OG0000001	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	genemark-Sbay_14-processed-gene-6.143-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.143&CDS=1-363
2	OG0000002	YAR023C, YAR027W, YAR028W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W	maker-Sbay_1-snap-gene-0.230-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.230&CDS=1-249, maker-Sbay_3-snap-gene-0.6-mRNA-1_1&gene=maker-Sbay_3-snap-gene-0.6&CDS=1-474, snap_masked-Sbay_1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.107&CDS=1-969
3	OG0000003	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W	snap_masked-Sbay_12-processed-gene-3.197-mRNA-1_1&gene=snap_masked-Sbay_12-processed-gene-3.197&CDS=1-981
4	OG0000004	YAL005C, YBL075C, YER103W, YLL024C	genemark-Sbay_2-processed-gene-0.109-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.109&CDS=1-1956, maker-Sbay_10-augustus-gene-1.131-mRNA-1_1&gene=maker-Sbay_10-augustus-gene-1.131&CDS=1-1116, maker-Sbay_5-augustus-gene-3.0-mRNA-1_1&gene=maker-Sbay_5-augustus-gene-3.0&CDS=1-2622, snap_masked-Sbay_1-processed-gene-0.137-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.137&CDS=1-1539
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-Sbay_4-processed-gene-4.5-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.5&CDS=1-1404, maker-Sbay_4-snap-gene-6.15-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.15&CDS=1-2727, snap_masked-Sbay_9-processed-gene-0.25-mRNA-1_1&gene=snap_masked-Sbay_9-processed-gene-0.25&CDS=1-1386
6	OG0000006	YBR145W, YMR083W, YMR303C, YOL086C	genemark-Sbay_13-processed-gene-4.57-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-4.57&CDS=1-1125, genemark-Sbay_13-processed-gene-8.47-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-8.47&CDS=1-1044, genemark-Sbay_15-processed-gene-1.74-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-1.74&CDS=1-1044, genemark-Sbay_4-processed-gene-7.53-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.53&CDS=1-1053
7	OG0000007	YCR104W, YIR041W, YKL224C, YLL025W, YLR037C, YMR325W	genemark-Sbay_5-processed-gene-1.154-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-1.154&CDS=1-372
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-Sbay_5-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-Sbay_5-processed-gene-4.26&CDS=1-1206, genemark-Sbay_16-processed-gene-0.54-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.54&CDS=1-1173
9	OG0000009	YBR299W, YGR292W, YIL172C, YJL221C, YOL157C	genemark-Sbay_16-processed-gene-0.53-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.53&CDS=1-1755
