	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026137_Ambrosiozyma_ambrosiae
0	OG0000000	YDL037C, YIR019C	augustus_masked-flattened_line_119-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.22&CDS=1-1143, augustus_masked-flattened_line_228-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.0&CDS=1-402, augustus_masked-flattened_line_278-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_278-processed-gene-0.1&CDS=1-276, augustus_masked-flattened_line_28-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-2.104&CDS=1-1356, augustus_masked-flattened_line_298-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_298-processed-gene-0.0&CDS=1-240, augustus_masked-flattened_line_350-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_350-processed-gene-0.1&CDS=1-204, augustus_masked-flattened_line_42-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-1.130&CDS=1-327, genemark-flattened_line_232-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_232-processed-gene-0.0&CDS=1-357, maker-flattened_line_157-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_157-snap-gene-0.5&CDS=1-1719, snap_masked-flattened_line_240-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_240-processed-gene-0.0&CDS=1-312, snap_masked-flattened_line_242-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_242-processed-gene-0.0&CDS=1-312, snap_masked-flattened_line_4-processed-gene-3.18-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.18&CDS=1-6624
1	OG0000001	YKR039W	augustus_masked-flattened_line_26-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.62&CDS=1-2304, augustus_masked-flattened_line_46-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.49&CDS=1-1758, genemark-flattened_line_4-processed-gene-7.21-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.21&CDS=1-1746, maker-flattened_line_10-snap-gene-2.36-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.36&CDS=1-1797, maker-flattened_line_30-snap-gene-1.74-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-1.74&CDS=1-1737, snap_masked-flattened_line_26-processed-gene-2.192-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.192&CDS=1-1725, snap_masked-flattened_line_30-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.116&CDS=1-1740, snap_masked-flattened_line_4-processed-gene-6.27-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.27&CDS=1-1746, snap_masked-flattened_line_94-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.14&CDS=1-1788
2	OG0000002	YKR064W	augustus_masked-flattened_line_4-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.68&CDS=1-1071, augustus_masked-flattened_line_46-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-1.114&CDS=1-2082, genemark-flattened_line_105-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_105-processed-gene-0.31&CDS=1-2328, genemark-flattened_line_14-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.67&CDS=1-2778, maker-flattened_line_14-snap-gene-1.1-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.1&CDS=1-2649, maker-flattened_line_84-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_84-snap-gene-0.40&CDS=1-2304, snap_masked-flattened_line_123-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_123-processed-gene-0.4&CDS=1-2931, snap_masked-flattened_line_14-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.13&CDS=1-3054, snap_masked-flattened_line_8-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.89&CDS=1-2820
3	OG0000003	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_10-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.10&CDS=1-2355, augustus_masked-flattened_line_40-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.184&CDS=1-2736, augustus_masked-flattened_line_46-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.37&CDS=1-2319, augustus_masked-flattened_line_48-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-1.75&CDS=1-2205, snap_masked-flattened_line_18-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.13&CDS=1-2196, snap_masked-flattened_line_30-processed-gene-2.208-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.208&CDS=1-2571, snap_masked-flattened_line_48-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-1.29&CDS=1-2214
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_184-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.0&CDS=1-1530, snap_masked-flattened_line_84-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.34&CDS=1-1731
5	OG0000005	YCR023C	augustus_masked-flattened_line_127-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.15&CDS=1-2328, augustus_masked-flattened_line_127-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_127-processed-gene-0.18&CDS=1-1515, augustus_masked-flattened_line_135-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_135-processed-gene-0.0&CDS=1-309, augustus_masked-flattened_line_153-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_153-processed-gene-0.4&CDS=1-210, augustus_masked-flattened_line_204-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.2&CDS=1-609, augustus_masked-flattened_line_252-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_252-processed-gene-0.1&CDS=1-357, augustus_masked-flattened_line_308-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_308-processed-gene-0.0&CDS=1-240, augustus_masked-flattened_line_72-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.74&CDS=1-510
6	OG0000006	YDR207C	augustus_masked-flattened_line_22-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.129&CDS=1-1605, snap_masked-flattened_line_0-processed-gene-6.18-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.18&CDS=1-891, snap_masked-flattened_line_0-processed-gene-6.28-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.28&CDS=1-2214, snap_masked-flattened_line_14-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.23&CDS=1-912, snap_masked-flattened_line_2-processed-gene-2.29-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.29&CDS=1-669, snap_masked-flattened_line_2-processed-gene-6.58-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.58&CDS=1-2079, snap_masked-flattened_line_32-processed-gene-2.152-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.152&CDS=1-1191, snap_masked-flattened_line_4-processed-gene-5.112-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.112&CDS=1-957
7	OG0000007	YBR150C, YOL089C	augustus_masked-flattened_line_0-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.106&CDS=1-2676, augustus_masked-flattened_line_0-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.4&CDS=1-2868, augustus_masked-flattened_line_6-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.81&CDS=1-2460, snap_masked-flattened_line_135-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.9&CDS=1-603, snap_masked-flattened_line_26-processed-gene-2.171-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.171&CDS=1-2628, snap_masked-flattened_line_72-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.43&CDS=1-2328
8	OG0000008	YDR406W, YOR153W	augustus_masked-flattened_line_141-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_141-processed-gene-0.4&CDS=1-3297, genemark-flattened_line_34-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.67&CDS=1-2889, maker-flattened_line_143-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_143-augustus-gene-0.3&CDS=1-2721, maker-flattened_line_82-snap-gene-0.122-mRNA-1_1&gene=maker-flattened_line_82-snap-gene-0.122&CDS=1-2700, snap_masked-flattened_line_62-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.114&CDS=1-4542, snap_masked-flattened_line_8-processed-gene-2.51-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.51&CDS=1-4530
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	genemark-flattened_line_40-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.105&CDS=1-1230
