	OrthologID	Saccharomyces_cerevisiae	Saccharomyces_paradoxus
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	genemark-Spar_10-processed-gene-0.3-mRNA-1_1&gene=genemark-Spar_10-processed-gene-0.3&CDS=1-1695, genemark-Spar_12-processed-gene-2.125-mRNA-1_1&gene=genemark-Spar_12-processed-gene-2.125&CDS=1-1719, genemark-Spar_13-processed-gene-2.126-mRNA-1_1&gene=genemark-Spar_13-processed-gene-2.126&CDS=1-1623, genemark-Spar_15-processed-gene-0.41-mRNA-1_1&gene=genemark-Spar_15-processed-gene-0.41&CDS=1-1695, genemark-Spar_4-processed-gene-10.42-mRNA-1_1&gene=genemark-Spar_4-processed-gene-10.42&CDS=1-1701, genemark-Spar_4-processed-gene-12.122-mRNA-1_1&gene=genemark-Spar_4-processed-gene-12.122&CDS=1-1710, genemark-Spar_6-processed-gene-0.33-mRNA-1_1&gene=genemark-Spar_6-processed-gene-0.33&CDS=1-1707, genemark-Spar_6-processed-gene-1.12-mRNA-1_1&gene=genemark-Spar_6-processed-gene-1.12&CDS=1-1638, genemark-Spar_9-processed-gene-0.70-mRNA-1_1&gene=genemark-Spar_9-processed-gene-0.70&CDS=1-1695, maker-Spar_4-snap-gene-10.113-mRNA-1_1&gene=maker-Spar_4-snap-gene-10.113&CDS=1-3339
1	OG0000001	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	genemark-Spar_14-processed-gene-6.201-mRNA-1_1&gene=genemark-Spar_14-processed-gene-6.201&CDS=1-360, genemark-Spar_16-processed-gene-0.18-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.18&CDS=1-360, genemark-Spar_16-processed-gene-0.22-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.22&CDS=1-360, genemark-Spar_2-processed-gene-7.130-mRNA-1_1&gene=genemark-Spar_2-processed-gene-7.130&CDS=1-360, genemark-Spar_3-processed-gene-2.64-mRNA-1_1&gene=genemark-Spar_3-processed-gene-2.64&CDS=1-360, genemark-Spar_6-processed-gene-1.32-mRNA-1_1&gene=genemark-Spar_6-processed-gene-1.32&CDS=1-360, genemark-Spar_7-processed-gene-9.34-mRNA-1_1&gene=genemark-Spar_7-processed-gene-9.34&CDS=1-360, genemark-Spar_9-processed-gene-3.109-mRNA-1_1&gene=genemark-Spar_9-processed-gene-3.109&CDS=1-360
2	OG0000002	YDR545W, YEL077C, YER190W, YGR296W, YIL177C, YJL225C, YLL066C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C	genemark-Spar_16-processed-gene-0.17-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.17&CDS=1-6306
3	OG0000003	YHR216W, YLR432W, YML056C	genemark-Spar_10-processed-gene-6.87-mRNA-1_1&gene=genemark-Spar_10-processed-gene-6.87&CDS=1-1542, genemark-Spar_12-processed-gene-9.25-mRNA-1_1&gene=genemark-Spar_12-processed-gene-9.25&CDS=1-1569, genemark-Spar_16-processed-gene-0.21-mRNA-1_1&gene=genemark-Spar_16-processed-gene-0.21&CDS=1-1569, genemark-Spar_3-processed-gene-2.65-mRNA-1_1&gene=genemark-Spar_3-processed-gene-2.65&CDS=1-1569, genemark-Spar_4-processed-gene-0.89-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.89&CDS=1-1569, genemark-Spar_6-processed-gene-0.41-mRNA-1_1&gene=genemark-Spar_6-processed-gene-0.41&CDS=1-900, genemark-Spar_8-processed-gene-4.125-mRNA-1_1&gene=genemark-Spar_8-processed-gene-4.125&CDS=1-1233, maker-Spar_13-snap-gene-0.0-mRNA-1_1&gene=maker-Spar_13-snap-gene-0.0&CDS=1-1092, maker-Spar_13-snap-gene-1.9-mRNA-1_1&gene=maker-Spar_13-snap-gene-1.9&CDS=1-1572
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-Spar_10-processed-gene-0.23-mRNA-1_1&gene=genemark-Spar_10-processed-gene-0.23&CDS=1-1743, genemark-Spar_15-processed-gene-0.62-mRNA-1_1&gene=genemark-Spar_15-processed-gene-0.62&CDS=1-1767, genemark-Spar_7-processed-gene-9.33-mRNA-1_1&gene=genemark-Spar_7-processed-gene-9.33&CDS=1-1752, genemark-Spar_7-processed-gene-9.65-mRNA-1_1&gene=genemark-Spar_7-processed-gene-9.65&CDS=1-1767
5	OG0000005	YAL063C, YAL064C-A, YFL051C, YHR211W, YHR213W, YKR102W	genemark-Spar_11-processed-gene-5.56-mRNA-1_1&gene=genemark-Spar_11-processed-gene-5.56&CDS=1-3567, genemark-Spar_8-processed-gene-4.120-mRNA-1_1&gene=genemark-Spar_8-processed-gene-4.120&CDS=1-1398, maker-Spar_6-snap-gene-0.1-mRNA-1_1&gene=maker-Spar_6-snap-gene-0.1&CDS=1-2994, maker-Spar_8-snap-gene-4.194-mRNA-1_1&gene=maker-Spar_8-snap-gene-4.194&CDS=1-2883
6	OG0000006	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-Spar_7-processed-gene-9.153-mRNA-1_1&gene=augustus_masked-Spar_7-processed-gene-9.153&CDS=1-1389, augustus_masked-Spar_7-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-Spar_7-processed-gene-9.154&CDS=1-1230, genemark-Spar_7-processed-gene-9.30-mRNA-1_1&gene=genemark-Spar_7-processed-gene-9.30&CDS=1-1224, snap_masked-Spar_16-processed-gene-8.118-mRNA-1_1&gene=snap_masked-Spar_16-processed-gene-8.118&CDS=1-1236, snap_masked-Spar_2-processed-gene-7.76-mRNA-1_1&gene=snap_masked-Spar_2-processed-gene-7.76&CDS=1-1440, snap_masked-Spar_6-processed-gene-0.62-mRNA-1_1&gene=snap_masked-Spar_6-processed-gene-0.62&CDS=1-1398
7	OG0000007	YAL005C, YBL075C, YBL076C, YER103W, YLL024C	genemark-Spar_1-processed-gene-0.133-mRNA-1_1&gene=genemark-Spar_1-processed-gene-0.133&CDS=1-1926, genemark-Spar_12-processed-gene-0.62-mRNA-1_1&gene=genemark-Spar_12-processed-gene-0.62&CDS=1-1917, maker-Spar_2-augustus-gene-0.102-mRNA-1_1&gene=maker-Spar_2-augustus-gene-0.102&CDS=1-5178, maker-Spar_5-augustus-gene-3.45-mRNA-1_1&gene=maker-Spar_5-augustus-gene-3.45&CDS=1-2559
8	OG0000008	YAL067W-A, YBL108W, YGL260W, YIL174W, YIR040C, YJL222W-A, YKL223W, YNR075C-A	maker-Spar_11-snap-gene-0.2-mRNA-1_1&gene=maker-Spar_11-snap-gene-0.2&CDS=1-231
9	OG0000009	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YML132W, YNL336W	
10	OG0000010	YCR104W, YIR041W, YKL224C, YLL025W, YLR037C, YMR325W	genemark-Spar_12-processed-gene-0.42-mRNA-1_1&gene=genemark-Spar_12-processed-gene-0.42&CDS=1-372, genemark-Spar_4-processed-gene-0.90-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.90&CDS=1-372, genemark-Spar_6-processed-gene-2.130-mRNA-1_1&gene=genemark-Spar_6-processed-gene-2.130&CDS=1-372
11	OG0000011	YAR066W, YHR214W, YIL169C, YOL155C	genemark-Spar_15-processed-gene-0.63-mRNA-1_1&gene=genemark-Spar_15-processed-gene-0.63&CDS=1-3120, genemark-Spar_6-processed-gene-0.42-mRNA-1_1&gene=genemark-Spar_6-processed-gene-0.42&CDS=1-3084, genemark-Spar_8-processed-gene-4.121-mRNA-1_1&gene=genemark-Spar_8-processed-gene-4.121&CDS=1-1914, genemark-Spar_9-processed-gene-0.86-mRNA-1_1&gene=genemark-Spar_9-processed-gene-0.86&CDS=1-2478
12	OG0000012	YDL244W, YFL058W, YJR156C, YNL332W	genemark-Spar_10-processed-gene-6.110-mRNA-1_1&gene=genemark-Spar_10-processed-gene-6.110&CDS=1-1020, genemark-Spar_14-processed-gene-0.1-mRNA-1_1&gene=genemark-Spar_14-processed-gene-0.1&CDS=1-1020, genemark-Spar_4-processed-gene-0.78-mRNA-1_1&gene=genemark-Spar_4-processed-gene-0.78&CDS=1-1020, genemark-Spar_6-processed-gene-0.29-mRNA-1_1&gene=genemark-Spar_6-processed-gene-0.29&CDS=1-1020
