	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
0	OG0000000	YBR240C, YDR034C, YDR207C, YDR213W, YLR228C, YML099C	augustus_masked-flattened_line_125-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.13&CDS=1-891, augustus_masked-flattened_line_43-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.52&CDS=1-2154, genemark-flattened_line_111-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.74&CDS=1-1032, genemark-flattened_line_129-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.49&CDS=1-2061, genemark-flattened_line_159-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.54&CDS=1-1437, genemark-flattened_line_43-processed-gene-0.209-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.209&CDS=1-1923, snap_masked-flattened_line_105-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.63&CDS=1-915, snap_masked-flattened_line_105-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.64&CDS=1-1038, snap_masked-flattened_line_198-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_198-processed-gene-0.41&CDS=1-849, snap_masked-flattened_line_37-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.63&CDS=1-1791
1	OG0000001	YBL042C, YBR021W, YIR028W	genemark-flattened_line_0-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.88&CDS=1-1668, genemark-flattened_line_13-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.0&CDS=1-1674, genemark-flattened_line_196-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.29&CDS=1-1647, genemark-flattened_line_43-processed-gene-0.202-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.202&CDS=1-1647, genemark-flattened_line_5-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.134&CDS=1-1668, genemark-flattened_line_5-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.157&CDS=1-1686, genemark-flattened_line_79-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.81&CDS=1-1680
2	OG0000002	YKL209C	genemark-flattened_line_125-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.143&CDS=1-4116, genemark-flattened_line_178-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_178-processed-gene-0.50&CDS=1-3975, genemark-flattened_line_196-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.32&CDS=1-3930, genemark-flattened_line_200-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_200-processed-gene-0.21&CDS=1-3945, genemark-flattened_line_27-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.76&CDS=1-4047, genemark-flattened_line_27-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.81&CDS=1-4107, maker-flattened_line_119-augustus-gene-0.134-mRNA-1_1&gene=maker-flattened_line_119-augustus-gene-0.134&CDS=1-4020, maker-flattened_line_27-augustus-gene-1.156-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-1.156&CDS=1-4047, maker-flattened_line_5-snap-gene-2.174-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-2.174&CDS=1-9030
3	OG0000003	YCR102C, YLR460C, YMR152W, YNL134C	augustus_masked-flattened_line_0-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.142&CDS=1-1032, genemark-flattened_line_57-processed-gene-0.203-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.203&CDS=1-1050, genemark-flattened_line_83-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.17&CDS=1-1026, maker-flattened_line_75-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_75-augustus-gene-0.43&CDS=1-1140, snap_masked-flattened_line_123-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_123-processed-gene-0.109&CDS=1-1026
4	OG0000004	YIL166C	augustus_masked-flattened_line_43-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.19&CDS=1-1446, genemark-flattened_line_161-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_161-processed-gene-0.59&CDS=1-1743, genemark-flattened_line_67-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.39&CDS=1-1743, genemark-flattened_line_87-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.130&CDS=1-1854, maker-flattened_line_135-snap-gene-0.101-mRNA-1_1&gene=maker-flattened_line_135-snap-gene-0.101&CDS=1-1731, maker-flattened_line_280-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_280-snap-gene-0.4&CDS=1-1704, maker-flattened_line_33-snap-gene-0.241-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.241&CDS=1-3465, maker-flattened_line_87-snap-gene-0.68-mRNA-1_1&gene=maker-flattened_line_87-snap-gene-0.68&CDS=1-3510
5	OG0000005	YDR081C	genemark-flattened_line_198-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.47&CDS=1-1956, genemark-flattened_line_232-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_232-processed-gene-0.17&CDS=1-1326, maker-flattened_line_332-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_332-snap-gene-0.4&CDS=1-720, maker-flattened_line_53-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.66&CDS=1-1263, maker-flattened_line_89-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.55&CDS=1-1185, maker-flattened_line_9-snap-gene-1.200-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.200&CDS=1-648, snap_masked-flattened_line_222-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.18&CDS=1-372
6	OG0000006	YFL040W	augustus_masked-flattened_line_2-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.11&CDS=1-1557, genemark-flattened_line_123-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_123-processed-gene-0.38&CDS=1-1596, genemark-flattened_line_198-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.45&CDS=1-1572, genemark-flattened_line_2-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.64&CDS=1-1566, genemark-flattened_line_23-processed-gene-1.182-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.182&CDS=1-1536, genemark-flattened_line_5-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.159&CDS=1-1509, maker-flattened_line_9-snap-gene-1.203-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.203&CDS=1-3297
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_13-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.64&CDS=1-1896, maker-flattened_line_13-augustus-gene-1.294-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-1.294&CDS=1-2001, maker-flattened_line_21-snap-gene-1.166-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.166&CDS=1-933
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_2-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.70&CDS=1-1353, maker-flattened_line_27-augustus-gene-1.155-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-1.155&CDS=1-1758
9	OG0000009	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_107-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_107-processed-gene-0.123&CDS=1-1659, genemark-flattened_line_159-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.52&CDS=1-1641
10	OG0000010	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_27-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.77&CDS=1-1713, genemark-flattened_line_43-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.179&CDS=1-1713
11	OG0000011	YDR144C, YJR135W-A, YLR120C, YLR121C	genemark-flattened_line_101-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_101-processed-gene-0.87&CDS=1-1701, genemark-flattened_line_67-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.34&CDS=1-1677
12	OG0000012	YIL120W, YIL121W, YNL065W	augustus_masked-flattened_line_41-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.1&CDS=1-1617, genemark-flattened_line_159-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.42&CDS=1-1653, genemark-flattened_line_47-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.128&CDS=1-1500
13	OG0000013	YAR019C, YDR523C	genemark-flattened_line_241-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_241-processed-gene-0.4&CDS=1-1584, maker-flattened_line_21-snap-gene-1.175-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.175&CDS=1-1200, maker-flattened_line_25-augustus-gene-1.210-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-1.210&CDS=1-1041
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_117-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_117-processed-gene-0.0&CDS=1-2621
15	OG0000015	YBR078W, YCL048W, YDR055W, YDR522C	genemark-flattened_line_7-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.102&CDS=1-1251
16	OG0000016	YBR119W, YIR009W	genemark-flattened_line_208-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.9&CDS=1-702, genemark-flattened_line_23-processed-gene-1.171-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.171&CDS=1-573, genemark-flattened_line_234-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_234-processed-gene-0.36&CDS=1-360
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_107-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_107-processed-gene-0.21&CDS=1-1941
18	OG0000018	YDL080C, YGR087C, YLR044C, YLR134W	genemark-flattened_line_25-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.43&CDS=1-1815
19	OG0000019	YDL106C, YDR451C, YML027W	genemark-flattened_line_145-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_145-processed-gene-0.72&CDS=1-1392, genemark-flattened_line_15-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.48&CDS=1-2133
20	OG0000020	YDL138W, YDL194W	genemark-flattened_line_0-processed-gene-3.53-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.53&CDS=1-1602, genemark-flattened_line_33-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.84&CDS=1-1602, genemark-flattened_line_79-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.88&CDS=1-1605
21	OG0000021	YDR242W	genemark-flattened_line_0-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.83&CDS=1-1665, genemark-flattened_line_43-processed-gene-0.201-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.201&CDS=1-1629, genemark-flattened_line_49-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.127&CDS=1-1623, genemark-flattened_line_81-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.31&CDS=1-1665
22	OG0000022	YDR524C, YIL044C	maker-flattened_line_4-augustus-gene-2.40-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.40&CDS=1-1794, maker-flattened_line_4-snap-gene-0.145-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.145&CDS=1-1845, snap_masked-flattened_line_11-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.112&CDS=1-3234
23	OG0000023	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_7-processed-gene-2.50-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.50&CDS=1-723
24	OG0000024	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_11-processed-gene-1.246-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.246&CDS=1-996
25	OG0000025	YER155C	genemark-flattened_line_137-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_137-processed-gene-0.88&CDS=1-5565, snap_masked-flattened_line_107-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.62&CDS=1-342, snap_masked-flattened_line_427-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_427-processed-gene-0.5&CDS=1-1383, snap_masked-flattened_line_498-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_498-processed-gene-0.1&CDS=1-1242
26	OG0000026	YFL060C, YMR095C, YNL334C	genemark-flattened_line_4-processed-gene-2.271-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.271&CDS=1-810, maker-flattened_line_4-augustus-gene-0.115-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-0.115&CDS=1-753
27	OG0000027	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_163-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_163-processed-gene-0.23&CDS=1-762
28	OG0000028	YHR071W, YNL289W	genemark-flattened_line_15-processed-gene-1.230-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.230&CDS=1-1053, genemark-flattened_line_31-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_31-processed-gene-0.62&CDS=1-1137, snap_masked-flattened_line_13-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.92&CDS=1-1194
