	OrthologID	Lachancea_nothofagi	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
1	OG0000001	snap_masked-LANO0B-processed-gene-7.268-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-7.268&CDS=1-873, snap_masked-LANO0C-processed-gene-6.36-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-6.36&CDS=1-1029, snap_masked-LANO0F-processed-gene-2.119-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-2.119&CDS=1-1107, snap_masked-LANO0F-processed-gene-4.101-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-4.101&CDS=1-1071, snap_masked-LANO0G-processed-gene-15.49-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-15.49&CDS=1-483, snap_masked-LANO0H-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-6.31&CDS=1-1011	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
2	OG0000002	augustus_masked-LANO0B-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LANO0B-processed-gene-0.21&CDS=1-4656, augustus_masked-LANO0B-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-LANO0B-processed-gene-7.38&CDS=1-1473, augustus_masked-LANO0C-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LANO0C-processed-gene-0.87&CDS=1-1569, augustus_masked-LANO0C-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-LANO0C-processed-gene-0.88&CDS=1-1488, augustus_masked-LANO0D-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-0.19&CDS=1-2838, augustus_masked-LANO0D-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-10.70&CDS=1-1647, augustus_masked-LANO0E-processed-gene-15.177-mRNA-1_1&gene=augustus_masked-LANO0E-processed-gene-15.177&CDS=1-1656, augustus_masked-LANO0F-processed-gene-16.52-mRNA-1_1&gene=augustus_masked-LANO0F-processed-gene-16.52&CDS=1-5403, augustus_masked-LANO0G-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LANO0G-processed-gene-0.10&CDS=1-3033, augustus_masked-LANO0G-processed-gene-16.229-mRNA-1_1&gene=augustus_masked-LANO0G-processed-gene-16.229&CDS=1-3441, augustus_masked-LANO0H-processed-gene-22.41-mRNA-1_1&gene=augustus_masked-LANO0H-processed-gene-22.41&CDS=1-882, snap_masked-LANO0A-processed-gene-6.168-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.168&CDS=1-441, snap_masked-LANO0A-processed-gene-6.169-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-6.169&CDS=1-291, snap_masked-LANO0F-processed-gene-0.13-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-0.13&CDS=1-1191, snap_masked-LANO0F-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-0.14&CDS=1-570	
3	OG0000003		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
4	OG0000004	augustus_masked-LANO0D-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-0.23&CDS=1-624, augustus_masked-LANO0D-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-0.24&CDS=1-684, augustus_masked-LANO0D-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LANO0D-processed-gene-0.25&CDS=1-747, snap_masked-LANO0A-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.62&CDS=1-639, snap_masked-LANO0B-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-0.39&CDS=1-225, snap_masked-LANO0C-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-0.2&CDS=1-657, snap_masked-LANO0F-processed-gene-16.157-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-16.157&CDS=1-378, snap_masked-LANO0G-processed-gene-16.174-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-16.174&CDS=1-366	
5	OG0000005	snap_masked-LANO0A-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LANO0A-processed-gene-0.85&CDS=1-1407, snap_masked-LANO0D-processed-gene-10.132-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.132&CDS=1-1398, snap_masked-LANO0F-processed-gene-16.117-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-16.117&CDS=1-1410, snap_masked-LANO0G-processed-gene-16.130-mRNA-1_1&gene=snap_masked-LANO0G-processed-gene-16.130&CDS=1-1407	YAR071W, YBR092C, YBR093C, YHR215W
6	OG0000006	snap_masked-LANO0B-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-0.40&CDS=1-1209, snap_masked-LANO0D-processed-gene-10.138-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-10.138&CDS=1-1191, snap_masked-LANO0E-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LANO0E-processed-gene-0.64&CDS=1-1119, snap_masked-LANO0F-processed-gene-7.44-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-7.44&CDS=1-1200, snap_masked-LANO0H-processed-gene-22.216-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-22.216&CDS=1-1101	YHR179W, YPL171C
7	OG0000007	snap_masked-LANO0B-processed-gene-7.261-mRNA-1_1&gene=snap_masked-LANO0B-processed-gene-7.261&CDS=1-6522	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
8	OG0000008	snap_masked-LANO0C-processed-gene-4.11-mRNA-1_1&gene=snap_masked-LANO0C-processed-gene-4.11&CDS=1-1053, snap_masked-LANO0D-processed-gene-6.98-mRNA-1_1&gene=snap_masked-LANO0D-processed-gene-6.98&CDS=1-1167, snap_masked-LANO0F-processed-gene-9.57-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-9.57&CDS=1-1050, snap_masked-LANO0H-processed-gene-22.181-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-22.181&CDS=1-1062	YMR083W, YMR303C, YOL086C
9	OG0000009	snap_masked-LANO0F-processed-gene-11.98-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-11.98&CDS=1-1947, snap_masked-LANO0F-processed-gene-4.82-mRNA-1_1&gene=snap_masked-LANO0F-processed-gene-4.82&CDS=1-1920, snap_masked-LANO0H-processed-gene-8.65-mRNA-1_1&gene=snap_masked-LANO0H-processed-gene-8.65&CDS=1-2040	YAL005C, YER103W, YJL034W, YLL024C
