	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034918_Nakazawaea_holstii
0	OG0000000	YGR134W	augustus_masked-flattened_line_119-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.72&CDS=1-2619, augustus_masked-flattened_line_272-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_272-processed-gene-0.29&CDS=1-1908, augustus_masked-flattened_line_316-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_316-processed-gene-0.24&CDS=1-2457, augustus_masked-flattened_line_34-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.196&CDS=1-2490, augustus_masked-flattened_line_56-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.171&CDS=1-2328, snap_masked-flattened_line_107-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.65&CDS=1-729, snap_masked-flattened_line_107-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.84&CDS=1-813, snap_masked-flattened_line_119-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_119-processed-gene-0.6&CDS=1-2802, snap_masked-flattened_line_155-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.39&CDS=1-249, snap_masked-flattened_line_199-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.16&CDS=1-1629, snap_masked-flattened_line_22-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.109&CDS=1-2628, snap_masked-flattened_line_22-processed-gene-1.65-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.65&CDS=1-2580, snap_masked-flattened_line_242-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_242-processed-gene-0.32&CDS=1-1224, snap_masked-flattened_line_80-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.37&CDS=1-2223, snap_masked-flattened_line_83-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.66&CDS=1-2565, snap_masked-flattened_line_85-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.146&CDS=1-2643
1	OG0000001	YLR412W	augustus_masked-flattened_line_0-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.43&CDS=1-1929, augustus_masked-flattened_line_147-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.87&CDS=1-3177, augustus_masked-flattened_line_207-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_207-processed-gene-0.35&CDS=1-1026, augustus_masked-flattened_line_278-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_278-processed-gene-0.6&CDS=1-852, augustus_masked-flattened_line_28-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.38&CDS=1-2298, augustus_masked-flattened_line_54-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.43&CDS=1-1125, augustus_masked-flattened_line_60-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.84&CDS=1-1026, augustus_masked-flattened_line_87-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.15&CDS=1-1209, augustus_masked-flattened_line_87-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.3&CDS=1-798, augustus_masked-flattened_line_97-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.70&CDS=1-1092, snap_masked-flattened_line_143-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.39&CDS=1-1533, snap_masked-flattened_line_16-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.26&CDS=1-1155, snap_masked-flattened_line_54-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.123&CDS=1-1047, snap_masked-flattened_line_87-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.68&CDS=1-1254, snap_masked-flattened_line_99-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.14&CDS=1-1020
2	OG0000002		augustus_masked-flattened_line_117-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.81&CDS=1-1095, augustus_masked-flattened_line_230-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.39&CDS=1-1683, augustus_masked-flattened_line_246-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_246-processed-gene-0.3&CDS=1-2658, augustus_masked-flattened_line_268-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_268-processed-gene-0.24&CDS=1-1260, augustus_masked-flattened_line_379-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_379-processed-gene-0.1&CDS=1-1152, augustus_masked-flattened_line_56-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.182&CDS=1-1143, augustus_masked-flattened_line_72-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.116&CDS=1-1206, genemark-flattened_line_2-processed-gene-2.225-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.225&CDS=1-2685, genemark-flattened_line_500-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_500-processed-gene-0.2&CDS=1-1206, snap_masked-flattened_line_141-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.40&CDS=1-1194, snap_masked-flattened_line_167-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.52&CDS=1-1860, snap_masked-flattened_line_199-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.10&CDS=1-1299, snap_masked-flattened_line_250-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_250-processed-gene-0.8&CDS=1-2169, snap_masked-flattened_line_36-processed-gene-0.198-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.198&CDS=1-2367, snap_masked-flattened_line_44-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.37&CDS=1-1227, snap_masked-flattened_line_66-processed-gene-0.141-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.141&CDS=1-2202
3	OG0000003	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_58-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.37&CDS=1-1035, genemark-flattened_line_258-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_258-processed-gene-0.35&CDS=1-1104, maker-flattened_line_258-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_258-snap-gene-0.38&CDS=1-3072, maker-flattened_line_284-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_284-snap-gene-0.7&CDS=1-1038, maker-flattened_line_89-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.44&CDS=1-855, snap_masked-flattened_line_10-processed-gene-1.146-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.146&CDS=1-1056, snap_masked-flattened_line_4-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.98&CDS=1-1125, snap_masked-flattened_line_74-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.160&CDS=1-1104, snap_masked-flattened_line_74-processed-gene-0.161-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.161&CDS=1-1104, snap_masked-flattened_line_74-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.162&CDS=1-1104, snap_masked-flattened_line_74-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.163&CDS=1-1107
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_107-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.58&CDS=1-1038, snap_masked-flattened_line_137-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.39&CDS=1-1035, snap_masked-flattened_line_2-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.68&CDS=1-1038, snap_masked-flattened_line_288-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_288-processed-gene-0.24&CDS=1-1041, snap_masked-flattened_line_56-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.67&CDS=1-1089, snap_masked-flattened_line_6-processed-gene-2.164-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.164&CDS=1-1041
5	OG0000005	YGR177C, YGR212W, YOR377W, YPL272C	augustus_masked-flattened_line_2-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.113&CDS=1-1311, augustus_masked-flattened_line_210-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_210-processed-gene-0.75&CDS=1-1458, snap_masked-flattened_line_115-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.4&CDS=1-1443, snap_masked-flattened_line_20-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.25&CDS=1-1314, snap_masked-flattened_line_60-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.37&CDS=1-1377, snap_masked-flattened_line_95-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.21&CDS=1-1455
6	OG0000006	YGL257C, YNR059W	augustus_masked-flattened_line_66-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.22&CDS=1-1884, genemark-flattened_line_6-processed-gene-2.10-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.10&CDS=1-2103, maker-flattened_line_50-snap-gene-0.73-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.73&CDS=1-3846, snap_masked-flattened_line_16-processed-gene-1.175-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.175&CDS=1-2025, snap_masked-flattened_line_2-processed-gene-2.36-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.36&CDS=1-1944, snap_masked-flattened_line_66-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.134&CDS=1-2001, snap_masked-flattened_line_66-processed-gene-0.168-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.168&CDS=1-1962
7	OG0000007	YGR281W	augustus_masked-flattened_line_8-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.109&CDS=1-4005, maker-flattened_line_64-snap-gene-0.60-mRNA-1_1&gene=maker-flattened_line_64-snap-gene-0.60&CDS=1-8358, snap_masked-flattened_line_10-processed-gene-1.181-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.181&CDS=1-4059, snap_masked-flattened_line_2-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.59&CDS=1-4068, snap_masked-flattened_line_205-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_205-processed-gene-0.26&CDS=1-4071, snap_masked-flattened_line_66-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.140&CDS=1-4059, snap_masked-flattened_line_83-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.68&CDS=1-4125, snap_masked-flattened_line_93-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_93-processed-gene-0.66&CDS=1-4176
8	OG0000008	YCL075W	augustus_masked-flattened_line_755-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_755-processed-gene-0.2&CDS=1-297, augustus_masked-flattened_line_875-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_875-processed-gene-0.1&CDS=1-162, snap_masked-flattened_line_1109-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1109-processed-gene-0.0&CDS=1-195, snap_masked-flattened_line_367-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_367-processed-gene-0.5&CDS=1-927, snap_masked-flattened_line_613-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_613-processed-gene-0.0&CDS=1-516, snap_masked-flattened_line_789-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_789-processed-gene-0.1&CDS=1-195, snap_masked-flattened_line_931-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_931-processed-gene-0.0&CDS=1-189
9	OG0000009	YHL032C, YJL172W, YOL153C	genemark-flattened_line_2-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.126&CDS=1-2541, maker-flattened_line_125-snap-gene-0.73-mRNA-1_1&gene=maker-flattened_line_125-snap-gene-0.73&CDS=1-3510, maker-flattened_line_153-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_153-snap-gene-0.0&CDS=1-3621, snap_masked-flattened_line_195-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_195-processed-gene-0.28&CDS=1-1752, snap_masked-flattened_line_42-processed-gene-0.189-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.189&CDS=1-1770
