	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035677_Kodamaea_ohmeri
0	OG0000000	YIL015W	augustus_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-0.85&CDS=1-1137, augustus_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NODE_12_length_293403_cov_12.573_ID_23-processed-gene-1.185&CDS=1-1134, augustus_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-1.11&CDS=1-1137, augustus_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_3_length_792866_cov_15.5115_ID_5-processed-gene-1.20&CDS=1-1122, augustus_masked-NODE_57_length_30054_cov_12.6882_ID_113-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_57_length_30054_cov_12.6882_ID_113-processed-gene-0.13&CDS=1-1197, augustus_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-0.86&CDS=1-1332, maker-NODE_4_length_741425_cov_15.4069_ID_7-snap-gene-3.85-mRNA-1_1&gene=maker-NODE_4_length_741425_cov_15.4069_ID_7-snap-gene-3.85&CDS=1-1401, snap_masked-NODE_10_length_305918_cov_13.4552_ID_19-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_10_length_305918_cov_13.4552_ID_19-processed-gene-0.6&CDS=1-1131, snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-7.7&CDS=1-1203, snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.68&CDS=1-1158, snap_masked-NODE_26_length_177896_cov_14.2002_ID_51-processed-gene-0.200-mRNA-1_1&gene=snap_masked-NODE_26_length_177896_cov_14.2002_ID_51-processed-gene-0.200&CDS=1-1179, snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.155-mRNA-1_1&gene=snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.155&CDS=1-1125, snap_masked-NODE_46_length_46476_cov_16.2471_ID_91-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_46_length_46476_cov_16.2471_ID_91-processed-gene-0.34&CDS=1-1215, snap_masked-NODE_46_length_46476_cov_16.2471_ID_91-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_46_length_46476_cov_16.2471_ID_91-processed-gene-0.39&CDS=1-1167
1	OG0000001	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.236&CDS=1-1371, snap_masked-NODE_15_length_252352_cov_13.2114_ID_29-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_15_length_252352_cov_13.2114_ID_29-processed-gene-0.105&CDS=1-1416, snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-4.16&CDS=1-1386, snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.67&CDS=1-1368, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-7.233-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-7.233&CDS=1-1386, snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-6.197-mRNA-1_1&gene=snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-6.197&CDS=1-1386
2	OG0000002	YDR143C, YDR144C, YLR120C, YLR121C	augustus_masked-NODE_24_length_182254_cov_14.4319_ID_47-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_24_length_182254_cov_14.4319_ID_47-processed-gene-0.58&CDS=1-1257, augustus_masked-NODE_63_length_9733_cov_24.2127_ID_125-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_63_length_9733_cov_24.2127_ID_125-processed-gene-0.8&CDS=1-2364, maker-NODE_16_length_237626_cov_15.7118_ID_31-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_16_length_237626_cov_15.7118_ID_31-snap-gene-0.35&CDS=1-3153, snap_masked-NODE_20_length_227058_cov_17.6942_ID_39-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_20_length_227058_cov_17.6942_ID_39-processed-gene-0.3&CDS=1-1878, snap_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_22_length_209901_cov_17.8091_ID_43-processed-gene-0.4&CDS=1-543, snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.142&CDS=1-1461
3	OG0000003	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YMR011W	snap_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_14_length_273670_cov_15.0565_ID_27-processed-gene-1.81&CDS=1-1650, snap_masked-NODE_17_length_234519_cov_13.9347_ID_33-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_17_length_234519_cov_13.9347_ID_33-processed-gene-1.18&CDS=1-1671, snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.119&CDS=1-1680
4	OG0000004	YKR039W, YLL061W, YPL274W	snap_masked-NODE_18_length_232390_cov_14.1389_ID_35-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_18_length_232390_cov_14.1389_ID_35-processed-gene-1.169&CDS=1-1821, snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.63&CDS=1-1752, snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_29_length_158475_cov_14.1818_ID_57-processed-gene-0.134&CDS=1-1731, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-6.13-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-6.13&CDS=1-1779, snap_masked-NODE_44_length_48808_cov_20.7393_ID_87-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_44_length_48808_cov_20.7393_ID_87-processed-gene-0.68&CDS=1-1761, snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-6.162-mRNA-1_1&gene=snap_masked-NODE_4_length_741425_cov_15.4069_ID_7-processed-gene-6.162&CDS=1-1665, snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NODE_8_length_426733_cov_14.3051_ID_15-processed-gene-2.20&CDS=1-1761
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_13_length_280641_cov_16.5591_ID_25-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_13_length_280641_cov_16.5591_ID_25-processed-gene-0.115&CDS=1-1716, snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.26&CDS=1-1716
6	OG0000006	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_11_length_302404_cov_13.98_ID_21-processed-gene-2.41&CDS=1-1692, snap_masked-NODE_13_length_280641_cov_16.5591_ID_25-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_13_length_280641_cov_16.5591_ID_25-processed-gene-0.145&CDS=1-1737, snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_23_length_199208_cov_13.2896_ID_45-processed-gene-0.62&CDS=1-1737, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-6.48&CDS=1-1692
7	OG0000007	YDR406W, YOR153W	augustus_masked-NODE_65_length_5818_cov_15.5374_ID_129-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_65_length_5818_cov_15.5374_ID_129-processed-gene-0.0&CDS=1-1770, augustus_masked-NODE_65_length_5818_cov_15.5374_ID_129-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_65_length_5818_cov_15.5374_ID_129-processed-gene-0.1&CDS=1-2430, augustus_masked-NODE_66_length_5317_cov_16.9144_ID_131-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_66_length_5317_cov_16.9144_ID_131-processed-gene-0.4&CDS=1-1773, augustus_masked-NODE_66_length_5317_cov_16.9144_ID_131-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_66_length_5317_cov_16.9144_ID_131-processed-gene-0.5&CDS=1-2421, genemark-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_34_length_127657_cov_13.63_ID_67-processed-gene-0.71&CDS=1-6018, snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NODE_1_length_1041238_cov_15.1557_ID_1-processed-gene-4.22&CDS=1-4569
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_57_length_30054_cov_12.6882_ID_113-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_57_length_30054_cov_12.6882_ID_113-processed-gene-0.12&CDS=1-2220, genemark-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-1.141&CDS=1-2595, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-3.12&CDS=1-3372, snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_7_length_499820_cov_13.769_ID_13-processed-gene-0.82&CDS=1-2142
9	OG0000009	YLR256W	augustus_masked-NODE_36_length_101018_cov_14.4863_ID_71-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_36_length_101018_cov_14.4863_ID_71-processed-gene-0.68&CDS=1-2781, augustus_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_9_length_318665_cov_14.3369_ID_17-processed-gene-0.93&CDS=1-3183, genemark-NODE_17_length_234519_cov_13.9347_ID_33-processed-gene-1.152-mRNA-1_1&gene=genemark-NODE_17_length_234519_cov_13.9347_ID_33-processed-gene-1.152&CDS=1-3420, maker-NODE_21_length_212803_cov_14.0192_ID_41-snap-gene-0.79-mRNA-1_1&gene=maker-NODE_21_length_212803_cov_14.0192_ID_41-snap-gene-0.79&CDS=1-6273, maker-NODE_5_length_558232_cov_15.6684_ID_9-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_5_length_558232_cov_15.6684_ID_9-snap-gene-0.0&CDS=1-3399, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-1.6&CDS=1-1350, snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_2_length_879785_cov_13.6258_ID_3-processed-gene-2.35&CDS=1-3183
