	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041840_Candida_wancherniae
0	OG0000000	YCL069W, YGR224W, YKR105C, YMR088C, YPR198W	augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.133&CDS=1-1734, augustus_masked-NODE_14_length_294837_cov_43.2695_ID_1346-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_14_length_294837_cov_43.2695_ID_1346-processed-gene-0.123&CDS=1-1782, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-7.29&CDS=1-1704, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.108&CDS=1-1803, augustus_masked-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_8_length_429724_cov_46.1698_ID_1196-processed-gene-2.87&CDS=1-1713
1	OG0000001	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.162-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.162&CDS=1-2532, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-3.12&CDS=1-3957, augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-5.19&CDS=1-2274, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-5.21&CDS=1-3243, maker-NODE_3_length_991520_cov_48.5334_ID_1053-augustus-gene-8.278-mRNA-1_1&gene=maker-NODE_3_length_991520_cov_48.5334_ID_1053-augustus-gene-8.278&CDS=1-6090
2	OG0000002	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
3	OG0000003	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.117&CDS=1-1683, augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.118&CDS=1-1551, augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.120&CDS=1-1815, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.159&CDS=1-1698, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-0.60&CDS=1-1671, snap_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_13_length_302379_cov_64.3008_ID_1562-processed-gene-0.26&CDS=1-1737
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_17_length_173294_cov_67.7439_ID_1487-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_17_length_173294_cov_67.7439_ID_1487-processed-gene-0.183&CDS=1-1032, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.143-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-15.143&CDS=1-7713, augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_2_length_1010902_cov_46.2783_ID_931-processed-gene-3.100&CDS=1-1002, augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-4.76&CDS=1-990, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-1.128&CDS=1-1017
5	OG0000005	YCL024W, YDR477W, YDR507C, YOR233W, YPL141C	augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-2.65&CDS=1-3870, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-7.28&CDS=1-2328, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.89&CDS=1-3600
6	OG0000006	YJR061W, YKL201C	augustus_masked-NODE_15_length_216817_cov_40.2879_ID_1764-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_15_length_216817_cov_40.2879_ID_1764-processed-gene-1.158&CDS=1-2526, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-6.113&CDS=1-2268, augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-NODE_3_length_991520_cov_48.5334_ID_1053-processed-gene-8.117&CDS=1-2535, augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-0.85&CDS=1-2274, augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NODE_6_length_814528_cov_41.1598_ID_979-processed-gene-5.103&CDS=1-1176, snap_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NODE_5_length_881935_cov_49.742_ID_1127-processed-gene-1.57&CDS=1-1809
7	OG0000007	YKR039W, YLL061W, YPL274W	augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.180-mRNA-1_1&gene=augustus_masked-NODE_10_length_357717_cov_45.4729_ID_1263-processed-gene-2.180&CDS=1-1662, augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_12_length_339908_cov_62.0418_ID_1277-processed-gene-0.90&CDS=1-1770, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-10.104&CDS=1-1725, augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1621444_cov_47.3939_ID_889-processed-gene-10.90&CDS=1-1755, augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NODE_7_length_609123_cov_48.3247_ID_1015-processed-gene-4.37&CDS=1-1713
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-0.56&CDS=1-1386
9	OG0000009	YBR015C, YJL186W, YLR351C	augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_883457_cov_51.0448_ID_1210-processed-gene-7.91&CDS=1-2016, maker-NODE_4_length_883457_cov_51.0448_ID_1210-augustus-gene-1.142-mRNA-1_1&gene=maker-NODE_4_length_883457_cov_51.0448_ID_1210-augustus-gene-1.142&CDS=1-2355, maker-NODE_6_length_814528_cov_41.1598_ID_979-augustus-gene-2.57-mRNA-1_1&gene=maker-NODE_6_length_814528_cov_41.1598_ID_979-augustus-gene-2.57&CDS=1-2595
