	OrthologID	Candida_sojae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-LMTL01000002.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-LMTL01000002.1-processed-gene-1.141&CDS=1-2085, augustus_masked-LMTL01000004.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-LMTL01000004.1-processed-gene-0.123&CDS=1-2202, augustus_masked-LMTL01000004.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-LMTL01000004.1-processed-gene-0.163&CDS=1-2169, augustus_masked-LMTL01000011.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000011.1-processed-gene-0.17&CDS=1-2118, augustus_masked-LMTL01000027.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-LMTL01000027.1-processed-gene-0.89&CDS=1-2082, augustus_masked-LMTL01000038.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000038.1-processed-gene-0.20&CDS=1-2121, augustus_masked-LMTL01000048.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000048.1-processed-gene-0.0&CDS=1-2091, augustus_masked-LMTL01000091.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000091.1-processed-gene-0.11&CDS=1-2091, genemark-LMTL01000185.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LMTL01000185.1-processed-gene-0.2&CDS=1-1098, maker-LMTL01000029.1-snap-gene-0.65-mRNA-1_1&gene=maker-LMTL01000029.1-snap-gene-0.65&CDS=1-4131, maker-LMTL01000223.1-snap-gene-0.21-mRNA-1_1&gene=maker-LMTL01000223.1-snap-gene-0.21&CDS=1-4470	
1	OG0000001	augustus_masked-LMTL01000067.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000067.1-processed-gene-0.6&CDS=1-1551, augustus_masked-LMTL01000133.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LMTL01000133.1-processed-gene-0.57&CDS=1-1725, augustus_masked-LMTL01000267.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LMTL01000267.1-processed-gene-0.93&CDS=1-1692, augustus_masked-LMTL01000444.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000444.1-processed-gene-0.1&CDS=1-1344	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
2	OG0000002	augustus_masked-LMTL01000027.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LMTL01000027.1-processed-gene-0.70&CDS=1-1791, augustus_masked-LMTL01000125.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LMTL01000125.1-processed-gene-0.67&CDS=1-2232, augustus_masked-LMTL01000157.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000157.1-processed-gene-0.11&CDS=1-2073, augustus_masked-LMTL01000235.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000235.1-processed-gene-0.5&CDS=1-2340, maker-LMTL01000027.1-augustus-gene-0.56-mRNA-1_1&gene=maker-LMTL01000027.1-augustus-gene-0.56&CDS=1-4605, snap_masked-LMTL01000027.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-LMTL01000027.1-processed-gene-0.121&CDS=1-1845	YGL257C, YNR059W
3	OG0000003	augustus_masked-LMTL01000080.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000080.1-processed-gene-0.21&CDS=1-1878, augustus_masked-LMTL01000148.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.37&CDS=1-1902, augustus_masked-LMTL01000148.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.41&CDS=1-1902, maker-LMTL01000263.1-snap-gene-0.0-mRNA-1_1&gene=maker-LMTL01000263.1-snap-gene-0.0&CDS=1-1884	YCL069W, YGR224W, YKR105C, YPR198W
4	OG0000004	augustus_masked-LMTL01000013.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000013.1-processed-gene-0.30&CDS=1-3195, augustus_masked-LMTL01000040.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LMTL01000040.1-processed-gene-0.54&CDS=1-3165, augustus_masked-LMTL01000069.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LMTL01000069.1-processed-gene-0.84&CDS=1-3819, augustus_masked-LMTL01000191.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.18&CDS=1-2475, genemark-LMTL01000035.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LMTL01000035.1-processed-gene-0.14&CDS=1-3606, genemark-LMTL01000049.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LMTL01000049.1-processed-gene-0.5&CDS=1-2478, genemark-LMTL01000069.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LMTL01000069.1-processed-gene-0.24&CDS=1-3561	
5	OG0000005	augustus_masked-LMTL01000085.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000085.1-processed-gene-0.18&CDS=1-7341, augustus_masked-LMTL01000392.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000392.1-processed-gene-0.0&CDS=1-1818, augustus_masked-LMTL01000430.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000430.1-processed-gene-0.1&CDS=1-1422, genemark-LMTL01000115.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LMTL01000115.1-processed-gene-0.48&CDS=1-1386, genemark-LMTL01000132.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000132.1-processed-gene-0.0&CDS=1-1344, maker-LMTL01000058.1-augustus-gene-0.5-mRNA-1_1&gene=maker-LMTL01000058.1-augustus-gene-0.5&CDS=1-1617	YJR004C
6	OG0000006	genemark-LMTL01000126.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000126.1-processed-gene-0.0&CDS=1-846, maker-LMTL01000004.1-augustus-gene-0.93-mRNA-1_1&gene=maker-LMTL01000004.1-augustus-gene-0.93&CDS=1-957	YDR541C, YGL039W, YGL157W, YOL151W
7	OG0000007	augustus_masked-LMTL01000045.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000045.1-processed-gene-0.8&CDS=1-3024, augustus_masked-LMTL01000120.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000120.1-processed-gene-0.25&CDS=1-2283, augustus_masked-LMTL01000120.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000120.1-processed-gene-0.34&CDS=1-4230, genemark-LMTL01000190.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LMTL01000190.1-processed-gene-0.29&CDS=1-2103	YJR061W, YKL201C
8	OG0000008	augustus_masked-LMTL01000047.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000047.1-processed-gene-0.17&CDS=1-2235, augustus_masked-LMTL01000268.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000268.1-processed-gene-0.36&CDS=1-3018	YDR253C, YGR067C, YMR182C, YPL230W
9	OG0000009	augustus_masked-LMTL01000067.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000067.1-processed-gene-0.4&CDS=1-1752, augustus_masked-LMTL01000133.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000133.1-processed-gene-0.50&CDS=1-1770	YBR298C, YDL247W, YGR289C, YJR160C
