	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034669_Blastobotrys_raffinofermentans
0	OG0000000	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YOL156W	augustus_masked-flattened_line_21-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.86&CDS=1-1668
1	OG0000001	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_0-processed-gene-28.192-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-28.192&CDS=1-1584, augustus_masked-flattened_line_10-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.97&CDS=1-1596, augustus_masked-flattened_line_18-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.29&CDS=1-1602, augustus_masked-flattened_line_18-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.144&CDS=1-1602, augustus_masked-flattened_line_34-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.50&CDS=1-1626, augustus_masked-flattened_line_4-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.54&CDS=1-1680, augustus_masked-flattened_line_8-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.86&CDS=1-1593
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_4-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.21&CDS=1-1740
3	OG0000003	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_0-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.28&CDS=1-1038, augustus_masked-flattened_line_2-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.82&CDS=1-1038, augustus_masked-flattened_line_8-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.141&CDS=1-1035, maker-flattened_line_2-augustus-gene-6.12-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-6.12&CDS=1-1971
4	OG0000004	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_10-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.47&CDS=1-1578, augustus_masked-flattened_line_26-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.64&CDS=1-1677, augustus_masked-flattened_line_6-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.143&CDS=1-1674, augustus_masked-flattened_line_6-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.129&CDS=1-1677
5	OG0000005	YHR179W, YPL171C	augustus_masked-flattened_line_0-processed-gene-27.153-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-27.153&CDS=1-1098, augustus_masked-flattened_line_26-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.129&CDS=1-1086, augustus_masked-flattened_line_26-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.130&CDS=1-1122, augustus_masked-flattened_line_26-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.133&CDS=1-1119, maker-flattened_line_26-augustus-gene-1.257-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-1.257&CDS=1-2193
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_56-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.23&CDS=1-2052, maker-flattened_line_16-snap-gene-0.156-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-0.156&CDS=1-3633
7	OG0000007	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_2-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.29&CDS=1-1812, augustus_masked-flattened_line_21-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.95&CDS=1-1713
8	OG0000008	YDR402C, YGR063C	augustus_masked-flattened_line_10-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.166&CDS=1-1566, augustus_masked-flattened_line_42-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.48&CDS=1-1617, maker-flattened_line_0-augustus-gene-23.160-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-23.160&CDS=1-1923, maker-flattened_line_12-snap-gene-1.64-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.64&CDS=1-3114
9	OG0000009	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_12-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.71&CDS=1-699, augustus_masked-flattened_line_21-processed-gene-2.230-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.230&CDS=1-708
