	OrthologID	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-NABA0S03-processed-gene-6.226-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.226&CDS=1-1710, augustus_masked-NABA0S09-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-2.29&CDS=1-1551, augustus_masked-NABA0S12-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S12-processed-gene-0.2&CDS=1-1665, augustus_masked-NABA0S15-processed-gene-10.190-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-10.190&CDS=1-1668, augustus_masked-NABA0S25-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.73&CDS=1-1710, maker-NABA0S09-augustus-gene-2.57-mRNA-1_1&gene=maker-NABA0S09-augustus-gene-2.57&CDS=1-1233, maker-NABA0S37-snap-gene-6.2-mRNA-1_1&gene=maker-NABA0S37-snap-gene-6.2&CDS=1-4644	YDR342C, YDR343C, YHR092C, YNL318C
1	OG0000001	augustus_masked-NABA0S02-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.81&CDS=1-1059, augustus_masked-NABA0S10-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-1.88&CDS=1-1314, augustus_masked-NABA0S25-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.93&CDS=1-1410, augustus_masked-NABA0S26-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.30&CDS=1-1092	YIL123W, YJL116C, YKR042W, YNL066W
2	OG0000002	augustus_masked-NABA0S06-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.167&CDS=1-3108, augustus_masked-NABA0S08-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.27&CDS=1-1590, augustus_masked-NABA0S09-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-2.37&CDS=1-2211, augustus_masked-NABA0S15-processed-gene-10.191-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-10.191&CDS=1-2271, augustus_masked-NABA0S21-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NABA0S21-processed-gene-0.1&CDS=1-1509, augustus_masked-NABA0S29-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-10.141&CDS=1-2175, snap_masked-NABA0S25-processed-gene-11.33-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-11.33&CDS=1-609, snap_masked-NABA0S37-processed-gene-10.190-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-10.190&CDS=1-2067	
3	OG0000003	augustus_masked-NABA0S15-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-0.16&CDS=1-1200, augustus_masked-NABA0S18-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NABA0S18-processed-gene-0.0&CDS=1-1206, augustus_masked-NABA0S23-processed-gene-3.218-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.218&CDS=1-1200, augustus_masked-NABA0S25-processed-gene-11.135-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.135&CDS=1-1200, augustus_masked-NABA0S27-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S27-processed-gene-0.2&CDS=1-1200, augustus_masked-NABA0S29-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.21&CDS=1-1200	YHR179W, YPL171C
4	OG0000004	augustus_masked-NABA0S01-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.193&CDS=1-936, augustus_masked-NABA0S34-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-3.5&CDS=1-1359, augustus_masked-NABA0S37-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-5.97&CDS=1-2136, genemark-NABA0S25-processed-gene-2.3-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.3&CDS=1-1956	YER133W, YML016C, YPL179W
5	OG0000005	augustus_masked-NABA0S02-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-6.38&CDS=1-3234, augustus_masked-NABA0S03-processed-gene-6.191-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.191&CDS=1-1551, augustus_masked-NABA0S29-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-7.147&CDS=1-1497, genemark-NABA0S03-processed-gene-4.77-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-4.77&CDS=1-1929	YER073W, YOR374W, YPL061W
6	OG0000006	augustus_masked-NABA0S03-processed-gene-6.225-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.225&CDS=1-2103, augustus_masked-NABA0S06-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.186&CDS=1-2082, snap_masked-NABA0S03-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-0.0&CDS=1-1824, snap_masked-NABA0S06-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NABA0S06-processed-gene-1.69&CDS=1-1881, snap_masked-NABA0S32-processed-gene-3.202-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.202&CDS=1-3051, snap_masked-NABA0S37-processed-gene-10.189-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-10.189&CDS=1-2280	YOR373W
7	OG0000007	augustus_masked-NABA0S03-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.21&CDS=1-1638, augustus_masked-NABA0S03-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.40&CDS=1-1602, augustus_masked-NABA0S06-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.178&CDS=1-1647, augustus_masked-NABA0S06-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.181&CDS=1-1608	YER056C, YER060W, YER060W-A
8	OG0000008	augustus_masked-NABA0S15-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-9.31&CDS=1-1830, augustus_masked-NABA0S37-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.75&CDS=1-2007, maker-NABA0S29-snap-gene-3.40-mRNA-1_1&gene=maker-NABA0S29-snap-gene-3.40&CDS=1-3615	YBR068C, YCL025C, YDR046C, YKR039W
9	OG0000009	augustus_masked-NABA0S23-processed-gene-3.248-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.248&CDS=1-1923, augustus_masked-NABA0S34-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-5.98&CDS=1-1935, augustus_masked-NABA0S37-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-7.20&CDS=1-2055	YAL005C, YER103W, YJL034W, YLL024C
10	OG0000010	augustus_masked-NABA0S01-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.234&CDS=1-2292, augustus_masked-NABA0S15-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-0.12&CDS=1-2811, snap_masked-NABA0S23-processed-gene-3.111-mRNA-1_1&gene=snap_masked-NABA0S23-processed-gene-3.111&CDS=1-1863	YLR266C, YOR162C, YOR172W
11	OG0000011	augustus_masked-NABA0S03-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.40&CDS=1-1203, augustus_masked-NABA0S37-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-2.109&CDS=1-1251, augustus_masked-NABA0S37-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-2.137&CDS=1-2664	YBR155W, YBR205W, YOR099W
12	OG0000012	augustus_masked-NABA0S26-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-1.141&CDS=1-3312, augustus_masked-NABA0S37-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-0.114&CDS=1-2310, genemark-NABA0S03-processed-gene-5.112-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-5.112&CDS=1-5175	YER013W, YGL120C, YKR086W
13	OG0000013	genemark-NABA0S08-processed-gene-5.64-mRNA-1_1&gene=genemark-NABA0S08-processed-gene-5.64&CDS=1-5016, genemark-NABA0S25-processed-gene-8.52-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-8.52&CDS=1-2514	YKL121W, YKL126W, YMR102C, YMR104C
14	OG0000014	augustus_masked-NABA0S08-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.22&CDS=1-1428	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
15	OG0000015	augustus_masked-NABA0S25-processed-gene-11.147-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.147&CDS=1-5385, maker-NABA0S15-augustus-gene-3.118-mRNA-1_1&gene=maker-NABA0S15-augustus-gene-3.118&CDS=1-4785, maker-NABA0S27-augustus-gene-2.1-mRNA-1_1&gene=maker-NABA0S27-augustus-gene-2.1&CDS=1-4842	YGR032W, YLR342W, YMR306W
16	OG0000016	augustus_masked-NABA0S23-processed-gene-3.235-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.235&CDS=1-2187, augustus_masked-NABA0S25-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.112&CDS=1-2058, augustus_masked-NABA0S29-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-3.27&CDS=1-2976, genemark-NABA0S23-processed-gene-2.71-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-2.71&CDS=1-2916	YBR059C, YIL095W
17	OG0000017	snap_masked-NABA0S26-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NABA0S26-processed-gene-2.124&CDS=1-276, snap_masked-NABA0S26-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NABA0S26-processed-gene-2.129&CDS=1-345	YHL009W-A, YHL009W-B, YJL114W, YPL060C-A
18	OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
19	OG0000019	augustus_masked-NABA0S01-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.213&CDS=1-1410, augustus_masked-NABA0S32-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.116&CDS=1-1407, augustus_masked-NABA0S32-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.33&CDS=1-1461	YBR263W, YLR058C
20	OG0000020	augustus_masked-NABA0S01-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.188&CDS=1-1485, augustus_masked-NABA0S03-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.7&CDS=1-1617, augustus_masked-NABA0S10-processed-gene-2.262-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.262&CDS=1-1650	YER123W, YNL154C
21	OG0000021	augustus_masked-NABA0S02-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.1&CDS=1-1791, augustus_masked-NABA0S37-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.82&CDS=1-1872, snap_masked-NABA0S37-processed-gene-9.26-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-9.26&CDS=1-1719	YEL063C, YNL268W
22	OG0000022	augustus_masked-NABA0S02-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.19&CDS=1-1233, augustus_masked-NABA0S23-processed-gene-3.195-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.195&CDS=1-1254, augustus_masked-NABA0S27-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NABA0S27-processed-gene-3.29&CDS=1-1266	YDL066W, YLR174W
23	OG0000023	augustus_masked-NABA0S02-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.29&CDS=1-1272, maker-NABA0S32-augustus-gene-3.83-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-3.83&CDS=1-2700	YFR024C-A, YHR016C, YHR018C
24	OG0000024	augustus_masked-NABA0S02-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.80&CDS=1-1611, augustus_masked-NABA0S32-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.112&CDS=1-1059, augustus_masked-NABA0S37-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-10.64&CDS=1-2196	YER040W, YFL021W
25	OG0000025	augustus_masked-NABA0S10-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-1.99&CDS=1-1845, augustus_masked-NABA0S10-processed-gene-2.210-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.210&CDS=1-3399, maker-NABA0S03-augustus-gene-1.48-mRNA-1_1&gene=maker-NABA0S03-augustus-gene-1.48&CDS=1-5142	YNL104C, YOR109W
26	OG0000026	augustus_masked-NABA0S03-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.100&CDS=1-1686, augustus_masked-NABA0S08-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-1.33&CDS=1-6309	YGR092W, YGR094W, YPR111W
27	OG0000027	augustus_masked-NABA0S03-processed-gene-6.173-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.173&CDS=1-2286, augustus_masked-NABA0S06-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-0.19&CDS=1-2277, augustus_masked-NABA0S34-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-6.21&CDS=1-2220	YAL023C, YGR199W
28	OG0000028	augustus_masked-NABA0S03-processed-gene-6.174-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.174&CDS=1-4728, augustus_masked-NABA0S06-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-0.11&CDS=1-4782, augustus_masked-NABA0S37-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-1.35&CDS=1-5589	YHR023W, YOR326W
29	OG0000029	augustus_masked-NABA0S08-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-2.39&CDS=1-408, augustus_masked-NABA0S25-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.136&CDS=1-408, augustus_masked-NABA0S29-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.35&CDS=1-408	YBR010W, YNL031C
30	OG0000030	augustus_masked-NABA0S08-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-2.19&CDS=1-309, augustus_masked-NABA0S25-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.114&CDS=1-309, augustus_masked-NABA0S29-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.18&CDS=1-309	YBR009C, YNL030W
31	OG0000031	augustus_masked-NABA0S08-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-4.12&CDS=1-2358, maker-NABA0S29-snap-gene-9.56-mRNA-1_1&gene=maker-NABA0S29-snap-gene-9.56&CDS=1-4518	YOR231W, YPL140C, YPL141C
32	OG0000032	augustus_masked-NABA0S09-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-0.106&CDS=1-1239, augustus_masked-NABA0S25-processed-gene-11.154-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.154&CDS=1-1932, augustus_masked-NABA0S26-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-0.70&CDS=1-2379, augustus_masked-NABA0S26-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-0.83&CDS=1-1266, snap_masked-NABA0S32-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-0.14&CDS=1-900	
