	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026197_Brettanomyces_custersianus
0	OG0000000	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	
1	OG0000001	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	genemark-flattened_line_110-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.2&CDS=1-4212
2	OG0000002	YBR240C, YDR207C	augustus_masked-flattened_line_26-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.153&CDS=1-1857, genemark-flattened_line_26-processed-gene-1.255-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.255&CDS=1-1650, genemark-flattened_line_30-processed-gene-1.157-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.157&CDS=1-1824, genemark-flattened_line_36-processed-gene-0.191-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.191&CDS=1-1326, genemark-flattened_line_4-processed-gene-2.148-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.148&CDS=1-1887, genemark-flattened_line_54-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.115&CDS=1-840, genemark-flattened_line_74-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.73&CDS=1-621, maker-flattened_line_26-snap-gene-1.290-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.290&CDS=1-1638, snap_masked-flattened_line_30-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.19&CDS=1-804
3	OG0000003	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_0-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.45&CDS=1-1641, genemark-flattened_line_0-processed-gene-9.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.120&CDS=1-1635, genemark-flattened_line_108-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.3&CDS=1-1635, genemark-flattened_line_2-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.92&CDS=1-1686, genemark-flattened_line_36-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.125&CDS=1-1659, maker-flattened_line_46-augustus-gene-0.173-mRNA-1_1&gene=maker-flattened_line_46-augustus-gene-0.173&CDS=1-3030
4	OG0000004	YAL067C, YCR028C, YGR065C	genemark-flattened_line_56-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.101&CDS=1-1521, genemark-flattened_line_56-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.95&CDS=1-1458, genemark-flattened_line_78-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.49&CDS=1-1542, genemark-flattened_line_92-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.44&CDS=1-1389, snap_masked-flattened_line_98-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.22&CDS=1-1437
5	OG0000005	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	genemark-flattened_line_14-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.78&CDS=1-1524, genemark-flattened_line_6-processed-gene-3.33-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.33&CDS=1-1656
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	genemark-flattened_line_2-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.60&CDS=1-2691, genemark-flattened_line_24-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.57&CDS=1-2238, genemark-flattened_line_26-processed-gene-1.210-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.210&CDS=1-2844, genemark-flattened_line_56-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.81&CDS=1-2829
7	OG0000007	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	snap_masked-flattened_line_104-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.6&CDS=1-1827
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_0-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.25&CDS=1-2094, snap_masked-flattened_line_78-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.13&CDS=1-1929
9	OG0000009	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_0-processed-gene-6.97-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.97&CDS=1-1428
11	OG0000011	YBR049C, YDR026C	genemark-flattened_line_10-processed-gene-2.15-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.15&CDS=1-2619, genemark-flattened_line_78-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.65&CDS=1-2607, maker-flattened_line_6-augustus-gene-2.95-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-2.95&CDS=1-8382, snap_masked-flattened_line_40-processed-gene-0.243-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.243&CDS=1-2421
12	OG0000012	YBR067C	genemark-flattened_line_18-processed-gene-2.123-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.123&CDS=1-1263, genemark-flattened_line_70-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.9&CDS=1-576, genemark-flattened_line_86-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.25&CDS=1-663, genemark-flattened_line_96-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.8&CDS=1-1260, maker-flattened_line_12-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.1&CDS=1-1404
13	OG0000013	YDR326C, YFL042C, YHR080C, YLR072W	genemark-flattened_line_10-processed-gene-3.55-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.55&CDS=1-2931, genemark-flattened_line_6-processed-gene-3.14-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.14&CDS=1-2865
14	OG0000014	YHR179W, YPL171C	genemark-flattened_line_26-processed-gene-1.263-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.263&CDS=1-1179, genemark-flattened_line_58-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.68&CDS=1-1206, genemark-flattened_line_58-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.69&CDS=1-2580, maker-flattened_line_26-snap-gene-1.296-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.296&CDS=1-1179
15	OG0000015	YIL120W, YIL121W, YNL065W	genemark-flattened_line_16-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.102&CDS=1-1458, genemark-flattened_line_32-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.121&CDS=1-1575, genemark-flattened_line_56-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.113&CDS=1-1311
16	OG0000016	YJL172W, YOL153C	genemark-flattened_line_10-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.131&CDS=1-1560, genemark-flattened_line_22-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.77&CDS=1-1701, genemark-flattened_line_46-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.48&CDS=1-1734, genemark-flattened_line_46-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.70&CDS=1-1755
