	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034933_Kuraishia_molischiana
0	OG0000000	YDR242W	augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-2.82&CDS=1-1641, augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_12_length_417011_cov_18.1067_ID_23-processed-gene-3.61&CDS=1-1641, augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-1.12&CDS=1-1482, augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-2.104&CDS=1-1635, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.96&CDS=1-1698, augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-6.169-mRNA-1_1&gene=augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-6.169&CDS=1-1674, augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_20_length_197731_cov_17.8952_ID_39-processed-gene-0.139&CDS=1-1680, augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.28&CDS=1-1608, augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.29&CDS=1-1608, augustus_masked-NODE_23_length_132344_cov_20.3063_ID_45-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_23_length_132344_cov_20.3063_ID_45-processed-gene-0.83&CDS=1-1584, augustus_masked-NODE_29_length_94832_cov_17.4062_ID_57-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_29_length_94832_cov_17.4062_ID_57-processed-gene-0.110&CDS=1-1701, maker-NODE_21_length_155906_cov_19.8008_ID_41-snap-gene-0.249-mRNA-1_1&gene=maker-NODE_21_length_155906_cov_19.8008_ID_41-snap-gene-0.249&CDS=1-3231, snap_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.229-mRNA-1_1&gene=snap_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.229&CDS=1-1701
1	OG0000001	YBR240C	augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_30_length_93458_cov_17.9826_ID_59-processed-gene-0.84&CDS=1-1839, augustus_masked-NODE_31_length_88113_cov_17.9344_ID_61-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-NODE_31_length_88113_cov_17.9344_ID_61-processed-gene-0.150&CDS=1-1059, augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-4.140&CDS=1-1770, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-0.66&CDS=1-1830, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-3.115&CDS=1-1923, augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-0.22&CDS=1-738, genemark-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.180-mRNA-1_1&gene=genemark-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.180&CDS=1-351, maker-NODE_10_length_432626_cov_17.7422_ID_19-augustus-gene-3.88-mRNA-1_1&gene=maker-NODE_10_length_432626_cov_17.7422_ID_19-augustus-gene-3.88&CDS=1-1617, maker-NODE_17_length_317659_cov_18.2064_ID_33-snap-gene-1.67-mRNA-1_1&gene=maker-NODE_17_length_317659_cov_18.2064_ID_33-snap-gene-1.67&CDS=1-1740, snap_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-3.167-mRNA-1_1&gene=snap_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-3.167&CDS=1-1620, snap_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.227-mRNA-1_1&gene=snap_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.227&CDS=1-1578, snap_masked-NODE_26_length_113800_cov_16.7253_ID_51-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_26_length_113800_cov_16.7253_ID_51-processed-gene-0.19&CDS=1-615
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_34_length_70053_cov_17.96_ID_67-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_34_length_70053_cov_17.96_ID_67-processed-gene-0.11&CDS=1-1032, augustus_masked-NODE_34_length_70053_cov_17.96_ID_67-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_34_length_70053_cov_17.96_ID_67-processed-gene-0.12&CDS=1-1041, augustus_masked-NODE_37_length_43889_cov_16.5066_ID_73-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_37_length_43889_cov_16.5066_ID_73-processed-gene-0.21&CDS=1-1035, augustus_masked-NODE_41_length_25263_cov_16.77_ID_81-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_41_length_25263_cov_16.77_ID_81-processed-gene-0.29&CDS=1-1068, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-1.76&CDS=1-1110, augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_5_length_458826_cov_17.8614_ID_9-processed-gene-1.76&CDS=1-1014, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-2.68&CDS=1-1044, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-0.142&CDS=1-1020
3	OG0000003	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-2.23&CDS=1-1602, augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-1.110&CDS=1-1671, augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-0.83&CDS=1-1593, augustus_masked-NODE_37_length_43889_cov_16.5066_ID_73-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_37_length_43889_cov_16.5066_ID_73-processed-gene-0.3&CDS=1-1575, augustus_masked-NODE_43_length_15259_cov_24.3471_ID_85-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_43_length_15259_cov_24.3471_ID_85-processed-gene-0.8&CDS=1-1614, augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NODE_4_length_469448_cov_18.9383_ID_7-processed-gene-2.134&CDS=1-1623, maker-NODE_46_length_10809_cov_24.8932_ID_91-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_46_length_10809_cov_24.8932_ID_91-snap-gene-0.11&CDS=1-3186
4	OG0000004	YJR061W, YKL201C	augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.124&CDS=1-2256, augustus_masked-NODE_28_length_102035_cov_17.8352_ID_55-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_28_length_102035_cov_17.8352_ID_55-processed-gene-0.66&CDS=1-2538, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-1.115&CDS=1-2379, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.58&CDS=1-2415, augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-1.2&CDS=1-2355, augustus_masked-NODE_53_length_6129_cov_17.7057_ID_105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_53_length_6129_cov_17.7057_ID_105-processed-gene-0.0&CDS=1-2703, maker-NODE_8_length_441118_cov_18.4878_ID_15-augustus-gene-3.173-mRNA-1_1&gene=maker-NODE_8_length_441118_cov_18.4878_ID_15-augustus-gene-3.173&CDS=1-4323
5	OG0000005	YDL124W, YFL005W	augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_14_length_397692_cov_16.2609_ID_27-processed-gene-0.155&CDS=1-957, augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_16_length_337578_cov_19.1595_ID_31-processed-gene-0.88&CDS=1-918, augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-NODE_19_length_201678_cov_21.102_ID_37-processed-gene-1.189&CDS=1-912, augustus_masked-NODE_50_length_7360_cov_46.1493_ID_99-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_50_length_7360_cov_46.1493_ID_99-processed-gene-0.6&CDS=1-564, augustus_masked-NODE_56_length_4416_cov_26.1307_ID_111-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_56_length_4416_cov_26.1307_ID_111-processed-gene-0.0&CDS=1-423, maker-NODE_16_length_337578_cov_19.1595_ID_31-augustus-gene-0.99-mRNA-1_1&gene=maker-NODE_16_length_337578_cov_19.1595_ID_31-augustus-gene-0.99&CDS=1-1554
6	OG0000006	YDR011W, YOR153W, YPL058C	augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_13_length_410127_cov_17.1021_ID_25-processed-gene-3.124&CDS=1-4284, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.16&CDS=1-4494, augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_503722_cov_17.4391_ID_5-processed-gene-0.80&CDS=1-4476, augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_6_length_458281_cov_18.4326_ID_11-processed-gene-0.82&CDS=1-4572, snap_masked-NODE_39_length_39196_cov_21.6642_ID_77-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_39_length_39196_cov_21.6642_ID_77-processed-gene-0.16&CDS=1-4137
7	OG0000007	YDR134C, YLR110C	augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NODE_10_length_432626_cov_17.7422_ID_19-processed-gene-3.113&CDS=1-1470, augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_21_length_155906_cov_19.8008_ID_41-processed-gene-0.31&CDS=1-1131, augustus_masked-NODE_22_length_142415_cov_17.9713_ID_43-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-NODE_22_length_142415_cov_17.9713_ID_43-processed-gene-0.153&CDS=1-1566, augustus_masked-NODE_40_length_36942_cov_16.8883_ID_79-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_40_length_36942_cov_16.8883_ID_79-processed-gene-0.21&CDS=1-1998, augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_8_length_441118_cov_18.4878_ID_15-processed-gene-3.20&CDS=1-2298, augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-0.32&CDS=1-1245
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-2.133&CDS=1-2685, augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NODE_11_length_419317_cov_17.5396_ID_21-processed-gene-3.73&CDS=1-2283, augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_18_length_215409_cov_16.9909_ID_35-processed-gene-1.84&CDS=1-2931, augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_742767_cov_17.4374_ID_1-processed-gene-1.57&CDS=1-3306
9	OG0000009	YER073W, YMR169C, YMR170C	augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-0.96&CDS=1-1488, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.106&CDS=1-1491, augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_17_length_317659_cov_18.2064_ID_33-processed-gene-1.95&CDS=1-1503, augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NODE_2_length_728764_cov_17.4395_ID_3-processed-gene-6.20&CDS=1-1560, snap_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_9_length_434364_cov_19.1112_ID_17-processed-gene-2.147&CDS=1-1485
