	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035654_Tortispora_ganteri
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	
1	OG0000001	YDR034C, YDR207C, YDR213W, YLR228C	augustus_masked-flattened_line_10-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.126&CDS=1-2184, augustus_masked-flattened_line_2-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.92&CDS=1-1725, augustus_masked-flattened_line_2-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.94&CDS=1-1602, augustus_masked-flattened_line_26-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.64&CDS=1-2139, augustus_masked-flattened_line_4-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.22&CDS=1-1140, augustus_masked-flattened_line_42-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.141&CDS=1-1308, augustus_masked-flattened_line_6-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.16&CDS=1-2565, augustus_masked-flattened_line_8-processed-gene-4.224-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.224&CDS=1-1548, snap_masked-flattened_line_44-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.140&CDS=1-2544
2	OG0000002	YGR260W	augustus_masked-flattened_line_0-processed-gene-6.341-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.341&CDS=1-1482, augustus_masked-flattened_line_14-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.129&CDS=1-2250, augustus_masked-flattened_line_16-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.45&CDS=1-1545, augustus_masked-flattened_line_2-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.147&CDS=1-1557, augustus_masked-flattened_line_22-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.182&CDS=1-1587, augustus_masked-flattened_line_4-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.116&CDS=1-1365, augustus_masked-flattened_line_8-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.45&CDS=1-1518, augustus_masked-flattened_line_8-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.46&CDS=1-1512
3	OG0000003	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-flattened_line_2-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.11&CDS=1-2115, maker-flattened_line_18-snap-gene-2.162-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.162&CDS=1-2391
4	OG0000004	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_0-processed-gene-6.261-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.261&CDS=1-2187, augustus_masked-flattened_line_12-processed-gene-2.227-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.227&CDS=1-2226, augustus_masked-flattened_line_40-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.24&CDS=1-2688, augustus_masked-flattened_line_56-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.50&CDS=1-1038
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_14-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.23&CDS=1-2190, augustus_masked-flattened_line_16-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.41&CDS=1-2586, augustus_masked-flattened_line_28-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.12&CDS=1-3075, augustus_masked-flattened_line_32-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.251&CDS=1-2727
6	OG0000006	YIR035C, YIR036C	augustus_masked-flattened_line_12-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.133&CDS=1-711, augustus_masked-flattened_line_14-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.159&CDS=1-756, augustus_masked-flattened_line_2-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.92&CDS=1-828, augustus_masked-flattened_line_54-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.111&CDS=1-744, augustus_masked-flattened_line_6-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.150&CDS=1-801, augustus_masked-flattened_line_8-processed-gene-4.234-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.234&CDS=1-798
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_0-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.93&CDS=1-2022, augustus_masked-flattened_line_34-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.116&CDS=1-2070, augustus_masked-flattened_line_34-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.117&CDS=1-2028
8	OG0000008	Q0045, Q0060, Q0065, Q0070, Q0120	maker-flattened_line_50-snap-gene-0.28-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.28&CDS=1-819, maker-flattened_line_50-snap-gene-0.29-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.29&CDS=1-813, maker-flattened_line_50-snap-gene-0.37-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.37&CDS=1-270
9	OG0000009	YAL005C, YJL034W, YKL073W, YLL024C	augustus_masked-flattened_line_18-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.92&CDS=1-1992, augustus_masked-flattened_line_62-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.77&CDS=1-2607, maker-flattened_line_6-augustus-gene-3.145-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-3.145&CDS=1-2619
