	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035667_Kurtzmaniella_cleridarum
0	OG0000000	YBR240C, YDR207C	augustus_masked-flattened_line_148-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.17&CDS=1-516, augustus_masked-flattened_line_190-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.4&CDS=1-540, maker-flattened_line_10-snap-gene-0.106-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.106&CDS=1-1935, maker-flattened_line_94-snap-gene-0.57-mRNA-1_1&gene=maker-flattened_line_94-snap-gene-0.57&CDS=1-2652, snap_masked-flattened_line_152-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.69&CDS=1-1749, snap_masked-flattened_line_2-processed-gene-1.159-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.159&CDS=1-978, snap_masked-flattened_line_284-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_284-processed-gene-0.31&CDS=1-786, snap_masked-flattened_line_38-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.33&CDS=1-936, snap_masked-flattened_line_4-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.32&CDS=1-2214, snap_masked-flattened_line_56-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.45&CDS=1-1479, snap_masked-flattened_line_8-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.124&CDS=1-2550
1	OG0000001	YCL025C, YDR508C, YKR039W	augustus_masked-flattened_line_140-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.13&CDS=1-2001, snap_masked-flattened_line_148-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_148-processed-gene-0.23&CDS=1-1812, snap_masked-flattened_line_152-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.56&CDS=1-1779, snap_masked-flattened_line_250-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_250-processed-gene-0.17&CDS=1-1752, snap_masked-flattened_line_260-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_260-processed-gene-0.33&CDS=1-1716, snap_masked-flattened_line_266-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_266-processed-gene-0.19&CDS=1-1764, snap_masked-flattened_line_306-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_306-processed-gene-0.22&CDS=1-1725, snap_masked-flattened_line_452-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_452-processed-gene-0.8&CDS=1-1716, snap_masked-flattened_line_76-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.63&CDS=1-1782, snap_masked-flattened_line_84-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.72&CDS=1-1785
2	OG0000002	YLR256W	augustus_masked-flattened_line_34-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.167&CDS=1-3105, augustus_masked-flattened_line_460-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_460-processed-gene-0.5&CDS=1-2577, augustus_masked-flattened_line_524-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_524-processed-gene-0.0&CDS=1-3015, genemark-flattened_line_456-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_456-processed-gene-0.5&CDS=1-594, genemark-flattened_line_460-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_460-processed-gene-0.0&CDS=1-3072, maker-flattened_line_60-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.44&CDS=1-2847, snap_masked-flattened_line_156-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.41&CDS=1-3006, snap_masked-flattened_line_60-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.94&CDS=1-3144, snap_masked-flattened_line_64-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.102&CDS=1-2358
3	OG0000003	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_0-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.61&CDS=1-2718, augustus_masked-flattened_line_224-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_224-processed-gene-0.33&CDS=1-1368, augustus_masked-flattened_line_30-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.133&CDS=1-1947, augustus_masked-flattened_line_30-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.135&CDS=1-4329, augustus_masked-flattened_line_320-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_320-processed-gene-0.21&CDS=1-1212, augustus_masked-flattened_line_578-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_578-processed-gene-0.2&CDS=1-342, snap_masked-flattened_line_286-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.15&CDS=1-2283
4	OG0000004	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	snap_masked-flattened_line_160-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.40&CDS=1-1812, snap_masked-flattened_line_296-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_296-processed-gene-0.13&CDS=1-3861, snap_masked-flattened_line_36-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.99&CDS=1-4347, snap_masked-flattened_line_58-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.112&CDS=1-2991
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_292-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_292-processed-gene-0.3&CDS=1-1704
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	snap_masked-flattened_line_110-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.26&CDS=1-2703, snap_masked-flattened_line_136-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.44&CDS=1-2385, snap_masked-flattened_line_22-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.137&CDS=1-3186, snap_masked-flattened_line_388-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_388-processed-gene-0.6&CDS=1-3018
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-flattened_line_230-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_230-processed-gene-0.3&CDS=1-2118, snap_masked-flattened_line_238-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_238-processed-gene-0.6&CDS=1-1995, snap_masked-flattened_line_24-processed-gene-0.170-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.170&CDS=1-2097
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	snap_masked-flattened_line_164-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.9&CDS=1-1383
9	OG0000009	YAR019C, YDR523C, YHR102W	snap_masked-flattened_line_10-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.86&CDS=1-3303, snap_masked-flattened_line_100-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.72&CDS=1-1305, snap_masked-flattened_line_4-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.35&CDS=1-1626, snap_masked-flattened_line_40-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.76&CDS=1-2649
10	OG0000010	YBR015C, YJL186W	augustus_masked-flattened_line_300-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_300-processed-gene-0.39&CDS=1-960, augustus_masked-flattened_line_32-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.144&CDS=1-2025, augustus_masked-flattened_line_320-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_320-processed-gene-0.22&CDS=1-1674, snap_masked-flattened_line_14-processed-gene-0.184-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.184&CDS=1-1641, snap_masked-flattened_line_38-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.24&CDS=1-1644
11	OG0000011	YER001W, YGL257C, YIL014W, YNR059W	maker-flattened_line_110-snap-gene-0.71-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.71&CDS=1-4689, snap_masked-flattened_line_62-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.50&CDS=1-2409, snap_masked-flattened_line_76-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.86&CDS=1-2406
12	OG0000012	YJL212C, YPR194C	snap_masked-flattened_line_122-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.80&CDS=1-2343, snap_masked-flattened_line_202-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_202-processed-gene-0.18&CDS=1-2727, snap_masked-flattened_line_262-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_262-processed-gene-0.28&CDS=1-2733, snap_masked-flattened_line_34-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.96&CDS=1-2754, snap_masked-flattened_line_78-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.39&CDS=1-2724
13	OG0000013	YJR061W, YKL201C	snap_masked-flattened_line_16-processed-gene-0.183-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.183&CDS=1-1446, snap_masked-flattened_line_20-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.132&CDS=1-2046, snap_masked-flattened_line_24-processed-gene-0.169-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.169&CDS=1-1788, snap_masked-flattened_line_32-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.83&CDS=1-2217, snap_masked-flattened_line_56-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.54&CDS=1-2490
14	OG0000014	YLR026C, YMR048W	augustus_masked-flattened_line_168-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.53&CDS=1-669, augustus_masked-flattened_line_30-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.111&CDS=1-738, augustus_masked-flattened_line_312-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_312-processed-gene-0.27&CDS=1-402, augustus_masked-flattened_line_448-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_448-processed-gene-0.4&CDS=1-408, augustus_masked-flattened_line_598-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_598-processed-gene-0.0&CDS=1-393
15	OG0000015	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_12-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.100&CDS=1-1392
16	OG0000016	YBR118W, YKR084C, YPR080W	augustus_masked-flattened_line_390-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_390-processed-gene-0.14&CDS=1-876, augustus_masked-flattened_line_430-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_430-processed-gene-0.14&CDS=1-876, maker-flattened_line_190-snap-gene-0.57-mRNA-1_1&gene=maker-flattened_line_190-snap-gene-0.57&CDS=1-1569
17	OG0000017	YBR160W, YKL139W, YPR161C	augustus_masked-flattened_line_238-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.35&CDS=1-1344, maker-flattened_line_26-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.1&CDS=1-927, snap_masked-flattened_line_230-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_230-processed-gene-0.13&CDS=1-2292
