	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035011_Candida_pyralidae
0	OG0000000	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-4.31&CDS=1-1752, snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.87&CDS=1-1716, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-12.143-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-12.143&CDS=1-1722, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-4.109&CDS=1-1713, snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-1.150-mRNA-1_1&gene=snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-1.150&CDS=1-1698, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-10.68-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-10.68&CDS=1-3087, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.35&CDS=1-1815, snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-2.32&CDS=1-1716, snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-0.52&CDS=1-1755
1	OG0000001		augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-2.108&CDS=1-1242, augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.153&CDS=1-1104, snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_11_length_439183_cov_74.16_ID_21-processed-gene-0.101&CDS=1-1119, snap_masked-NODE_17_length_171387_cov_90.0691_ID_33-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_17_length_171387_cov_90.0691_ID_33-processed-gene-0.24&CDS=1-1191, snap_masked-NODE_17_length_171387_cov_90.0691_ID_33-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_17_length_171387_cov_90.0691_ID_33-processed-gene-0.63&CDS=1-1176, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.121&CDS=1-1182, snap_masked-NODE_21_length_101387_cov_125.043_ID_41-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_21_length_101387_cov_125.043_ID_41-processed-gene-0.64&CDS=1-1176, snap_masked-NODE_23_length_8775_cov_192.343_ID_45-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_23_length_8775_cov_192.343_ID_45-processed-gene-0.5&CDS=1-1221, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-0.52&CDS=1-1173, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-5.79&CDS=1-1215, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.73-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.73&CDS=1-1230, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.60-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.60&CDS=1-1158, snap_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-1.20&CDS=1-1158, snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.46-mRNA-1_1&gene=snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.46&CDS=1-1194
2	OG0000002	YJR061W, YKL201C	snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.205-mRNA-1_1&gene=snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.205&CDS=1-2529, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-13.3-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-13.3&CDS=1-1848, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.51-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.51&CDS=1-2409, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-2.55&CDS=1-2250, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-3.96-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-3.96&CDS=1-2424, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-4.157-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-4.157&CDS=1-2427, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.95-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.95&CDS=1-2328, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.33&CDS=1-1707
3	OG0000003	YDR207C	augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.124-mRNA-1_1&gene=augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-4.124&CDS=1-2559, genemark-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-9.133-mRNA-1_1&gene=genemark-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-9.133&CDS=1-2070, maker-NODE_18_length_160797_cov_82.5886_ID_35-snap-gene-0.65-mRNA-1_1&gene=maker-NODE_18_length_160797_cov_82.5886_ID_35-snap-gene-0.65&CDS=1-1704, maker-NODE_4_length_1181949_cov_64.6666_ID_7-snap-gene-6.42-mRNA-1_1&gene=maker-NODE_4_length_1181949_cov_64.6666_ID_7-snap-gene-6.42&CDS=1-1647, snap_masked-NODE_12_length_432505_cov_65.7019_ID_23-processed-gene-3.109-mRNA-1_1&gene=snap_masked-NODE_12_length_432505_cov_65.7019_ID_23-processed-gene-3.109&CDS=1-1746, snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-9.102-mRNA-1_1&gene=snap_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-9.102&CDS=1-2430, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.40-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.40&CDS=1-606, snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_8_length_625582_cov_72.4763_ID_15-processed-gene-1.119&CDS=1-555
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_23_length_8775_cov_192.343_ID_45-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_23_length_8775_cov_192.343_ID_45-processed-gene-0.6&CDS=1-984, snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-11.145-mRNA-1_1&gene=snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-11.145&CDS=1-972, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.144-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-10.144&CDS=1-984, snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-8.32&CDS=1-1011, snap_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-0.125&CDS=1-1020
5	OG0000005	YOR346W	augustus_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.158&CDS=1-5193, augustus_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-5.11&CDS=1-1122, augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-4.126&CDS=1-1119, genemark-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-5.26-mRNA-1_1&gene=genemark-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-5.26&CDS=1-1071, maker-NODE_20_length_101543_cov_84.4483_ID_39-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_20_length_101543_cov_84.4483_ID_39-augustus-gene-0.0&CDS=1-825, snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.127&CDS=1-1107, snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_18_length_160797_cov_82.5886_ID_35-processed-gene-0.99&CDS=1-1113, snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_19_length_105211_cov_90.8719_ID_37-processed-gene-0.102&CDS=1-1125
6	OG0000006	YPR127W	augustus_masked-NODE_14_length_293181_cov_65.7956_ID_27-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_14_length_293181_cov_65.7956_ID_27-processed-gene-0.16&CDS=1-243, augustus_masked-NODE_22_length_63329_cov_58.5196_ID_43-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_22_length_63329_cov_58.5196_ID_43-processed-gene-0.39&CDS=1-195, augustus_masked-NODE_22_length_63329_cov_58.5196_ID_43-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_22_length_63329_cov_58.5196_ID_43-processed-gene-0.70&CDS=1-195, augustus_masked-NODE_44_length_692_cov_134.406_ID_87-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_44_length_692_cov_134.406_ID_87-processed-gene-0.1&CDS=1-690, augustus_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_7_length_693506_cov_61.0469_ID_13-processed-gene-4.66&CDS=1-4602, augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-0.84&CDS=1-243, snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_2_length_1424870_cov_63.5951_ID_3-processed-gene-2.41&CDS=1-1044, snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-5.79-mRNA-1_1&gene=snap_masked-NODE_3_length_1252809_cov_66.5931_ID_5-processed-gene-5.79&CDS=1-1044
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NODE_5_length_1111855_cov_55.5652_ID_9-processed-gene-6.35&CDS=1-4185, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-4.116-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-4.116&CDS=1-3432, snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_6_length_778386_cov_69.4489_ID_11-processed-gene-3.84&CDS=1-3402, snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NODE_9_length_577003_cov_69.8333_ID_17-processed-gene-1.0&CDS=1-2304
8	OG0000008	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.28&CDS=1-2238, augustus_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1482744_cov_56.9864_ID_1-processed-gene-7.29&CDS=1-2097, snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.173-mRNA-1_1&gene=snap_masked-NODE_16_length_184268_cov_69.9567_ID_31-processed-gene-0.173&CDS=1-2157
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_12_length_432505_cov_65.7019_ID_23-processed-gene-3.110-mRNA-1_1&gene=snap_masked-NODE_12_length_432505_cov_65.7019_ID_23-processed-gene-3.110&CDS=1-1386, snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-5.33-mRNA-1_1&gene=snap_masked-NODE_4_length_1181949_cov_64.6666_ID_7-processed-gene-5.33&CDS=1-1389
