	OrthologID	Botrytis_cinerea	Saccharomyces_cerevisiae
0	OG0000000	XP_001551177.1, XP_001552597.1	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
1	OG0000001	XP_001549530.1, XP_001559637.2, XP_024547024.1, XP_024547418.1, XP_024547419.1, XP_024548665.1, XP_024548785.1, XP_024548887.1, XP_024549324.1, XP_024550673.1, XP_024550803.1, XP_024550891.1, XP_024552469.1, XP_024552689.1, XP_024553270.1, XP_024553271.1	
2	OG0000002	XP_024550915.1, XP_024550916.1, XP_024550917.1, XP_024550918.1, XP_024550919.1, XP_024550920.1, XP_024550921.1, XP_024550922.1, XP_024550923.1, XP_024550924.1, XP_024550925.1, XP_024550926.1, XP_024550927.1, XP_024550928.1	YFL054C
3	OG0000003	XP_001551296.1, XP_001553250.1, XP_024546022.1, XP_024546639.1, XP_024546640.1, XP_024546922.1, XP_024546923.1, XP_024547765.1, XP_024549607.1, XP_024549948.1, XP_024551770.1, XP_024551829.1	
4	OG0000004	XP_001554419.2, XP_024545989.1, XP_024547403.1, XP_024547568.1, XP_024548107.1, XP_024548502.1, XP_024548640.1, XP_024548914.1, XP_024551423.1, XP_024552828.1, XP_024552829.1	YIL112W
5	OG0000005	XP_024548074.1, XP_024548075.1, XP_024548076.1, XP_024548077.1, XP_024548078.1, XP_024548079.1, XP_024548080.1, XP_024548081.1	YKL043W
6	OG0000006	XP_001547222.1, XP_001549009.1, XP_001552683.1, XP_001555313.1, XP_001557064.1, XP_001557135.1, XP_024546223.1	YKL071W
7	OG0000007	XP_001552122.2, XP_001553659.2, XP_024549325.1, XP_024549432.1, XP_024549940.1, XP_024553961.1, XP_024553962.1	YLR057W
8	OG0000008	XP_001552718.2	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
9	OG0000009	XP_001549672.1, XP_024553613.1, XP_024553776.1, XP_024553777.1, XP_024553778.1, XP_024553779.1	YDL237W
10	OG0000010	XP_001550009.1, XP_024551090.1	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
11	OG0000011	XP_001554083.1	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
12	OG0000012	XP_001559045.1, XP_024549420.1, XP_024549421.1, XP_024549422.1, XP_024550897.1	YPR013C, YPR015C
13	OG0000013	XP_001560775.2, XP_024547767.1, XP_024547768.1, XP_024547769.1, XP_024547770.1, XP_024547771.1	YDL128W
14	OG0000014	XP_024548286.1, XP_024548287.1, XP_024551551.1	YKL222C, YLR266C, YOR162C, YOR172W
15	OG0000015	XP_024553744.1, XP_024553745.1, XP_024553746.1, XP_024553747.1, XP_024553748.1, XP_024553749.1	YDR103W
