	OrthologID	Lachancea_thermotolerans	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
1	OG0000001	augustus_masked-CU928166-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.116&CDS=1-612, snap_masked-CU928166-processed-gene-7.202-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.202&CDS=1-666, snap_masked-CU928166-processed-gene-7.203-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.203&CDS=1-480, snap_masked-CU928166-processed-gene-7.204-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.204&CDS=1-276, snap_masked-CU928167-processed-gene-0.65-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.65&CDS=1-411, snap_masked-CU928168-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-0.19&CDS=1-678	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
2	OG0000002		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
3	OG0000003	augustus_masked-CU928168-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.58&CDS=1-1566, augustus_masked-CU928169-processed-gene-10.155-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-10.155&CDS=1-1578, augustus_masked-CU928170-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.83&CDS=1-1509, maker-CU928165-snap-gene-4.47-mRNA-1_1&gene=maker-CU928165-snap-gene-4.47&CDS=1-1923, snap_masked-CU928170-processed-gene-8.16-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.16&CDS=1-3234	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
4	OG0000004	augustus_masked-CU928166-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.92&CDS=1-1770, augustus_masked-CU928171-processed-gene-16.50-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.50&CDS=1-1755, augustus_masked-CU928180-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.66&CDS=1-1758, genemark-CU928169-processed-gene-14.78-mRNA-1_1&gene=genemark-CU928169-processed-gene-14.78&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
5	OG0000005	augustus_masked-CU928166-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.82&CDS=1-1854, augustus_masked-CU928166-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.150&CDS=1-1704, augustus_masked-CU928167-processed-gene-8.223-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.223&CDS=1-1953, augustus_masked-CU928167-processed-gene-8.224-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.224&CDS=1-1719, augustus_masked-CU928168-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.73&CDS=1-1713, genemark-CU928166-processed-gene-0.40-mRNA-1_1&gene=genemark-CU928166-processed-gene-0.40&CDS=1-1704	YCL069W, YKR105C, YPR198W
6	OG0000006	augustus_masked-CU928165-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.45&CDS=1-4497, augustus_masked-CU928171-processed-gene-16.24-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.24&CDS=1-4458, augustus_masked-CU928180-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.14&CDS=1-1980, genemark-CU928167-processed-gene-8.172-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.172&CDS=1-2202, snap_masked-CU928169-processed-gene-14.143-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-14.143&CDS=1-1212	YDR011W, YDR406W, YOR153W
7	OG0000007	augustus_masked-CU928165-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.107&CDS=1-2688, augustus_masked-CU928170-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-11.111&CDS=1-3342, augustus_masked-CU928170-processed-gene-14.19-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-14.19&CDS=1-3324, augustus_masked-CU928180-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-5.15&CDS=1-2313	YER013W, YGL120C, YKR086W, YNR011C
8	OG0000008	augustus_masked-CU928166-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.79&CDS=1-1698, augustus_masked-CU928167-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.20&CDS=1-1710, maker-CU928169-snap-gene-2.51-mRNA-1_1&gene=maker-CU928169-snap-gene-2.51&CDS=1-3333	YFL011W, YIL170W, YJL219W, YMR011W, YOL156W
9	OG0000009	augustus_masked-CU928165-processed-gene-5.183-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.183&CDS=1-1857, augustus_masked-CU928166-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.154&CDS=1-1860, augustus_masked-CU928168-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.33&CDS=1-1860, augustus_masked-CU928168-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.34&CDS=1-1848, augustus_masked-CU928168-processed-gene-14.115-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.115&CDS=1-1821	YHL040C, YHL047C
