	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035640_Yamadazyma_philogaea
0	OG0000000	YBL042C, YBR021W, YIR028W, YKL128C, YLR129W, YMR008C, YOL011W	augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-0.102&CDS=1-9189, augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.153&CDS=1-933, augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.79&CDS=1-930, augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_8_length_359490_cov_28.9294_ID_15-processed-gene-0.112&CDS=1-1944, augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_9_length_359155_cov_29.4677_ID_17-processed-gene-2.4&CDS=1-1014, genemark-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.34&CDS=1-951, maker-NODE_12_length_314767_cov_28.8002_ID_23-augustus-gene-0.122-mRNA-1_1&gene=maker-NODE_12_length_314767_cov_28.8002_ID_23-augustus-gene-0.122&CDS=1-5076
1	OG0000001	YJR061W, YJR062C, YJR144W, YKL201C, YLR023C, YLR163C	augustus_masked-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_20_length_215016_cov_30.8952_ID_39-processed-gene-1.52&CDS=1-2235, augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-2.62&CDS=1-3849, augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.126&CDS=1-2712, augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.182-mRNA-1_1&gene=augustus_masked-NODE_6_length_485873_cov_30.1022_ID_11-processed-gene-3.182&CDS=1-2562, genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.72-mRNA-1_1&gene=genemark-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-4.72&CDS=1-1752, maker-NODE_20_length_215016_cov_30.8952_ID_39-augustus-gene-1.16-mRNA-1_1&gene=maker-NODE_20_length_215016_cov_30.8952_ID_39-augustus-gene-1.16&CDS=1-4122, maker-NODE_6_length_485873_cov_30.1022_ID_11-augustus-gene-3.305-mRNA-1_1&gene=maker-NODE_6_length_485873_cov_30.1022_ID_11-augustus-gene-3.305&CDS=1-3441, maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-2.4-mRNA-1_1&gene=maker-NODE_7_length_373803_cov_30.4817_ID_13-augustus-gene-2.4&CDS=1-5781
2	OG0000002	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-NODE_16_length_273302_cov_29.6828_ID_31-processed-gene-1.67&CDS=1-1707, augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.55&CDS=1-8451, augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-1.70&CDS=1-1659, augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-1.57&CDS=1-1776, augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.127&CDS=1-1647, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-6.117&CDS=1-1767
3	OG0000003	YBR150C, YJL089W, YOL089C	augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.100&CDS=1-2862, augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.99&CDS=1-2745, augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_4_length_571300_cov_30.7617_ID_7-processed-gene-1.66&CDS=1-1317, genemark-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.59&CDS=1-702, genemark-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-3.31-mRNA-1_1&gene=genemark-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-3.31&CDS=1-3432, snap_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_25_length_160743_cov_28.9188_ID_49-processed-gene-0.22&CDS=1-2595
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-0.40&CDS=1-3165, augustus_masked-NODE_39_length_75211_cov_36.8898_ID_77-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_39_length_75211_cov_36.8898_ID_77-processed-gene-0.49&CDS=1-1698
5	OG0000005	YKR064W	augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_13_length_302840_cov_30.3933_ID_25-processed-gene-1.127&CDS=1-6564, augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-3.90&CDS=1-2451, augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_23_length_173057_cov_29.2639_ID_45-processed-gene-0.22&CDS=1-6105, augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_35_length_89803_cov_32.5795_ID_69-processed-gene-0.85&CDS=1-2961, augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_5_length_517651_cov_49.9611_ID_9-processed-gene-4.118&CDS=1-8409, genemark-NODE_21_length_186516_cov_33.4099_ID_41-processed-gene-0.225-mRNA-1_1&gene=genemark-NODE_21_length_186516_cov_33.4099_ID_41-processed-gene-0.225&CDS=1-2340, genemark-NODE_31_length_112976_cov_35.8483_ID_61-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_31_length_112976_cov_35.8483_ID_61-processed-gene-0.84&CDS=1-2478, snap_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_14_length_296638_cov_28.971_ID_27-processed-gene-1.36&CDS=1-2202
6	OG0000006	Q0105, Q0110, Q0115, Q0120, Q0160	maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.1&CDS=1-375, maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.3&CDS=1-468, maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.4&CDS=1-1197, maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_47_length_38165_cov_3074.57_ID_93-snap-gene-0.5&CDS=1-1092
7	OG0000007	YDL145C, YGR281W	augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_12_length_314767_cov_28.8002_ID_23-processed-gene-0.55&CDS=1-4137, augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1146432_cov_29.4029_ID_1-processed-gene-8.85&CDS=1-13965, augustus_masked-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_24_length_168944_cov_30.0467_ID_47-processed-gene-0.132&CDS=1-4497, genemark-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_15_length_274748_cov_30.1148_ID_29-processed-gene-1.100&CDS=1-4014, snap_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.16&CDS=1-4218, snap_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_41_length_59227_cov_38.0665_ID_81-processed-gene-0.18&CDS=1-4191
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NODE_10_length_332822_cov_29.6476_ID_19-processed-gene-2.50&CDS=1-4104, augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_17_length_272631_cov_28.4445_ID_33-processed-gene-0.37&CDS=1-3300, genemark-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-1.15&CDS=1-2268, maker-NODE_2_length_752566_cov_29.4242_ID_3-augustus-gene-5.132-mRNA-1_1&gene=maker-NODE_2_length_752566_cov_29.4242_ID_3-augustus-gene-5.132&CDS=1-5892
9	OG0000009	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_11_length_320613_cov_31.9964_ID_21-processed-gene-2.120&CDS=1-1563, augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-NODE_2_length_752566_cov_29.4242_ID_3-processed-gene-5.120&CDS=1-5613, augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_574896_cov_30.1526_ID_5-processed-gene-2.54&CDS=1-4146, augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_7_length_373803_cov_30.4817_ID_13-processed-gene-0.101&CDS=1-4947
