	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041862_Candida_golubevii
0	OG0000000		augustus_masked-flattened_line_14-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.1&CDS=1-711, augustus_masked-flattened_line_166-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_166-processed-gene-0.41&CDS=1-1392, augustus_masked-flattened_line_24-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.12&CDS=1-1173, augustus_masked-flattened_line_24-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.24&CDS=1-2973, augustus_masked-flattened_line_324-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_324-processed-gene-0.4&CDS=1-1554, genemark-flattened_line_286-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_286-processed-gene-0.2&CDS=1-1152, genemark-flattened_line_304-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_304-processed-gene-0.1&CDS=1-1257, maker-flattened_line_24-snap-gene-1.141-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.141&CDS=1-2931, snap_masked-flattened_line_100-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.103&CDS=1-1512, snap_masked-flattened_line_172-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_172-processed-gene-0.56&CDS=1-1878, snap_masked-flattened_line_300-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.7&CDS=1-1671, snap_masked-flattened_line_40-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.148&CDS=1-1155
1	OG0000001	YJR061W, YKL201C	augustus_masked-flattened_line_102-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.30&CDS=1-2610, augustus_masked-flattened_line_108-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.41&CDS=1-1785, augustus_masked-flattened_line_12-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.75&CDS=1-2079, augustus_masked-flattened_line_168-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.1&CDS=1-2301, augustus_masked-flattened_line_22-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.152&CDS=1-2205, augustus_masked-flattened_line_24-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.82&CDS=1-954, maker-flattened_line_12-snap-gene-2.44-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.44&CDS=1-4449, snap_masked-flattened_line_78-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.38&CDS=1-1806
2	OG0000002	YKR039W, YLL061W, YPL274W	augustus_masked-flattened_line_126-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.4&CDS=1-1788, augustus_masked-flattened_line_14-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.62&CDS=1-1716, augustus_masked-flattened_line_20-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.63&CDS=1-1758, augustus_masked-flattened_line_20-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.82&CDS=1-1782, augustus_masked-flattened_line_28-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.38&CDS=1-1674, maker-flattened_line_0-augustus-gene-0.84-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.84&CDS=1-6258
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_76-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.98&CDS=1-1695
4	OG0000004	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_38-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.165&CDS=1-1554, augustus_masked-flattened_line_42-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.65&CDS=1-1134, augustus_masked-flattened_line_42-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.67&CDS=1-1587, augustus_masked-flattened_line_90-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.17&CDS=1-1467, maker-flattened_line_40-snap-gene-0.57-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.57&CDS=1-4215
5	OG0000005	YDR541C, YOL151W	augustus_masked-flattened_line_0-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.112&CDS=1-1005, augustus_masked-flattened_line_104-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.52&CDS=1-1008, augustus_masked-flattened_line_164-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.38&CDS=1-1017, augustus_masked-flattened_line_226-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_226-processed-gene-0.8&CDS=1-1017, augustus_masked-flattened_line_28-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.68&CDS=1-1056, augustus_masked-flattened_line_52-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.41&CDS=1-1017
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_140-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.76&CDS=1-3429, augustus_masked-flattened_line_22-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.156&CDS=1-3417, augustus_masked-flattened_line_62-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.116&CDS=1-2709, genemark-flattened_line_30-processed-gene-1.71-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.71&CDS=1-2271
7	OG0000007	YAL023C, YDL210W, YGR199W, YOR321W	augustus_masked-flattened_line_164-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.40&CDS=1-4026, augustus_masked-flattened_line_251-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_251-processed-gene-0.2&CDS=1-1698, augustus_masked-flattened_line_84-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.67&CDS=1-2376
8	OG0000008	YAR019C, YDR523C, YHR102W	augustus_masked-flattened_line_14-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.53&CDS=1-1530, augustus_masked-flattened_line_26-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.82&CDS=1-3372, augustus_masked-flattened_line_68-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.121&CDS=1-1185, maker-flattened_line_36-augustus-gene-0.176-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.176&CDS=1-4776
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_192-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_192-processed-gene-0.13&CDS=1-1389, augustus_masked-flattened_line_64-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.98&CDS=1-1389
